"BCDA.Open","BCDA.High","BCDA.Low","BCDA.Close","BCDA.Volume","BCDA.Adjusted","Date"
55.7999992370605,60.2999992370605,54.1500015258789,58.5,773,58.5,2020-01-02
54.4500007629395,63.9000015258789,54,60,2180,60,2020-01-03
63,63,60,60.75,167,60.75,2020-01-06
61.2000007629395,64.8000030517578,55.9500007629395,57.9000015258789,1160,57.9000015258789,2020-01-07
64.9499969482422,71.25,61.2000007629395,65.8499984741211,2120,65.8499984741211,2020-01-08
64.6500015258789,65.4000015258789,55.6500015258789,61.2000007629395,1193,61.2000007629395,2020-01-09
68.8499984741211,69.75,56.5499992370605,58.3499984741211,1400,58.3499984741211,2020-01-10
60.75,101.25,59.25,85.1999969482422,50427,85.1999969482422,2020-01-13
79.3499984741211,83.25,69,79.5,8220,79.5,2020-01-14
78.5999984741211,84,74.0999984741211,82.3499984741211,993,82.3499984741211,2020-01-15
78.75,81,75.1500015258789,75.9000015258789,1540,75.9000015258789,2020-01-16
81.4499969482422,81.4499969482422,75.9000015258789,77.0999984741211,273,77.0999984741211,2020-01-17
77.5500030517578,81.75,76.0500030517578,80.5500030517578,547,80.5500030517578,2020-01-21
78.3000030517578,80.8499984741211,78.3000030517578,80.8499984741211,220,80.8499984741211,2020-01-22
79.5,80.5500030517578,79.3499984741211,79.9499969482422,160,79.9499969482422,2020-01-23
78.3000030517578,79.6500015258789,74.4000015258789,74.4000015258789,600,74.4000015258789,2020-01-24
78.5999984741211,79.8000030517578,78,78,220,78,2020-01-27
73.5,74.8499984741211,72.9000015258789,74.25,560,74.25,2020-01-28
77.4000015258789,77.5500030517578,75,76.5,220,76.5,2020-01-29
73.6500015258789,76.9499969482422,73.6500015258789,76.9499969482422,47,76.9499969482422,2020-01-30
75.1500015258789,75.3000030517578,70.5,70.5,920,70.5,2020-01-31
71.0999984741211,73.1999969482422,70.5,72,153,72,2020-02-03
73.1999969482422,73.1999969482422,64.8000030517578,65.5500030517578,1220,65.5500030517578,2020-02-04
69.1500015258789,69.1500015258789,66.9000015258789,66.9000015258789,53,66.9000015258789,2020-02-05
70.8000030517578,70.8000030517578,66,66.75,213,66.75,2020-02-06
73.5,73.5,70.8000030517578,70.8000030517578,33,70.8000030517578,2020-02-07
67.5,67.5,66,66.75,93,66.75,2020-02-10
67.8000030517578,68.4000015258789,66,67.8000030517578,67,67.8000030517578,2020-02-11
70.9499969482422,70.9499969482422,69.4499969482422,69.9000015258789,140,69.9000015258789,2020-02-12
68.0999984741211,68.0999984741211,65.25,65.25,540,65.25,2020-02-13
65.8499984741211,66.4499969482422,60,63.75,287,63.75,2020-02-14
66.4499969482422,66.4499969482422,66.4499969482422,66.4499969482422,167,66.4499969482422,2020-02-18
66.4499969482422,66.4499969482422,66.4499969482422,66.4499969482422,0,66.4499969482422,2020-02-19
66.4499969482422,66.4499969482422,66.4499969482422,66.4499969482422,13,66.4499969482422,2020-02-20
66.4499969482422,66.4499969482422,66.4499969482422,66.4499969482422,0,66.4499969482422,2020-02-21
63.75,64.6500015258789,63.2999992370605,63.2999992370605,520,63.2999992370605,2020-02-24
61.6500015258789,63.4500007629395,57,57.4500007629395,520,57.4500007629395,2020-02-25
55.9500007629395,57.5999984741211,55.7999992370605,55.7999992370605,327,55.7999992370605,2020-02-26
55.2000007629395,55.2000007629395,53.8499984741211,54.75,247,54.75,2020-02-27
52.5,55.0499992370605,52.5,55.0499992370605,73,55.0499992370605,2020-02-28
56.7000007629395,57,55.0499992370605,55.5,267,55.5,2020-03-02
56.25,69,55.5,66,1780,66,2020-03-03
66.3000030517578,67.1999969482422,60.1500015258789,60.1500015258789,1347,60.1500015258789,2020-03-04
57.9000015258789,57.9000015258789,56.25,56.25,120,56.25,2020-03-05
58.5,64.3499984741211,58.5,64.1999969482422,53,64.1999969482422,2020-03-06
64.1999969482422,64.1999969482422,64.1999969482422,64.1999969482422,0,64.1999969482422,2020-03-09
52.9500007629395,60.2999992370605,52.9500007629395,54.2999992370605,87,54.2999992370605,2020-03-10
54,54,42.1500015258789,54,367,54,2020-03-11
49.3499984741211,57,45.9000015258789,57,653,57,2020-03-12
60,60,49.6500015258789,51.5999984741211,93,51.5999984741211,2020-03-13
55.0499992370605,55.0499992370605,55.0499992370605,55.0499992370605,40,55.0499992370605,2020-03-16
56.25,56.25,43.6500015258789,43.6500015258789,827,43.6500015258789,2020-03-17
52.2000007629395,52.2000007629395,32.25,33,800,33,2020-03-18
34.5,44.8499984741211,31.5,44.8499984741211,93,44.8499984741211,2020-03-19
45.2999992370605,45.75,35.7000007629395,45.75,107,45.75,2020-03-20
44.5499992370605,44.5499992370605,39.5999984741211,39.5999984741211,113,39.5999984741211,2020-03-23
36.5999984741211,53.8499984741211,36.5999984741211,41.25,413,41.25,2020-03-24
44.25,47.4000015258789,42.1500015258789,42.75,320,42.75,2020-03-25
41.25,41.25,40.5,40.9500007629395,133,40.9500007629395,2020-03-26
43.0499992370605,43.0499992370605,39.75,41.4000015258789,567,41.4000015258789,2020-03-27
50.8499984741211,51,39.1500015258789,51,1020,51,2020-03-30
52.3499984741211,57.1500015258789,46.5,50.8499984741211,847,50.8499984741211,2020-03-31
48.75,51,46.0499992370605,51,367,51,2020-04-01
42.9000015258789,50.7000007629395,42.75,49.5,200,49.5,2020-04-02
43.3499984741211,50.8499984741211,43.3499984741211,45.2999992370605,173,45.2999992370605,2020-04-03
44.5499992370605,45,44.5499992370605,45,80,45,2020-04-06
44.8499984741211,44.8499984741211,44.8499984741211,44.8499984741211,47,44.8499984741211,2020-04-07
44.8499984741211,49.3499984741211,42.9000015258789,45,93,45,2020-04-08
43.7999992370605,46.0499992370605,43.7999992370605,46.0499992370605,53,46.0499992370605,2020-04-09
48,50.4000015258789,45.1500015258789,45.1500015258789,160,45.1500015258789,2020-04-13
48.75,50.8499984741211,46.2000007629395,50.8499984741211,127,50.8499984741211,2020-04-14
48.9000015258789,48.9000015258789,48.9000015258789,48.9000015258789,33,48.9000015258789,2020-04-15
