"ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted","Date"
210.860000610352,211.919998168945,208.809997558594,210.149993896484,2431100,192.514999389648,2020-01-02
208.5,210.630004882812,207,209.800003051758,1802100,192.194396972656,2020-01-03
208.270004272461,208.789993286133,206.809997558594,208.429992675781,2841400,190.939346313477,2020-01-06
203.199996948242,206.259994506836,203.190002441406,203.929992675781,3097400,186.816940307617,2020-01-07
204,205.449996948242,203.529998779297,204.330001831055,2271300,187.183410644531,2020-01-08
205.5,207.279998779297,205.160003662109,206.149993896484,2910600,188.850677490234,2020-01-09
206.929992675781,208.309997558594,206.729995727539,207.660003662109,1573100,190.233978271484,2020-01-10
207.490005493164,209.839996337891,207.490005493164,209.589996337891,2202800,192.002059936523,2020-01-13
209.550003051758,211,207.029998779297,207.729995727539,2499100,190.298049926758,2020-01-14
208,208.440002441406,206.729995727539,207.259994506836,1986000,190.601547241211,2020-01-15
208.139999389648,209.100006103516,207.899993896484,208.979995727539,2691600,192.183303833008,2020-01-16
210,210.649993896484,208.350006103516,209.199996948242,2584500,192.385650634766,2020-01-17
207.5,210.160003662109,207,209.149993896484,2687200,192.339706420898,2020-01-21
210.199996948242,211.860000610352,209.350006103516,209.410003662109,1873600,192.57878112793,2020-01-22
209.399993896484,210.809997558594,208.869995117188,210.679992675781,2368400,193.746688842773,2020-01-23
211,211.589996337891,208.050003051758,208.570007324219,2348900,191.806274414062,2020-01-24
205.179992675781,207.839996337891,204.850006103516,206.550003051758,1381300,189.948638916016,2020-01-27
207.869995117188,210.960006713867,207.25,210.240005493164,1810200,193.342071533203,2020-01-28
210.679992675781,211.210006713867,207.789993286133,207.960006713867,1491600,191.245361328125,2020-01-29
207.5,208.929992675781,205.199996948242,208.369995117188,1579600,191.62239074707,2020-01-30
208.5,209.630004882812,204,205.210006713867,1793600,188.71630859375,2020-01-31
205.339996337891,208.419998168945,205.25,207.800003051758,2345700,191.098205566406,2020-02-03
210,213.789993286133,209.75,212.529998779297,2242800,195.447982788086,2020-02-04
213.889999389648,214.460006713867,210.410003662109,212.220001220703,2102500,195.162948608398,2020-02-05
213,214.380004882812,212.309997558594,214.160003662109,1611500,196.947006225586,2020-02-06
213.339996337891,213.389999389648,211.089996337891,211.580001831055,1447700,194.574356079102,2020-02-07
210.190002441406,212.970001220703,210.190002441406,212.550003051758,1421600,195.466445922852,2020-02-10
213.380004882812,213.979995727539,211.759994506836,212.139999389648,1321000,195.08935546875,2020-02-11
212.199996948242,212.869995117188,211.539993286133,211.990005493164,1801300,194.951416015625,2020-02-12
