"BFG.MI.Open","BFG.MI.High","BFG.MI.Low","BFG.MI.Close","BFG.MI.Volume","BFG.MI.Adjusted","Date"
3.82999992370605,4.05000019073486,3.79999995231628,3.9300000667572,60272,3.7243537902832,2020-01-02
3.90000009536743,3.96000003814697,3.86999988555908,3.96000003814697,36651,3.75278425216675,2020-01-03
3.91000008583069,3.91000008583069,3.78999996185303,3.79999995231628,19889,3.60115671157837,2020-01-06
3.74000000953674,3.83999991416931,3.74000000953674,3.8199999332428,37016,3.62011027336121,2020-01-07
3.74000000953674,3.86999988555908,3.70000004768372,3.85999989509583,72018,3.6580171585083,2020-01-08
3.79999995231628,3.91000008583069,3.75999999046326,3.88000011444092,91801,3.67697072029114,2020-01-09
3.8199999332428,3.83999991416931,3.77999997138977,3.77999997138977,26633,3.58220314979553,2020-01-10
3.75999999046326,3.78999996185303,3.74000000953674,3.78999996185303,19929,3.59168004989624,2020-01-13
3.75,3.77999997138977,3.73000001907349,3.77999997138977,8079,3.58220314979553,2020-01-14
3.72000002861023,3.72000002861023,3.72000002861023,3.72000002861023,1648,3.52534294128418,2020-01-15
3.75999999046326,3.78999996185303,3.70000004768372,3.75,27586,3.55377292633057,2020-01-16
3.74000000953674,3.75,3.71000003814697,3.75,5945,3.55377292633057,2020-01-17
3.71000003814697,3.73000001907349,3.6800000667572,3.70000004768372,25252,3.50638961791992,2020-01-20
3.70000004768372,3.72000002861023,3.6800000667572,3.70000004768372,6886,3.50638961791992,2020-01-21
3.66000008583069,3.71000003814697,3.66000008583069,3.71000003814697,2001,3.51586604118347,2020-01-22
3.67000007629395,3.74000000953674,3.67000007629395,3.74000000953674,8068,3.54429626464844,2020-01-23
3.72000002861023,3.72000002861023,3.5699999332428,3.61999988555908,29302,3.43057513237,2020-01-24
3.61999988555908,3.65000009536743,3.54999995231628,3.64000010490417,20068,3.44952917098999,2020-01-27
3.67000007629395,3.67000007629395,3.55999994277954,3.64000010490417,11798,3.44952917098999,2020-01-28
3.58999991416931,3.58999991416931,3.49000000953674,3.5,24021,3.31685471534729,2020-01-29
3.52999997138977,3.58999991416931,3.47000002861023,3.5699999332428,39898,3.38319206237793,2020-01-30
3.54999995231628,3.84999990463257,3.52999997138977,3.84999990463257,129761,3.64854025840759,2020-01-31
3.84999990463257,3.95000004768372,3.83999991416931,3.92000007629395,33184,3.71487712860107,2020-02-03
3.90000009536743,3.90000009536743,3.78999996185303,3.89000010490417,18175,3.68644762039185,2020-02-04
3.82999992370605,3.84999990463257,3.78999996185303,3.78999996185303,4415,3.59168004989624,2020-02-05
3.82999992370605,3.82999992370605,3.75,3.8199999332428,1414,3.62011027336121,2020-02-06
3.75999999046326,3.75999999046326,3.66000008583069,3.74000000953674,38669,3.54429626464844,2020-02-07
3.6800000667572,3.6800000667572,3.57999992370605,3.57999992370605,26603,3.39266896247864,2020-02-10
3.63000011444092,3.6800000667572,3.60999989509583,3.61999988555908,8687,3.43057513237,2020-02-11
3.67000007629395,3.67000007629395,3.58999991416931,3.63000011444092,16296,3.44005227088928,2020-02-12
3.57999992370605,3.64000010490417,3.57999992370605,3.64000010490417,2276,3.44952917098999,2020-02-13
3.59999990463257,3.75999999046326,3.59999990463257,3.60999989509583,48267,3.42109847068787,2020-02-14
3.60999989509583,3.65000009536743,3.57999992370605,3.65000009536743,14186,3.45900559425354,2020-02-17
3.59999990463257,3.63000011444092,3.57999992370605,3.63000011444092,2495,3.44005227088928,2020-02-18
3.58999991416931,3.60999989509583,3.55999994277954,3.55999994277954,10750,3.3737154006958,2020-02-19
3.59999990463257,3.60999989509583,3.53999996185303,3.60999989509583,27218,3.42109847068787,2020-02-20
3.5699999332428,3.58999991416931,3.50999999046326,3.58999991416931,12645,3.40214538574219,2020-02-21
3.50999999046326,3.50999999046326,3.35999989509583,3.47000002861023,13590,3.2884247303009,2020-02-24
3.42000007629395,3.4300000667572,3.24000000953674,3.41000008583069,67053,3.23156428337097,2020-02-25
3.40000009536743,3.46000003814697,3.35999989509583,3.46000003814697,48931,3.27894806861877,2020-02-26
3.41000008583069,3.63000011444092,3.38000011444092,3.63000011444092,36700,3.44005227088928,2020-02-27
3.57999992370605,3.57999992370605,3.38000011444092,3.54999995231628,23665,3.36423873901367,2020-02-28
3.5,3.5,3.34999990463257,3.41000008583069,19469,3.23156428337097,2020-03-02
3.38000011444092,3.41000008583069,3.30999994277954,3.34999990463257,7237,3.17470359802246,2020-03-03
3.29999995231628,3.34999990463257,3.23000001907349,3.33999991416931,8567,3.16522693634033,2020-03-04
