"UBER.Open","UBER.High","UBER.Low","UBER.Close","UBER.Volume","UBER.Adjusted","Date"
29.9400005340576,31,29.7900009155273,30.9899997711182,20578900,30.9899997711182,2020-01-02
30.6200008392334,31.4300003051758,30.4799995422363,31.3700008392334,18822700,31.3700008392334,2020-01-03
31.0100002288818,32.060001373291,31,31.5799999237061,21204700,31.5799999237061,2020-01-06
31.7900009155273,32.8400001525879,31.3600006103516,32.810001373291,30119600,32.810001373291,2020-01-07
32.7299995422363,34.5200004577637,32.4599990844727,33.9300003051758,43944400,33.9300003051758,2020-01-08
34.4500007629395,34.4700012207031,33.2200012207031,33.9700012207031,29385500,33.9700012207031,2020-01-09
34.0800018310547,34.9900016784668,33.8349990844727,34.0099983215332,34266400,34.0099983215332,2020-01-10
34.2900009155273,34.3400001525879,33.5499992370605,34.1399993896484,16915800,34.1399993896484,2020-01-13
34.2000007629395,35.0200004577637,33.9199981689453,34.8400001525879,26019000,34.8400001525879,2020-01-14
34.9000015258789,35.148998260498,34.5099983215332,35.0099983215332,20762200,35.0099983215332,2020-01-15
35.0299987792969,35.060001373291,34.1800003051758,34.6800003051758,21947800,34.6800003051758,2020-01-16
34.9700012207031,35.25,34.6500015258789,35.1300010681152,17251200,35.1300010681152,2020-01-17
35.5,37.7999992370605,35.4099998474121,37.5999984741211,48746700,37.5999984741211,2020-01-21
37.939998626709,37.939998626709,36.9199981689453,37.0400009155273,29765200,37.0400009155273,2020-01-22
36.9700012207031,37.9500007629395,36.7249984741211,37.4000015258789,21366000,37.4000015258789,2020-01-23
37.5,37.6650009155273,36.25,36.7999992370605,21598000,36.7999992370605,2020-01-24
35.2299995422363,36.6500015258789,34.189998626709,36.2999992370605,18818000,36.2999992370605,2020-01-27
37.1399993896484,37.3300018310547,36.0400009155273,37.0099983215332,28974000,37.0099983215332,2020-01-28
36.9799995422363,37.564998626709,36.7999992370605,36.9900016784668,16863000,36.9900016784668,2020-01-29
36.8199996948242,37.1319999694824,35.9500007629395,36.6800003051758,22847000,36.6800003051758,2020-01-30
