"RACE.Open","RACE.High","RACE.Low","RACE.Close","RACE.Volume","RACE.Adjusted","Date"
167.050003051758,168.774002075195,166.630004882812,168.509994506836,195800,161.780334472656,2020-01-02
166.759994506836,167.75,166.268005371094,166.729995727539,134600,160.071426391602,2020-01-03
164.759994506836,166.289993286133,164.759994506836,165.850006103516,169900,159.226608276367,2020-01-06
165.979995727539,166.119995117188,165.179992675781,165.220001220703,309300,158.62174987793,2020-01-07
167.039993286133,168.970001220703,166.75,168.539993286133,261400,161.809143066406,2020-01-08
170.759994506836,171,169,169.910003662109,283500,163.124465942383,2020-01-09
174.419998168945,174.520004272461,170.330001831055,171.309997558594,602200,164.468536376953,2020-01-10
172.710006713867,174.289993286133,172.160003662109,174.289993286133,375600,167.329513549805,2020-01-13
173.669998168945,174.074996948242,171.199996948242,171.550003051758,483700,164.698959350586,2020-01-14
172.960006713867,173.324996948242,171.830001831055,172.580001831055,983400,165.687805175781,2020-01-15
172.580001831055,173.410003662109,170.574996948242,173.410003662109,495300,166.484664916992,2020-01-16
174.990005493164,175.399993896484,173.380004882812,173.940002441406,190800,166.993499755859,2020-01-17
172.350006103516,174.300003051758,171.679992675781,174.149993896484,362800,167.195098876953,2020-01-21
175,175.279998779297,172.580001831055,173.119995117188,276500,166.206237792969,2020-01-22
171.960006713867,172.889999389648,170.729995727539,172.259994506836,268500,165.380584716797,2020-01-23
173.779998779297,174.014999389648,171.860000610352,172.479995727539,196800,165.591827392578,2020-01-24
167.399993896484,168.669998168945,166.625,168.050003051758,453900,161.338745117188,2020-01-27
169.509994506836,172.070007324219,169.449996948242,171.25,241100,164.410934448242,2020-01-28
172.110000610352,173.169998168945,171.259994506836,172.649993896484,283100,165.755004882812,2020-01-29
170.479995727539,172.559997558594,170.039993286133,172.479995727539,337300,165.591827392578,2020-01-30
169.410003662109,170.419998168945,168.559997558594,168.820007324219,597500,162.077987670898,2020-01-31
168.660003662109,176.580001831055,168.324996948242,170.25,544100,163.450881958008,2020-02-03
168.25,169.029998779297,164.410003662109,168.529998779297,1526600,161.799560546875,2020-02-04
169.539993286133,169.830001831055,166.839996337891,167.880004882812,833700,161.175521850586,2020-02-05
167.589996337891,170.050003051758,167.009994506836,168.800003051758,512700,162.058792114258,2020-02-06
167.419998168945,168.300003051758,166.710006713867,166.759994506836,396700,160.100234985352,2020-02-07
167.770004272461,168.020004272461,166.410003662109,167.550003051758,319500,160.858703613281,2020-02-10
169.889999389648,171.559997558594,169.729995727539,171.160003662109,307500,164.324523925781,2020-02-11
172.440002441406,174.186996459961,172.360000610352,173.789993286133,261500,166.849487304688,2020-02-12
171.380004882812,172.889999389648,171.100006103516,172.309997558594,334800,165.428619384766,2020-02-13
172.970001220703,173.710006713867,172.460006713867,173.259994506836,258900,166.340637207031,2020-02-14
176.630004882812,178.914993286133,176.610000610352,177.669998168945,498000,170.57453918457,2020-02-18
180.360000610352,180.949996948242,178.940002441406,179.210006713867,443200,172.053024291992,2020-02-19
178.970001220703,179.889999389648,176.820007324219,177.850006103516,487700,170.747344970703,2020-02-20
176.330001831055,176.330001831055,172.699996948242,172.899993896484,446000,165.995025634766,2020-02-21
161.880004882812,165.100006103516,161.860000610352,162.990005493164,1189100,156.48078918457,2020-02-24
165,165.350006103516,161.240005493164,161.509994506836,764600,155.05989074707,2020-02-25
161.889999389648,164.380004882812,159.860000610352,159.899993896484,709200,153.514205932617,2020-02-26
158.089996337891,161.369995117188,155.789993286133,156.089996337891,809300,149.856369018555,2020-02-27
154.110000610352,158,152.509994506836,157.75,1112200,151.450073242188,2020-02-28
156.360000610352,161.460006713867,154.639999389648,161.210006713867,566800,154.771896362305,2020-03-02
161.210006713867,163.580001831055,156.119995117188,156.729995727539,528200,150.470794677734,2020-03-03
157.580001831055,160.645004272461,155.539993286133,160.380004882812,624600,153.975036621094,2020-03-04
155.610000610352,157.25,153.119995117188,154.190002441406,630000,148.0322265625,2020-03-05
152.270004272461,153.289993286133,149.300003051758,152.179992675781,855100,146.102523803711,2020-03-06
141.169998168945,145.309997558594,137.179992675781,137.729995727539,1259500,132.229598999023,2020-03-09
145.889999389648,147.445007324219,141.369995117188,146.339996337891,949900,140.495712280273,2020-03-10
146.350006103516,147.380004882812,140.360000610352,143.039993286133,840300,137.327499389648,2020-03-11
132.949996948242,134.910003662109,128.240005493164,129.990005493164,1288900,124.798713684082,2020-03-12
143.929992675781,143.929992675781,132.669998168945,142.279998779297,789700,136.597869873047,2020-03-13
129.360000610352,139.679992675781,127.730003356934,129.320007324219,1404500,124.155464172363,2020-03-16
139.009994506836,139.970001220703,133.059997558594,136.610000610352,1493700,131.154327392578,2020-03-17
