"DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted","Date"
145.289993286133,148.199996948242,145.100006103516,148.199996948242,9502100,145.769897460938,2020-01-02
146.399993896484,147.899993896484,146.050003051758,146.5,7320200,144.097763061523,2020-01-03
145.539993286133,146.029998779297,144.309997558594,145.649993896484,8262500,143.26171875,2020-01-06
145.990005493164,146.869995117188,145.419998168945,145.699996948242,6906500,143.310897827148,2020-01-07
145.490005493164,146.130004882812,144.820007324219,145.399993896484,6984200,143.015808105469,2020-01-08
146.470001220703,146.630004882812,144.610000610352,144.830001831055,6664200,142.455169677734,2020-01-09
145.300003051758,145.5,144.259994506836,144.619995117188,5152500,142.248596191406,2020-01-10
144.75,144.75,143.360000610352,143.880004882812,9921300,141.520751953125,2020-01-13
143.410003662109,146.720001220703,142.289993286133,145.199996948242,14839100,142.819107055664,2020-01-14
145.710006713867,145.710006713867,143.929992675781,144.320007324219,6818200,141.953536987305,2020-01-15
145.089996337891,145.429992675781,144.440002441406,145.119995117188,6948400,142.74040222168,2020-01-16
145.539993286133,145.639999389648,144.009994506836,144.330001831055,10355300,141.963363647461,2020-01-17
144.240005493164,144.589996337891,143.009994506836,143.559997558594,9250200,141.205993652344,2020-01-21
144.449996948242,144.789993286133,143.539993286133,144.009994506836,7550000,141.648620605469,2020-01-22
143.600006103516,143.610000610352,140.649993896484,142.199996948242,11082000,139.868301391602,2020-01-23
141.399993896484,142.25,139.199996948242,140.080001831055,13076300,137.783050537109,2020-01-24
135.860000610352,137.729995727539,135,135.899993896484,12831800,133.671585083008,2020-01-27
136.5,138.929992675781,135.860000610352,138.369995117188,10390000,136.101089477539,2020-01-28
138.600006103516,138.679992675781,135.789993286133,136.059997558594,9382700,133.828979492188,2020-01-29
135.089996337891,137.850006103516,134.830001831055,137.809997558594,11847300,135.55029296875,2020-01-30
138.399993896484,138.669998168945,137.059997558594,138.309997558594,12379100,136.042068481445,2020-01-31
139.789993286133,141.820007324219,139.75,141.320007324219,12639900,139.002746582031,2020-02-03
