"IVG.MI.Open","IVG.MI.High","IVG.MI.Low","IVG.MI.Close","IVG.MI.Volume","IVG.MI.Adjusted","Date"
11.2600002288818,11.3999996185303,9.56999969482422,10.1079998016357,23323315,9.68467712402344,2022-01-03
10.3999996185303,10.9899997711182,10.25,10.710000038147,11315628,10.2614641189575,2022-01-04
10.8999996185303,11.4160003662109,10.8159999847412,11.3760004043579,9073446,10.8995733261108,2022-01-05
11.1000003814697,11.25,10.6000003814697,10.6000003814697,8844542,10.1560716629028,2022-01-06
10.4399995803833,10.8819999694824,10.21399974823,10.289999961853,11941139,9.85905456542969,2022-01-07
10.1000003814697,10.5,10.0900001525879,10.1599998474121,6880124,9.73449897766113,2022-01-10
10.1599998474121,10.3299999237061,10.0799999237061,10.1499996185303,4472971,9.7249174118042,2022-01-11
10.2600002288818,10.7399997711182,10.1999998092651,10.7299995422363,5804326,10.2806262969971,2022-01-12
10.75,11.3599996566772,10.6999998092651,11.0799999237061,7510382,10.6159687042236,2022-01-13
11.0100002288818,11.1300001144409,10.6599998474121,10.6999998092651,4406227,10.2518825531006,2022-01-14
10.8500003814697,10.9499998092651,10.5699996948242,10.6499996185303,3165422,10.2039775848389,2022-01-17
10.6300001144409,10.6499996185303,10.3999996185303,10.3999996185303,2435262,9.96444702148438,2022-01-18
10.3999996185303,10.6300001144409,10.289999961853,10.4499998092651,2413549,10.0123529434204,2022-01-19
10.460000038147,10.6099996566772,10.3999996185303,10.3999996185303,1535035,9.96444702148438,2022-01-20
10.289999961853,10.4399995803833,10.25,10.3199996948242,1777164,9.88779735565186,2022-01-21
10.2600002288818,10.289999961853,9.57999992370605,9.58500003814697,4229589,9.18358039855957,2022-01-24
9.72500038146973,9.74499988555908,9.23999977111816,9.3100004196167,3251441,8.92009735107422,2022-01-25
9.30000019073486,9.78499984741211,9.15499973297119,9.625,3546202,9.22190380096436,2022-01-26
9.4350004196167,9.84000015258789,9.35999965667725,9.625,2484688,9.22190380096436,2022-01-27
9.60499954223633,9.64500045776367,9.36499977111816,9.40499973297119,1984383,9.01111793518066,2022-01-28
9.72999954223633,9.73999977111816,9.39000034332275,9.47000026702881,1481754,9.07339572906494,2022-01-31
9.55000019073486,9.59000015258789,9.38500022888184,9.52499961853027,3182466,9.12609195709229,2022-02-01
9.55000019073486,9.57999992370605,9.31999969482422,9.31999969482422,2785789,8.92967700958252,2022-02-02
9.30000019073486,9.30000019073486,9.04500007629395,9.04500007629395,2319627,8.66619491577148,2022-02-03
9.10000038146973,9.11499977111816,8.72999954223633,8.76000022888184,3367791,8.39313125610352,2022-02-04
8.84000015258789,8.92500019073486,8.69999980926514,8.75,3275204,8.38354969024658,2022-02-07
8.78999996185303,9.125,8.26000022888184,8.43000030517578,6011852,8.07695198059082,2022-02-08
8.47000026702881,9.01500034332275,8.30000019073486,9.01500034332275,6081895,8.637451171875,2022-02-09
8.97000026702881,9.0600004196167,8.74499988555908,8.94999980926514,4204295,8.57517337799072,2022-02-10
8.76000022888184,8.8149995803833,8.58500003814697,8.60999965667725,3316128,8.24941253662109,2022-02-11
8.47999954223633,8.48499965667725,8.10499954223633,8.27000045776367,3910261,7.92365264892578,2022-02-14
8.25,8.48499965667725,8.17000007629395,8.4350004196167,2468105,8.08174228668213,2022-02-15
8.5600004196167,8.59000015258789,8.32499980926514,8.375,2299262,8.02425479888916,2022-02-16
8.35000038146973,8.375,8.06999969482422,8.07999992370605,3404051,7.7416090965271,2022-02-17
8.10000038146973,8.16499996185303,7.93499994277954,8.05500030517578,2313680,7.71765661239624,2022-02-18
8.10000038146973,8.11499977111816,7.84499979019165,7.84499979019165,2369088,7.51645040512085,2022-02-21
7.51000022888184,8.14500045776367,7.16499996185303,8.05000019073486,3062742,7.71286582946777,2022-02-22
8.07999992370605,8.10499954223633,7.73999977111816,7.73999977111816,1845591,7.41584825515747,2022-02-23
7.28000020980835,7.5149998664856,7.20499992370605,7.35500001907349,4104613,7.04697227478027,2022-02-24
7.44999980926514,7.5,7.17000007629395,7.5,3075358,7.18589973449707,2022-02-25
