"VHVE.MI.Open","VHVE.MI.High","VHVE.MI.Low","VHVE.MI.Close","VHVE.MI.Volume","VHVE.MI.Adjusted","Date"
65.6938018798828,65.6938018798828,65.6938018798828,65.6938018798828,0,65.6938018798828,2020-01-02
65.3386001586914,65.3386001586914,65.3386001586914,65.3386001586914,0,65.3386001586914,2020-01-03
65.3514022827148,65.3514022827148,65.3514022827148,65.3514022827148,0,65.3514022827148,2020-01-06
65.3210983276367,65.3210983276367,65.3210983276367,65.3210983276367,0,65.3210983276367,2020-01-07
65.4279022216797,65.4279022216797,65.4279022216797,65.4279022216797,0,65.4279022216797,2020-01-08
65.8190002441406,65.8190002441406,65.8190002441406,65.8190002441406,0,65.8190002441406,2020-01-09
65.7692031860352,65.7692031860352,65.7692031860352,65.7692031860352,0,65.7692031860352,2020-01-10
66.0654983520508,66.0654983520508,66.0654983520508,66.0654983520508,0,66.0654983520508,2020-01-13
66.0803985595703,66.0803985595703,66.0803985595703,66.0803985595703,0,66.0803985595703,2020-01-14
66.1713027954102,66.1713027954102,66.1713027954102,66.1713027954102,0,66.1713027954102,2020-01-15
59.6199989318848,59.6199989318848,59.6199989318848,59.6599998474121,2,59.6599998474121,2020-01-16
59.6599998474121,59.6599998474121,59.6599998474121,59.6599998474121,0,59.6599998474121,2020-01-17
59.6599998474121,59.6599998474121,59.6599998474121,59.6599998474121,0,59.6599998474121,2020-01-20
59.6599998474121,59.6599998474121,59.6599998474121,59.6599998474121,0,59.6599998474121,2020-01-21
60.3600006103516,60.3600006103516,60.3600006103516,60.189998626709,8,60.189998626709,2020-01-22
60.189998626709,60.189998626709,60.189998626709,60.189998626709,0,60.189998626709,2020-01-23
60.189998626709,60.189998626709,60.189998626709,60.189998626709,0,60.189998626709,2020-01-24
60.189998626709,60.189998626709,60.189998626709,60.189998626709,0,60.189998626709,2020-01-27
60.189998626709,60.189998626709,60.189998626709,60.189998626709,0,60.189998626709,2020-01-28
60.189998626709,60.189998626709,60.189998626709,60.189998626709,0,60.189998626709,2020-01-29
59.3199996948242,59.3199996948242,59.3199996948242,59.0999984741211,450,59.0999984741211,2020-01-30
59.0999984741211,59.0999984741211,59.0999984741211,59.0999984741211,0,59.0999984741211,2020-01-31
58.6800003051758,58.6800003051758,58.6800003051758,58.9000015258789,2,58.9000015258789,2020-02-03
58.9000015258789,58.9000015258789,58.9000015258789,58.9000015258789,0,58.9000015258789,2020-02-04
58.9000015258789,58.9000015258789,58.9000015258789,58.9000015258789,0,58.9000015258789,2020-02-05
58.9000015258789,58.9000015258789,58.9000015258789,58.9000015258789,0,58.9000015258789,2020-02-06
60.8899993896484,60.8899993896484,60.8400001525879,60.7900009155273,488,60.7900009155273,2020-02-07
60.7900009155273,60.7900009155273,60.7900009155273,60.7900009155273,0,60.7900009155273,2020-02-10
60.7900009155273,60.7900009155273,60.7900009155273,60.7900009155273,0,60.7900009155273,2020-02-11
61.7000007629395,61.7000007629395,61.7000007629395,61.8300018310547,2,61.8300018310547,2020-02-12
61.8300018310547,61.8300018310547,61.8300018310547,61.8300018310547,0,61.8300018310547,2020-02-13
61.8300018310547,61.8300018310547,61.8300018310547,61.8300018310547,0,61.8300018310547,2020-02-14
61.8300018310547,61.8300018310547,61.8300018310547,61.8300018310547,0,61.8300018310547,2020-02-17
61.8300018310547,61.8300018310547,61.8300018310547,61.8300018310547,0,61.8300018310547,2020-02-18
61.8300018310547,61.8300018310547,61.8300018310547,61.8300018310547,0,61.8300018310547,2020-02-19
61.8300018310547,61.8300018310547,61.8300018310547,61.8300018310547,0,61.8300018310547,2020-02-20
61.8300018310547,61.8300018310547,61.8300018310547,61.8300018310547,0,61.8300018310547,2020-02-21
