"SPOT.Open","SPOT.High","SPOT.Low","SPOT.Close","SPOT.Volume","SPOT.Adjusted","Date"
137.009994506836,140.179992675781,134.5,134.509994506836,1826300,134.509994506836,2020-02-27
131.059997558594,137.550003051758,129.639999389648,137.119995117188,1909400,137.119995117188,2020-02-28
137.979995727539,139.789993286133,134.610000610352,139.339996337891,1001700,139.339996337891,2020-03-02
139.429992675781,142.330001831055,136.089996337891,137.160003662109,964900,137.160003662109,2020-03-03
139,144.330001831055,137.229995727539,144.25,1336000,144.25,2020-03-04
141.740005493164,149.350006103516,140.270004272461,148.080001831055,1501600,148.080001831055,2020-03-05
145.25,146.990005493164,141.570007324219,145.139999389648,1311500,145.139999389648,2020-03-06
136.929992675781,145.669998168945,134,139.779998779297,1361700,139.779998779297,2020-03-09
141.759994506836,142.720001220703,133.190002441406,141.899993896484,1359000,141.899993896484,2020-03-10
139.080001831055,140.809997558594,133.475006103516,135.059997558594,905500,135.059997558594,2020-03-11
125.430000305176,129.880004882812,116.482002258301,126.98999786377,1836600,126.98999786377,2020-03-12
133.009994506836,133.009994506836,121.01000213623,131.559997558594,1439600,131.559997558594,2020-03-13
118.529998779297,123.889999389648,109.180000305176,117.639999389648,1736000,117.639999389648,2020-03-16
118.309997558594,119.839996337891,111.150001525879,118.870002746582,2493000,118.870002746582,2020-03-17
111,122.610000610352,110.970001220703,121.23999786377,1991000,121.23999786377,2020-03-18
119.830001831055,140.360000610352,117.73999786377,129.130004882812,2504100,129.130004882812,2020-03-19
129.389999389648,129.690002441406,119,124.360000610352,3669100,124.360000610352,2020-03-20
123.410003662109,123.410003662109,113.580001831055,118.180000305176,2209200,118.180000305176,2020-03-23
125,133.949996948242,123.11799621582,129.690002441406,2680900,129.690002441406,2020-03-24
130.039993286133,131.5,122.319999694824,124.230003356934,1994700,124.230003356934,2020-03-25
124.089996337891,127.98999786377,122.605003356934,126.809997558594,1125600,126.809997558594,2020-03-26
122.480003356934,126.379997253418,121.5,122.540000915527,1094200,122.540000915527,2020-03-27
124.400001525879,126.984001159668,120.029998779297,121.430000305176,1356600,121.430000305176,2020-03-30
122,125.900001525879,120.01000213623,121.440002441406,1763600,121.440002441406,2020-03-31
119.809997558594,124.470001220703,116.300003051758,121.610000610352,1718100,121.610000610352,2020-04-01
120.690002441406,125.410003662109,119.26000213623,121.910003662109,739500,121.910003662109,2020-04-02
122.099998474121,123.300003051758,119.375,122.120002746582,871700,122.120002746582,2020-04-03
120.889999389648,123.470001220703,116,122.519996643066,2315000,122.519996643066,2020-04-06
125.099998474121,129.399993896484,123.552001953125,127.610000610352,1539200,127.610000610352,2020-04-07
127.540000915527,129.979995727539,124.069999694824,126.040000915527,1386400,126.040000915527,2020-04-08
127.620002746582,134.757995605469,126.5,131.860000610352,1226200,131.860000610352,2020-04-09
131.770004272461,132.360000610352,128.029998779297,129.830001831055,1067700,129.830001831055,2020-04-13
132.050003051758,137.330001831055,130.559997558594,135.929992675781,1536400,135.929992675781,2020-04-14
134.169998168945,141.630004882812,133.369995117188,138.779998779297,1747100,138.779998779297,2020-04-15
139.949996948242,140.570007324219,136.029998779297,139.490005493164,1102600,139.490005493164,2020-04-16
141.220001220703,142.957992553711,139.070007324219,141.860000610352,709100,141.860000610352,2020-04-17
140.690002441406,146.300003051758,140,144.539993286133,1144400,144.539993286133,2020-04-20
142.699996948242,143.669998168945,138.029998779297,139.139999389648,1098000,139.139999389648,2020-04-21
141.539993286133,142.600006103516,139.479995727539,139.740005493164,899100,139.740005493164,2020-04-22
139.75,141.235000610352,138.130004882812,138.710006713867,769500,138.710006713867,2020-04-23
139.25,140.199996948242,136.619995117188,137.839996337891,1142300,137.839996337891,2020-04-24
140.100006103516,141.470001220703,139.009994506836,140.25,1135500,140.25,2020-04-27
141.5,143.740005493164,139.199996948242,139.779998779297,1516200,139.779998779297,2020-04-28
153,163.940002441406,152.419998168945,155.779998779297,5744100,155.779998779297,2020-04-29
148.940002441406,153.899993896484,146,151.570007324219,2122300,151.570007324219,2020-04-30
144.5,146.889999389648,143.929992675781,144.839996337891,2047300,144.839996337891,2020-05-01
