"TSM.Open","TSM.High","TSM.Low","TSM.Close","TSM.Volume","TSM.Adjusted","Date"
59.5999984741211,60.1199989318848,59.5999984741211,60.0400009155273,8432600,54.0949897766113,2020-01-02
58.9700012207031,58.9799995422363,58.0400009155273,58.060001373291,10546400,52.31103515625,2020-01-03
57.5999984741211,57.689998626709,57.1300010681152,57.3899993896484,8897200,51.7073860168457,2020-01-06
57.4500007629395,58.5999984741211,56.7400016784668,58.3199996948242,7444300,52.5452995300293,2020-01-07
58.189998626709,58.9799995422363,58.1100006103516,58.75,5381500,52.9327163696289,2020-01-08
59.689998626709,59.7099990844727,58.7000007629395,59.2299995422363,5112700,53.3651924133301,2020-01-09
59.7000007629395,59.7000007629395,58.7700004577637,58.8600006103516,4807700,53.0318222045898,2020-01-10
60.1500015258789,60.1599998474121,59.4500007629395,60.060001373291,6613700,54.1130027770996,2020-01-13
60.1599998474121,60.6399993896484,59.9199981689453,60.3199996948242,6715200,54.3472595214844,2020-01-14
59.6699981689453,59.7000007629395,58.2599983215332,58.3899993896484,10075100,52.6083641052246,2020-01-15
59.2000007629395,59.689998626709,58.2999992370605,58.75,11215700,52.9327163696289,2020-01-16
58.6399993896484,58.75,58.0099983215332,58.5800018310547,8125700,52.7795562744141,2020-01-17
57.9900016784668,59,57.4700012207031,58.2400016784668,9873700,52.4732208251953,2020-01-21
58.9000015258789,58.939998626709,58.3199996948242,58.3499984741211,8124500,52.572322845459,2020-01-22
57.8600006103516,58.0699996948242,56.6199989318848,57.4799995422363,9999200,51.7884750366211,2020-01-23
58.0900001525879,58.1399993896484,57.4599990844727,57.7299995422363,10402200,52.0137062072754,2020-01-24
55.6199989318848,55.9900016784668,55.060001373291,55.2599983215332,9675500,49.7882919311523,2020-01-27
55.7299995422363,57.1199989318848,55.4799995422363,57.0900001525879,8124400,51.4370880126953,2020-01-28
57.5200004577637,57.5200004577637,56.8499984741211,57.189998626709,7693400,51.5271873474121,2020-01-29
55.0800018310547,56.0400009155273,55.060001373291,55.7999992370605,10295700,50.2748146057129,2020-01-30
55.4300003051758,55.4799995422363,53.5999984741211,53.939998626709,13467200,48.5989990234375,2020-01-31
54.3499984741211,54.939998626709,54.1399993896484,54.7700004577637,9594300,49.3468170166016,2020-02-03
56.9199981689453,57.6399993896484,56.9000015258789,57.5200004577637,12746600,51.8245086669922,2020-02-04
58.0999984741211,58.1500015258789,57.1699981689453,57.9199981689453,6594400,52.1849060058594,2020-02-05
58.2700004577637,58.2799987792969,57.2799987792969,58.0200004577637,4236300,52.2750053405762,2020-02-06
57.1399993896484,57.1399993896484,56.060001373291,56.2000007629395,6808400,50.6352195739746,2020-02-07
56.439998626709,57.0499992370605,56.3400001525879,57.0200004577637,4281200,51.3740272521973,2020-02-10
57.9500007629395,58.9000015258789,57.810001373291,58.6599998474121,6523200,52.851634979248,2020-02-11
59.25,59.75,58.9000015258789,59.6300010681152,5962900,53.7255783081055,2020-02-12
59.1300010681152,59.7000007629395,58.7400016784668,59.3300018310547,6460100,53.4552917480469,2020-02-13
59.0200004577637,59.1699981689453,57.8699989318848,58.189998626709,6932400,52.428165435791,2020-02-14
56.0999984741211,56.560001373291,55.6300010681152,56.1800003051758,10989000,50.6171989440918,2020-02-18
57.25,57.939998626709,57,57.6399993896484,7866300,51.9326286315918,2020-02-19
56.939998626709,57.0400009155273,55.810001373291,56.4799995422363,7192900,50.8874931335449,2020-02-20
56.6500015258789,56.6500015258789,55.5200004577637,55.5900001525879,6816600,50.0856246948242,2020-02-21
53.5499992370605,54.689998626709,53.1800003051758,54.1199989318848,9968800,48.7611770629883,2020-02-24
55.3300018310547,55.4700012207031,53.8300018310547,53.8600006103516,12670700,48.5269050598145,2020-02-25
