"ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume","ORCL.Adjusted","Date"
53.2700004577637,53.9599990844727,53.2299995422363,53.9500007629395,13899600,49.4516143798828,2020-01-02
52.9900016784668,54.0499992370605,52.9500007629395,53.7599983215332,11026700,49.277458190918,2020-01-03
53.3600006103516,54.2000007629395,53.3499984741211,54.0400009155273,10982400,49.5341186523438,2020-01-06
53.8899993896484,54.3300018310547,53.6100006103516,54.1599998474121,12015400,49.6441040039062,2020-01-07
53.939998626709,54.5999984741211,53.7000007629395,54.1300010681152,11856700,49.8374519348145,2020-01-08
54.25,54.7999992370605,54.0299987792969,54.3800010681152,10671000,50.067626953125,2020-01-09
54.5499992370605,54.6500015258789,54.2200012207031,54.4500007629395,9734800,50.1320686340332,2020-01-10
54.4599990844727,54.7900009155273,54.3600006103516,54.5800018310547,10858900,50.2517623901367,2020-01-13
54.5200004577637,55.1800003051758,54.5,54.8800010681152,12627200,50.5279808044434,2020-01-14
54.8800010681152,55.1800003051758,54.6800003051758,54.7599983215332,9090800,50.4174919128418,2020-01-15
54.9799995422363,55.4500007629395,54.9300003051758,55.4300003051758,9866000,51.0343627929688,2020-01-16
55.6300010681152,55.689998626709,54.8499984741211,55.1300010681152,11166600,50.7581481933594,2020-01-17
54.9799995422363,55.3600006103516,54.9199981689453,55.2200012207031,8773000,50.8410263061523,2020-01-21
55.4099998474121,55.6500015258789,54.5999984741211,54.7200012207031,6380500,50.3806571960449,2020-01-22
54.4099998474121,55,54.2799987792969,54.9799995422363,6583200,50.6200485229492,2020-01-23
55.060001373291,55.2000007629395,53.8800010681152,54.0699996948242,6426000,49.7822151184082,2020-01-24
53.1800003051758,53.5200004577637,52.6300010681152,52.689998626709,8259100,48.5116386413574,2020-01-27
52.8600006103516,53.6800003051758,52.6599998474121,53.4599990844727,8620300,49.2205848693848,2020-01-28
53.7799987792969,53.939998626709,53.1800003051758,53.2000007629395,6332500,48.9811973571777,2020-01-29
52.8199996948242,53.3300018310547,52.2799987792969,53.310001373291,7176200,49.0824775695801,2020-01-30
53.3400001525879,53.4900016784668,52.2900009155273,52.4500007629395,8884700,48.2906837463379,2020-01-31
52.7299995422363,53.4099998474121,52.689998626709,53.0900001525879,8892500,48.8799247741699,2020-02-03
53.75,54.560001373291,53.75,54.0400009155273,9769800,49.7545967102051,2020-02-04
54.6699981689453,55.0299987792969,54.5800018310547,54.7400016784668,9612900,50.3990783691406,2020-02-05
55,55.3499984741211,54.7099990844727,54.7099990844727,8832000,50.3714561462402,2020-02-06
54.2700004577637,54.9700012207031,54.189998626709,54.7200012207031,7864800,50.3806571960449,2020-02-07
54.7200012207031,55.0699996948242,54.4500007629395,54.9900016784668,7198200,50.6292533874512,2020-02-10
55.1699981689453,55.5400009155273,55.1100006103516,55.1500015258789,8466600,50.7765655517578,2020-02-11
55.5499992370605,55.8899993896484,55.25,55.7299995422363,7541100,51.3105621337891,2020-02-12
55.310001373291,55.6399993896484,55.0099983215332,55.310001373291,8480100,50.9238739013672,2020-02-13
55.3800010681152,55.8400001525879,55.2400016784668,55.4700012207031,7496800,51.0711898803711,2020-02-14
55.4199981689453,55.7599983215332,55.0999984741211,55.4500007629395,7185700,51.0527763366699,2020-02-18
55.5900001525879,55.7700004577637,55.3899993896484,55.439998626709,6819200,51.0435676574707,2020-02-19
55.4000015258789,55.8699989318848,54.8800010681152,55.5099983215332,6114600,51.1080169677734,2020-02-20
55.0800018310547,55.3400001525879,54.439998626709,54.6800003051758,9078600,50.3438339233398,2020-02-21
53.0999984741211,53.5299987792969,52.5099983215332,52.6500015258789,10992500,48.4748191833496,2020-02-24
53.0699996948242,53.2200012207031,50.7999992370605,50.9599990844727,12202600,46.918830871582,2020-02-25
51.310001373291,53.1399993896484,51.2400016784668,52.0499992370605,16413100,47.9224014282227,2020-02-26
50.8800010681152,53.4599990844727,50.7599983215332,50.7799987792969,16161100,46.7531127929688,2020-02-27
49.2400016784668,49.8899993896484,47.9000015258789,49.4599990844727,24426000,45.5377807617188,2020-02-28
49.7299995422363,50.9000015258789,48.6699981689453,50.9000015258789,17328500,46.8635902404785,2020-03-02
50.6199989318848,51.8400001525879,48.25,48.8499984741211,21830500,44.9761581420898,2020-03-03
49.8499984741211,50.5900001525879,48.8300018310547,50.5400009155273,14813700,46.5321464538574,2020-03-04
49.2299995422363,49.6800003051758,47.75,48,15843000,44.1935691833496,2020-03-05
46.5699996948242,48.2999992370605,46.4599990844727,47.3699989318848,24581400,43.6135292053223,2020-03-06
44.9500007629395,47.5699996948242,44.6599998474121,46.0099983215332,25949300,42.3613815307617,2020-03-09
47.4500007629395,48.9099998474121,46.1599998474121,48.5800018310547,27067700,44.7275657653809,2020-03-10
