"SP5A.MI.Open","SP5A.MI.High","SP5A.MI.Low","SP5A.MI.Close","SP5A.MI.Volume","SP5A.MI.Adjusted","Date"
9.72000026702881,9.72000026702881,9.72000026702881,9.72000026702881,0,9.72000026702881,2023-11-02
9.75800037384033,9.75800037384033,9.75800037384033,9.75800037384033,0,9.75800037384033,2023-11-03
9.76000022888184,9.76000022888184,9.76000022888184,9.75800037384033,300,9.75800037384033,2023-11-06
9.8430004119873,9.8430004119873,9.8430004119873,9.8430004119873,0,9.8430004119873,2023-11-07
9.81099987030029,9.81099987030029,9.81099987030029,9.81099987030029,0,9.81099987030029,2023-11-08
9.84000015258789,9.84000015258789,9.84000015258789,9.82999992370605,200,9.82999992370605,2023-11-09
9.84700012207031,9.84700012207031,9.84700012207031,9.84700012207031,0,9.84700012207031,2023-11-10
9.89000034332275,9.89000034332275,9.89000034332275,9.89999961853027,508,9.89999961853027,2023-11-13
9.95699977874756,9.95699977874756,9.95699977874756,9.95699977874756,0,9.95699977874756,2023-11-14
9.98999977111816,9.98999977111816,9.98999977111816,9.98400020599365,500,9.98400020599365,2023-11-15
9.97799968719482,9.97799968719482,9.97799968719482,9.9370002746582,18,9.9370002746582,2023-11-16
9.9399995803833,9.9399995803833,9.9399995803833,9.9399995803833,0,9.9399995803833,2023-11-17
9.94799995422363,9.94799995422363,9.94799995422363,9.94799995422363,0,9.94799995422363,2023-11-20
9.97200012207031,9.97200012207031,9.97200012207031,9.95800018310547,500,9.95800018310547,2023-11-21
10.0679998397827,10.0679998397827,10.0679998397827,10.0679998397827,0,10.0679998397827,2023-11-22
10.0380001068115,10.0380001068115,10.0380001068115,10.0480003356934,56,10.0480003356934,2023-11-23
10.0480003356934,10.0480003356934,10.0480003356934,10.0100002288818,100,10.0100002288818,2023-11-24
10.0100002288818,10.0100002288818,10.0100002288818,10,500,10,2023-11-27
9.9399995803833,9.9399995803833,9.9399995803833,9.9709997177124,1050,9.9709997177124,2023-11-28
10.0059995651245,10.0080003738403,10.0059995651245,9.98499965667725,1205,9.98499965667725,2023-11-29
