"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","Date"
74.0599975585938,75.1500015258789,73.7975006103516,75.0875015258789,135480400,72.5385131835938,2020-01-02
74.2874984741211,75.1449966430664,74.125,74.3574981689453,146322800,71.8332824707031,2020-01-03
73.4475021362305,74.9899978637695,73.1875,74.9499969482422,118387200,72.4056854248047,2020-01-06
74.9599990844727,75.2249984741211,74.370002746582,74.5975036621094,108872000,72.0651397705078,2020-01-07
74.2900009155273,76.1100006103516,74.2900009155273,75.7975006103516,132079200,73.2244110107422,2020-01-08
76.8099975585938,77.6074981689453,76.5500030517578,77.4075012207031,170108400,74.7797698974609,2020-01-09
77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800,74.9488296508789,2020-01-10
77.9100036621094,79.2675018310547,77.7874984741211,79.2399978637695,121532000,76.5500640869141,2020-01-13
79.1750030517578,79.3925018310547,78.0425033569336,78.1699981689453,161954400,75.5163650512695,2020-01-14
77.9625015258789,78.875,77.3874969482422,77.8349990844727,121923600,75.192741394043,2020-01-15
78.3974990844727,78.9250030517578,78.0224990844727,78.8099975585938,108829200,76.1346588134766,2020-01-16
79.067497253418,79.6849975585938,78.75,79.682502746582,137816400,76.9775314331055,2020-01-17
79.2975006103516,79.754997253418,79,79.1425018310547,110843200,76.4558563232422,2020-01-21
79.6449966430664,79.9974975585938,79.3274993896484,79.4250030517578,101832400,76.7287750244141,2020-01-22
79.4800033569336,79.8899993896484,78.9124984741211,79.807502746582,104472000,77.0982894897461,2020-01-23
80.0625,80.8324966430664,79.379997253418,79.5774993896484,146537600,76.8760986328125,2020-01-24
77.5149993896484,77.942497253418,76.2200012207031,77.2375030517578,161940000,74.6155471801758,2020-01-27
78.1500015258789,79.5999984741211,78.0475006103516,79.4225006103516,162234000,76.7263412475586,2020-01-28
81.1125030517578,81.9625015258789,80.3450012207031,81.0849990844727,216229200,78.3324203491211,2020-01-29
80.1350021362305,81.0224990844727,79.6875,80.9674987792969,126743200,78.2189178466797,2020-01-30
80.2324981689453,80.6699981689453,77.0725021362305,77.3775024414062,199588400,74.7507629394531,2020-01-31
76.0749969482422,78.3724975585938,75.5550003051758,77.1650009155273,173788400,74.5454864501953,2020-02-03
78.8274993896484,79.9100036621094,78.4075012207031,79.7125015258789,136616400,77.006477355957,2020-02-04
80.879997253418,81.1900024414062,79.7375030517578,80.3625030517578,118826800,77.6344680786133,2020-02-05
80.6425018310547,81.3050003051758,80.0650024414062,81.3024978637695,105425600,78.5425415039062,2020-02-06
80.5924987792969,80.8499984741211,79.5,80.0074996948242,117684000,77.4749221801758,2020-02-07
78.5449981689453,80.3874969482422,78.4625015258789,80.3874969482422,109348800,77.842903137207,2020-02-10
80.9000015258789,80.9749984741211,79.6774978637695,79.9024963378906,94323200,77.3732681274414,2020-02-11
80.3675003051758,81.8050003051758,80.3675003051758,81.8000030517578,113730400,79.210693359375,2020-02-12
81.0475006103516,81.5550003051758,80.8375015258789,81.2174987792969,94747600,78.6466217041016,2020-02-13
81.1849975585938,81.495002746582,80.7125015258789,81.2375030517578,80113600,78.6659851074219,2020-02-14
78.8399963378906,79.9375,78.6524963378906,79.75,152531200,77.2255935668945,2020-02-18
80,81.1425018310547,80,80.9049987792969,93984000,78.3440246582031,2020-02-19
80.6575012207031,81.1624984741211,79.5524978637695,80.0749969482422,100566000,77.5402908325195,2020-02-20
