"JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted","Date"
145.869995117188,146.020004272461,145.080001831055,145.970001220703,5777000,124.073020935059,2020-01-02
143.5,145.369995117188,143,144.279998779297,5752400,122.636512756348,2020-01-03
144,144.199996948242,142.850006103516,144.100006103516,7731300,122.483497619629,2020-01-06
144.009994506836,145.449996948242,141.380004882812,144.979995727539,7382900,123.231491088867,2020-01-07
144.869995117188,145.979995727539,143.699996948242,144.960006713867,6605800,123.214454650879,2020-01-08
145.759994506836,146.029998779297,144.990005493164,145.389999389648,6112700,123.580017089844,2020-01-09
145.75,146.179992675781,144.899993896484,145.059997558594,5042600,123.29948425293,2020-01-10
145.479995727539,145.789993286133,144.720001220703,145.699996948242,4593200,123.843467712402,2020-01-13
145.050003051758,146.610000610352,144.729995727539,146.520004272461,7037500,124.540458679199,2020-01-14
146.399993896484,147.399993896484,146.240005493164,147.009994506836,4960300,124.956954956055,2020-01-15
147.419998168945,148.839996337891,146.199996948242,148.199996948242,6476000,125.968475341797,2020-01-16
148.410003662109,149.410003662109,147.929992675781,149.169998168945,9083600,126.792961120605,2020-01-17
148.580001831055,150.169998168945,148.5,149.270004272461,9543900,126.877967834473,2020-01-21
146.699996948242,149.179992675781,146,148.25,10305300,126.010940551758,2020-01-22
148.039993286133,148.770004272461,146.759994506836,148.529998779297,8671900,126.248954772949,2020-01-23
148.580001831055,148.949996948242,147.929992675781,148.320007324219,9051900,126.070426940918,2020-01-24
147.520004272461,149.460006713867,147,148.75,7587100,126.435913085938,2020-01-27
148.460006713867,150.570007324219,148.149993896484,149.5,7336600,127.073455810547,2020-01-28
149.449996948242,151.190002441406,149.130004882812,150.539993286133,6288600,127.957420349121,2020-01-29
150.029998779297,150.509994506836,149.050003051758,150.360000610352,6470600,127.804428100586,2020-01-30
149.75,150,148.639999389648,148.869995117188,8651700,126.537956237793,2020-01-31
149.419998168945,150.490005493164,149.240005493164,150.169998168945,5765200,127.642913818359,2020-02-03
151.490005493164,152.75,151.199996948242,151.600006103516,6541400,128.8583984375,2020-02-04
151.720001220703,154.020004272461,151.309997558594,153.990005493164,5979900,130.889923095703,2020-02-05
154.25,154.5,152.740005493164,153.529998779297,6201200,130.498931884766,2020-02-06
153.339996337891,153.460006713867,151.550003051758,151.889999389648,5700300,129.104919433594,2020-02-07
151.679992675781,151.910003662109,150.889999389648,151.860000610352,4835600,129.079391479492,2020-02-10
152.289993286133,152.380004882812,151.539993286133,151.990005493164,3715300,129.189926147461,2020-02-11
151.869995117188,152.149993896484,150.919998168945,151.089996337891,5166800,128.424957275391,2020-02-12
150.160003662109,151.039993286133,149.880004882812,150.089996337891,5480200,127.57495880127,2020-02-13
150.559997558594,150.639999389648,149.149993896484,150.130004882812,5716300,127.60897064209,2020-02-14
150.470001220703,150.740005493164,149.059997558594,149.139999389648,7230700,126.767440795898,2020-02-18
149.210006713867,149.759994506836,148.580001831055,148.940002441406,6115200,126.597457885742,2020-02-19
148.610000610352,149.380004882812,147.399993896484,148.369995117188,7464700,126.112968444824,2020-02-20
