"HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted","Date"
177.5,180.800003051758,177.139999389648,180.789993286133,2857400,160.494934082031,2020-01-02
178.339996337891,179.830001831055,177.410003662109,178.860000610352,2805200,158.78157043457,2020-01-03
177.839996337891,178.380004882812,176.929992675781,177.509994506836,3277900,157.583099365234,2020-01-06
177.369995117188,178.070007324219,175.589996337891,177.610000610352,3002800,157.671905517578,2020-01-07
177.669998168945,179.100006103516,176.729995727539,177.759994506836,2545500,157.805114746094,2020-01-08
178.699996948242,179.429992675781,178.059997558594,179.070007324219,1789500,158.968017578125,2020-01-09
179.899993896484,179.899993896484,178.139999389648,178.679992675781,1671700,158.621795654297,2020-01-10
179.25,181.339996337891,178.690002441406,181.270004272461,2261900,160.921051025391,2020-01-13
180.490005493164,181.220001220703,179.509994506836,180.449996948242,2191200,160.193130493164,2020-01-14
181.289993286133,182.440002441406,179.850006103516,180.729995727539,2600800,160.441650390625,2020-01-15
181.5,182.490005493164,180.789993286133,182.259994506836,2215400,161.799926757812,2020-01-16
182.860000610352,184.059997558594,182.529998779297,183.229995727539,2608000,162.660980224609,2020-01-17
183.039993286133,183.300003051758,180.470001220703,180.929992675781,2188600,160.619171142578,2020-01-21
181.559997558594,181.880004882812,179.809997558594,180.050003051758,1881700,159.837997436523,2020-01-22
179.809997558594,180.539993286133,179.029998779297,179.580001831055,2434000,159.420761108398,2020-01-23
179.919998168945,180.259994506836,176.490005493164,177.130004882812,2737000,157.245819091797,2020-01-24
174.270004272461,175.339996337891,173.470001220703,173.539993286133,2491500,154.058792114258,2020-01-27
174.119995117188,176.75,173.240005493164,175.460006713867,2178400,155.763275146484,2020-01-28
177,177.740005493164,175.630004882812,175.669998168945,2199000,155.949676513672,2020-01-29
173.800003051758,178.770004272461,173.800003051758,178.339996337891,3076100,158.319976806641,2020-01-30
177.910003662109,177.910003662109,171.339996337891,173.220001220703,5500000,153.77473449707,2020-01-31
174.460006713867,175.619995117188,170.669998168945,171.320007324219,3542700,152.088043212891,2020-02-03
174.080001831055,176.059997558594,174,175.210006713867,2992500,155.541366577148,2020-02-04
176.910003662109,177.630004882812,175.399993896484,176.899993896484,2818100,157.041595458984,2020-02-05
178,178,176.160003662109,176.350006103516,2427500,156.553375244141,2020-02-06
175.850006103516,176.720001220703,174.699996948242,175.279998779297,3254500,155.603485107422,2020-02-07
174.919998168945,177.119995117188,174.110000610352,176.949996948242,2399700,157.085998535156,2020-02-10
178.25,179.940002441406,177.199996948242,179.149993896484,2948500,159.039047241211,2020-02-11
179.479995727539,181.639999389648,179.050003051758,181.179992675781,2950800,160.841125488281,2020-02-12
180.330001831055,180.949996948242,178.690002441406,180.119995117188,1985700,159.900146484375,2020-02-13
180.509994506836,181.860000610352,179.979995727539,180.809997558594,2489000,160.5126953125,2020-02-14
180.100006103516,180.490005493164,178.949996948242,179.419998168945,1818600,159.278747558594,2020-02-18
179.830001831055,181.679992675781,179.5,180.860000610352,2464500,160.557067871094,2020-02-19
180.929992675781,182.210006713867,179.009994506836,180.699996948242,2336800,160.415023803711,2020-02-20
179.610000610352,180.990005493164,178.75,179.880004882812,1940400,159.687103271484,2020-02-21
174.440002441406,177.369995117188,173.460006713867,175.270004272461,3204300,155.594619750977,2020-02-24
175.639999389648,176.550003051758,166.830001831055,167.800003051758,4092200,148.963180541992,2020-02-25
168.589996337891,172.080001831055,166.770004272461,167.179992675781,3411700,148.412750244141,2020-02-26
163.009994506836,166.830001831055,159.520004272461,159.550003051758,3951300,142.405914306641,2020-02-27
153.75,162.169998168945,150.619995117188,162.169998168945,9558100,144.744384765625,2020-02-28
163.089996337891,165.479995727539,157.589996337891,164.240005493164,6744900,146.591949462891,2020-03-02
164.279998779297,168.179992675781,160.559997558594,161.889999389648,6108500,144.494476318359,2020-03-03
164.899993896484,171.929992675781,164.259994506836,171.190002441406,4532500,152.795150756836,2020-03-04
166.5,167.910003662109,163.220001220703,164.919998168945,5394700,147.198852539062,2020-03-05
158.809997558594,165.119995117188,157.580001831055,164.029998779297,5021600,146.404525756836,2020-03-06
152.5,157.259994506836,149.740005493164,152.860000610352,5849000,136.434799194336,2020-03-09
155.850006103516,161.940002441406,153.350006103516,161.690002441406,5477600,144.315963745117,2020-03-10
156.830001831055,157.479995727539,151.559997558594,153.389999389648,4826900,136.907791137695,2020-03-11
143.389999389648,145.479995727539,134.440002441406,134.850006103516,7170500,120.360023498535,2020-03-12
142.149993896484,149.679992675781,138.020004272461,149.410003662109,6324800,133.355529785156,2020-03-13
128,143.229995727539,124.01000213623,135.270004272461,5891000,120.734878540039,2020-03-16
136.229995727539,141.970001220703,130.190002441406,131.800003051758,8524800,117.637733459473,2020-03-17
121.919998168945,124.129997253418,101.099998474121,119.610000610352,7633900,106.757583618164,2020-03-18
117.75,122.419998168945,112.019996643066,118.959999084473,6814100,106.177421569824,2020-03-19
120.889999389648,121.160003662109,110.779998779297,112.5,6801200,100.411582946777,2020-03-20
107.48999786377,111.080001831055,101.080001831055,103.860000610352,8200400,92.6999588012695,2020-03-23
110,119.529998779297,109.25,119.51000213623,5799100,106.668334960938,2020-03-24
120.290000915527,135.339996337891,119.800003051758,129.649993896484,7159100,115.718727111816,2020-03-25
131.830001831055,139.389999389648,131.160003662109,137.399993896484,5594400,122.636001586914,2020-03-26
131.419998168945,135.210006713867,128.139999389648,131.270004272461,3924900,117.164703369141,2020-03-27
130.75,133.759994506836,130.130004882812,131.75,5035700,117.593124389648,2020-03-30
131.839996337891,136.110000610352,130,133.789993286133,5296000,119.413902282715,2020-03-31
128.279998779297,131.279998779297,125.5,129.710006713867,4246100,115.772300720215,2020-04-01
128.600006103516,133.149993896484,127.139999389648,132.809997558594,3504200,118.539199829102,2020-04-02
132.5,132.839996337891,126.529998779297,127.449996948242,4031500,113.75513458252,2020-04-03
133.520004272461,135.369995117188,132.509994506836,134,4874300,119.601341247559,2020-04-06
140.639999389648,142.220001220703,135,135.240005493164,4051700,120.70809173584,2020-04-07
136.669998168945,140.380004882812,135.210006713867,139.25,3890600,124.287231445312,2020-04-08
140,146.300003051758,139.699996948242,143.429992675781,4365000,128.018051147461,2020-04-09
142.759994506836,143.210006713867,136.509994506836,137.940002441406,3016300,123.117965698242,2020-04-13
140.710006713867,143.729995727539,138.550003051758,140.589996337891,3486600,125.483215332031,2020-04-14
137.570007324219,137.970001220703,132.509994506836,134.839996337891,3252800,120.351058959961,2020-04-15
134.580001831055,135.300003051758,129.580001831055,132.330001831055,4016700,118.110786437988,2020-04-16
135.869995117188,140.199996948242,135.669998168945,138.320007324219,4750700,123.457145690918,2020-04-17
135.789993286133,138.190002441406,134.889999389648,135.699996948242,2529000,121.118637084961,2020-04-20
133.070007324219,134.020004272461,130.720001220703,132,2418100,117.816253662109,2020-04-21
134.220001220703,134.710006713867,131.75,133.029998779297,2629700,118.735557556152,2020-04-22
134.75,138.589996337891,134.160003662109,134.679992675781,2786400,120.20825958252,2020-04-23
