"BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted","Date"
510,510,504.920013427734,508.980010986328,560400,442.339569091797,2020-01-02
501.720001220703,506.700012207031,501.519989013672,503.570007324219,337300,437.637878417969,2020-01-03
500.170013427734,504.769989013672,498.510009765625,504,411300,438.011596679688,2020-01-06
502.880004882812,509.820007324219,502.880004882812,507.220001220703,453900,440.809936523438,2020-01-07
507.769989013672,510.140014648438,502.239990234375,507.100006103516,726500,440.705657958984,2020-01-08
513.880004882812,514.820007324219,510.600006103516,513.099975585938,477100,445.920135498047,2020-01-09
514.510009765625,515.239990234375,510.410003662109,512.179992675781,484000,445.120544433594,2020-01-10
513.27001953125,523.450012207031,513.27001953125,523.109985351562,651800,454.619476318359,2020-01-13
520.150024414062,525,516.52001953125,518.320007324219,923600,450.456665039062,2020-01-14
518.5,531.619995117188,518.5,530.260009765625,1005100,460.833282470703,2020-01-15
536.909973144531,536.909973144531,530.25,535,778100,464.952667236328,2020-01-16
537.059997558594,539.200012207031,533.22998046875,535.239990234375,669100,465.161407470703,2020-01-17
532.010009765625,534.150024414062,527.760009765625,529.140014648438,775800,459.860076904297,2020-01-21
532.530029296875,539.630004882812,531.340026855469,536.859985351562,778100,466.569122314453,2020-01-22
533.599975585938,544,532.880004882812,541.940002441406,804500,470.984130859375,2020-01-23
544.419982910156,547.349975585938,532.760009765625,536.840026855469,751200,466.551879882812,2020-01-24
522,530.330017089844,519.609985351562,523.809997558594,516500,455.227844238281,2020-01-27
527.960021972656,533.77001953125,525.150024414062,529.969970703125,496600,460.581207275391,2020-01-28
534.450012207031,542.169982910156,532.369995117188,536.489990234375,434700,466.24755859375,2020-01-29
531.039978027344,540.260009765625,528.909973144531,539.690002441406,511000,469.028625488281,2020-01-30
537.940002441406,539.090026855469,525.179992675781,527.349975585938,646400,458.304382324219,2020-01-31
530.22998046875,537.150024414062,529.799987792969,530.080017089844,503100,460.676910400391,2020-02-03
538.169982910156,540.320007324219,531.450012207031,535.239990234375,851800,465.161407470703,2020-02-04
543.840026855469,546.679992675781,537.469970703125,543.47998046875,943000,472.322357177734,2020-02-05
548.070007324219,555.239990234375,541.330017089844,554.669982910156,824400,482.047302246094,2020-02-06
550,556.010009765625,549.5,555.739990234375,712900,482.977203369141,2020-02-07
553.440002441406,561.25,553.299987792969,561.099975585938,744100,487.635437011719,2020-02-10
