"PHN.MI.Open","PHN.MI.High","PHN.MI.Low","PHN.MI.Close","PHN.MI.Volume","PHN.MI.Adjusted","Date"
24,24.1000003814697,23.3999996185303,24.1000003814697,3553,21.8377017974854,2020-01-02
23.6000003814697,24.3999996185303,23.6000003814697,23.8999996185303,4899,21.6564750671387,2020-01-03
23.8999996185303,24,23.2999992370605,23.7000007629395,4403,21.4752521514893,2020-01-06
23.7999992370605,23.8999996185303,23.2999992370605,23.3999996185303,3148,21.2034091949463,2020-01-07
23.7999992370605,24.2000007629395,23.7000007629395,24.1000003814697,5729,21.8377017974854,2020-01-08
24.2999992370605,25.1000003814697,24.2999992370605,24.5,11972,22.2001514434814,2020-01-09
24.6000003814697,24.6000003814697,24.1000003814697,24.3999996185303,3942,22.1095409393311,2020-01-10
24.5,24.6000003814697,24.1000003814697,24.6000003814697,6820,22.2907676696777,2020-01-13
24.2999992370605,24.5,23.8999996185303,24.2000007629395,8914,21.928316116333,2020-01-14
24.3999996185303,24.6000003814697,24,24,16893,21.7470874786377,2020-01-15
24.2000007629395,24.2999992370605,24.1000003814697,24.2000007629395,6876,21.928316116333,2020-01-16
24.1000003814697,24.2999992370605,24.1000003814697,24.2999992370605,16822,22.0189266204834,2020-01-17
24.2999992370605,24.2999992370605,24.2000007629395,24.2999992370605,12327,22.0189266204834,2020-01-20
24.1000003814697,24.2000007629395,24.1000003814697,24.2000007629395,2316,21.928316116333,2020-01-21
24.2000007629395,24.2999992370605,23.7999992370605,23.7999992370605,5007,21.565860748291,2020-01-22
23.7999992370605,24,22.7000007629395,24,11025,21.7470874786377,2020-01-23
24,24.2000007629395,24,24.2000007629395,1059,21.928316116333,2020-01-24
23.7000007629395,23.8999996185303,23.1000003814697,23.6000003814697,5914,21.3846378326416,2020-01-27
23.6000003814697,24.1000003814697,23.3999996185303,23.5,4685,21.2940235137939,2020-01-28
23.7999992370605,23.7999992370605,23.3999996185303,23.7000007629395,1401,21.4752521514893,2020-01-29
23.3999996185303,23.7000007629395,22.8999996185303,23.6000003814697,2409,21.3846378326416,2020-01-30
23.2000007629395,23.3999996185303,23.1000003814697,23.2999992370605,2095,21.1127967834473,2020-01-31
23.1000003814697,24.2000007629395,23.1000003814697,24.2000007629395,6935,21.928316116333,2020-02-03
24.3999996185303,24.5,23.7999992370605,23.8999996185303,5975,21.6564750671387,2020-02-04
23.8999996185303,23.8999996185303,23.7000007629395,23.8999996185303,1770,21.6564750671387,2020-02-05
23.8999996185303,24.1000003814697,23.7000007629395,23.7000007629395,2283,21.4752521514893,2020-02-06
24.1000003814697,24.1000003814697,23.5,24,6636,21.7470874786377,2020-02-07
23.7000007629395,24,23.5,24,10221,21.7470874786377,2020-02-10
23.7999992370605,24,23.6000003814697,24,3081,21.7470874786377,2020-02-11
23.7000007629395,24,23.6000003814697,23.8999996185303,3427,21.6564750671387,2020-02-12
23.8999996185303,24,23.7000007629395,23.7000007629395,1361,21.4752521514893,2020-02-13
23.8999996185303,23.8999996185303,23.7000007629395,23.8999996185303,746,21.6564750671387,2020-02-14
23.8999996185303,23.8999996185303,23.7999992370605,23.8999996185303,675,21.6564750671387,2020-02-17
23.7999992370605,23.8999996185303,23.2999992370605,23.8999996185303,11198,21.6564750671387,2020-02-18
23.7999992370605,24,23.6000003814697,23.7000007629395,4430,21.4752521514893,2020-02-19
23.7000007629395,24,23.7000007629395,23.7999992370605,2286,21.565860748291,2020-02-20
24,24.1000003814697,23.6000003814697,23.7999992370605,5978,21.565860748291,2020-02-21
23.1000003814697,23.7999992370605,21.2999992370605,22.7000007629395,9014,20.5691223144531,2020-02-24
23.1000003814697,23.7000007629395,22.7000007629395,23.2000007629395,2179,21.0221862792969,2020-02-25
23.6000003814697,23.7000007629395,23.1000003814697,23.5,6201,21.2940235137939,2020-02-26
23.2999992370605,23.2999992370605,22.5,23,3585,20.8409595489502,2020-02-27
22.5,23,21.2999992370605,22.1000003814697,9305,20.0254459381104,2020-02-28
21.6000003814697,22.7999992370605,21.2999992370605,22.5,8734,20.3878955841064,2020-03-02
22.8999996185303,23,21.8999996185303,21.8999996185303,8640,19.8442153930664,2020-03-03
21.6000003814697,22.5,21.2999992370605,21.7000007629395,4583,19.662992477417,2020-03-04
22,22.1000003814697,20.3999996185303,21.8999996185303,10615,19.8442153930664,2020-03-05
