"PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume","PLD.Adjusted","Date"
89.6699981689453,89.8000030517578,87.75,88.4000015258789,2246200,75.4616775512695,2020-01-02
87.5500030517578,89.8600006103516,87.5500030517578,89.3899993896484,2188000,76.3067932128906,2020-01-03
89.4400024414062,89.5999984741211,88.8899993896484,89.0400009155273,1794500,76.0080184936523,2020-01-06
88.620002746582,88.9400024414062,87.879997253418,88.4700012207031,2054500,75.5214462280273,2020-01-07
88.4599990844727,89.2300033569336,88.1500015258789,88.9499969482422,2013700,75.9311981201172,2020-01-08
89.2799987792969,89.8099975585938,88.7399978637695,88.9599990844727,1688300,75.9397277832031,2020-01-09
89.0699996948242,89.7300033569336,89.0100021362305,89.4400024414062,2204300,76.3494873046875,2020-01-10
89.5400009155273,91.8199996948242,89.5,91.8000030517578,2833800,78.3640518188477,2020-01-13
91.5500030517578,91.8399963378906,90.3199996948242,90.629997253418,3124500,77.3652954101562,2020-01-14
91.0899963378906,92.4899978637695,91.0100021362305,92.2099990844727,3309500,78.7140579223633,2020-01-15
92.5400009155273,93.370002746582,92.3099975585938,93.3499984741211,2627500,79.6872100830078,2020-01-16
93.3499984741211,94.7799987792969,93.3099975585938,94.2699966430664,4292500,80.4725646972656,2020-01-17
94.1500015258789,95.6100006103516,94.0599975585938,95.5699996948242,3335500,81.5822906494141,2020-01-21
95.1699981689453,96.379997253418,93.7200012207031,93.9400024414062,3434700,80.1908493041992,2020-01-22
93.5400009155273,95.75,93.120002746582,95.6999969482422,3200900,81.6932525634766,2020-01-23
95.9000015258789,96.7799987792969,95.5699996948242,96.1500015258789,3201800,82.0773773193359,2020-01-24
95.3899993896484,96.0599975585938,94.8399963378906,94.9899978637695,2770800,81.0871658325195,2020-01-27
95.3000030517578,96.0199966430664,95.0400009155273,95.5599975585938,2245200,81.5737380981445,2020-01-28
95.8199996948242,96.620002746582,95.25,96.5,2730100,82.3761749267578,2020-01-29
96.0800018310547,96.9599990844727,95.6100006103516,96.2099990844727,3455200,82.1286468505859,2020-01-30
95.870002746582,95.9700012207031,92.5100021362305,92.879997253418,5227600,79.2859878540039,2020-01-31
93.5,93.5,91.5400009155273,91.870002746582,23204900,78.4238052368164,2020-02-03
91.9800033569336,94.129997253418,91.5199966430664,93.4199981689453,4978000,79.7469635009766,2020-02-04
93.8600006103516,94.0100021362305,92.4300003051758,92.7399978637695,5736500,79.1664886474609,2020-02-05
92.7399978637695,93.4400024414062,92.5400009155273,93.1100006103516,3935200,79.4823303222656,2020-02-06
93.2900009155273,93.5599975585938,92.5999984741211,93.1399993896484,3643800,79.5079345703125,2020-02-07
93.7300033569336,95,93.370002746582,94.6600036621094,5153300,80.8054656982422,2020-02-10
95.3300018310547,96.8499984741211,95.0400009155273,96.2099990844727,3740400,82.1286468505859,2020-02-11
