"META.Open","META.High","META.Low","META.Close","META.Volume","META.Adjusted","Date"
206.75,209.789993286133,206.270004272461,209.779998779297,12077100,208.494689941406,2020-01-02
207.210006713867,210.399993896484,206.949996948242,208.669998168945,11188400,207.391479492188,2020-01-03
206.699996948242,212.779998779297,206.520004272461,212.600006103516,17058900,211.297424316406,2020-01-06
212.820007324219,214.580001831055,211.75,213.059997558594,14912400,211.75456237793,2020-01-07
213,216.240005493164,212.610000610352,215.220001220703,13475000,213.9013671875,2020-01-08
217.539993286133,218.380004882812,216.279998779297,218.300003051758,12642800,216.962478637695,2020-01-09
219.199996948242,219.880004882812,217.419998168945,218.059997558594,12119400,216.72395324707,2020-01-10
219.600006103516,221.970001220703,219.210006713867,221.910003662109,14463400,220.550354003906,2020-01-13
221.610000610352,222.380004882812,218.630004882812,219.059997558594,13288900,217.717834472656,2020-01-14
220.610000610352,221.679992675781,220.139999389648,221.149993896484,10036500,219.795013427734,2020-01-15
222.570007324219,222.630004882812,220.389999389648,221.770004272461,10015300,220.411239624023,2020-01-16
222.029998779297,222.289993286133,220.529998779297,222.139999389648,15905900,220.778961181641,2020-01-17
222.160003662109,222.369995117188,219.119995117188,221.440002441406,14275800,220.083251953125,2020-01-21
222.309997558594,222.75,221.279998779297,221.320007324219,12212800,219.963989257812,2020-01-22
220.75,221.490005493164,219.270004272461,219.759994506836,11195000,218.413543701172,2020-01-23
220.800003051758,221.779998779297,216.110000610352,217.940002441406,11905800,216.604705810547,2020-01-24
213.100006103516,216.059997558594,212.5,214.869995117188,13810700,213.553512573242,2020-01-27
216.139999389648,218.740005493164,213.520004272461,217.789993286133,13413800,216.455627441406,2020-01-28
221.440002441406,224.199996948242,218.449996948242,223.229995727539,33181300,221.862274169922,2020-01-29
206.529998779297,211.429992675781,204.75,209.529998779297,48775500,208.246246337891,2020-01-30
208.429992675781,208.690002441406,201.059997558594,201.910003662109,31359900,200.672943115234,2020-01-31
203.440002441406,205.139999389648,202.5,204.190002441406,15495600,202.93896484375,2020-02-03
206.619995117188,210.600006103516,205.199996948242,209.830001831055,19628900,208.544372558594,2020-02-04
212.509994506836,212.729995727539,208.710006713867,210.110000610352,12538200,208.822662353516,2020-02-05
210.470001220703,211.190002441406,209.339996337891,210.850006103516,10567500,209.558120727539,2020-02-06
210.300003051758,212.820007324219,209.929992675781,212.330001831055,12242500,211.029067993164,2020-02-07
211.520004272461,213.800003051758,210.660003662109,213.059997558594,11856400,211.75456237793,2020-02-10
210.190002441406,210.860000610352,206.509994506836,207.190002441406,25030800,205.92057800293,2020-02-11
207.850006103516,211.220001220703,207.399993896484,210.759994506836,13813700,209.468704223633,2020-02-12
209.520004272461,214.330001831055,209.179992675781,213.139999389648,15396600,211.834106445312,2020-02-13
214,214.929992675781,212.649993896484,214.179992675781,10741700,212.867721557617,2020-02-14
213.550003051758,217.979995727539,213.399993896484,217.800003051758,15609200,216.465560913086,2020-02-18
217.990005493164,218.320007324219,216.110000610352,217.490005493164,12135100,216.157440185547,2020-02-19
216.520004272461,218.770004272461,212.949996948242,214.580001831055,13109200,213.265289306641,2020-02-20
213.479995727539,214.240005493164,208.830001831055,210.179992675781,14092300,208.892242431641,2020-02-21
201.800003051758,203.649993896484,198.169998168945,200.720001220703,23080100,199.490219116211,2020-02-24
202.25,203.5,195.949996948242,196.770004272461,21433500,195.564422607422,2020-02-25
197.190002441406,201.210006713867,195.490005493164,197.199996948242,16524500,195.991775512695,2020-02-26
191.820007324219,195.880004882812,189.5,189.75,21682600,188.587417602539,2020-02-27
182.699996948242,192.740005493164,181.820007324219,192.470001220703,32568900,191.290756225586,2020-02-28
194.029998779297,196.570007324219,188.850006103516,196.440002441406,24949000,195.236434936523,2020-03-02
196.220001220703,197.240005493164,183.970001220703,185.889999389648,27984100,184.751052856445,2020-03-03
189.169998168945,191.830001831055,186.389999389648,191.759994506836,23062500,190.585098266602,2020-03-04
186.779998779297,188.990005493164,183.889999389648,185.169998168945,19333400,184.035461425781,2020-03-05
178.330001831055,183.779998779297,176.259994506836,181.089996337891,24559600,179.98046875,2020-03-06
169.600006103516,175,165.190002441406,169.5,29949000,168.461471557617,2020-03-09
174.669998168945,178.289993286133,169.5,178.190002441406,24517800,177.098236083984,2020-03-10
174.009994506836,175.880004882812,167.660003662109,170.240005493164,20373900,169.19694519043,2020-03-11
159.539993286133,166.600006103516,154.339996337891,154.470001220703,43266300,153.523574829102,2020-03-12
163.529998779297,170.789993286133,157.600006103516,170.279998779297,35028600,169.236709594727,2020-03-13
152.320007324219,159.130004882812,143.100006103516,146.009994506836,39120400,145.11540222168,2020-03-16
150.740005493164,153.940002441406,140,149.419998168945,34255600,148.504501342773,2020-03-17
139.75,148.179992675781,137.100006103516,146.960006713867,37553100,146.059585571289,2020-03-18
146.619995117188,159.929992675781,144.800003051758,153.130004882812,39862300,152.191772460938,2020-03-19
156.020004272461,159.270004272461,148,149.729995727539,32568400,148.812622070312,2020-03-20
149.660003662109,152.309997558594,142.25,148.100006103516,29830800,147.192611694336,2020-03-23
155.210006713867,161.309997558594,152.570007324219,160.979995727539,30440400,159.993698120117,2020-03-24
158.919998168945,162.990005493164,153.059997558594,156.210006713867,35184300,155.252914428711,2020-03-25
158.25,164,157.020004272461,163.339996337891,26556800,162.339202880859,2020-03-26
158.199996948242,160.089996337891,154.75,156.789993286133,24879900,155.829345703125,2020-03-27
