"HG-F.Open","HG-F.High","HG-F.Low","HG-F.Close","HG-F.Volume","HG-F.Adjusted","Date"
3.9925000667572,4,3.97449994087219,3.98850011825562,764,3.98850011825562,2025-01-02
4.03399991989136,4.04199981689453,4.03350019454956,4.03950023651123,505,4.03950023651123,2025-01-03
4.11499977111816,4.16200017929077,4.11499977111816,4.1269998550415,485,4.1269998550415,2025-01-06
4.16149997711182,4.16200017929077,4.13899993896484,4.16050004959106,814,4.16050004959106,2025-01-07
4.19000005722046,4.23699998855591,4.19000005722046,4.22749996185303,441,4.22749996185303,2025-01-08
4.28499984741211,4.28499984741211,4.26900005340576,4.27950000762939,281,4.27950000762939,2025-01-09
4.31400012969971,4.31400012969971,4.27449989318848,4.27449989318848,298,4.27449989318848,2025-01-10
4.28999996185303,4.29549980163574,4.28999996185303,4.29549980163574,231,4.29549980163574,2025-01-13
4.32499980926514,4.32499980926514,4.29250001907349,4.3105001449585,452,4.3105001449585,2025-01-14
4.34000015258789,4.36600017547607,4.34000015258789,4.35949993133545,298,4.35949993133545,2025-01-15
4.40000009536743,4.41200017929077,4.39799976348877,4.41050004959106,200,4.41050004959106,2025-01-16
4.34950017929077,4.35200023651123,4.32999992370605,4.33750009536743,288,4.33750009536743,2025-01-17
4.30999994277954,4.31099987030029,4.27150011062622,4.31099987030029,493,4.31099987030029,2025-01-21
4.26999998092651,4.27150011062622,4.25850009918213,4.27150011062622,445,4.27150011062622,2025-01-22
4.25,4.29949998855591,4.22949981689453,4.29949998855591,488,4.29949998855591,2025-01-23
4.33900022506714,4.33900022506714,4.28049993515015,4.28999996185303,476,4.28999996185303,2025-01-24
4.2350001335144,4.2350001335144,4.2020001411438,4.20349979400635,710,4.20349979400635,2025-01-27
4.2350001335144,4.24650001525879,4.21999979019165,4.22049999237061,435,4.22049999237061,2025-01-28
4.25649976730347,4.25799989700317,4.25649976730347,4.25750017166138,1145,4.25750017166138,2025-01-29
4.25500011444092,4.31349992752075,4.25500011444092,4.28800010681152,1598,4.28800010681152,2025-01-30
4.27549982070923,4.27600002288818,4.24700021743774,4.26200008392334,872,4.26200008392334,2025-01-31
4.25349998474121,4.30849981307983,4.25349998474121,4.29400014877319,597,4.29400014877319,2025-02-03
4.32499980926514,4.35099983215332,4.32499980926514,4.34250020980835,567,4.34250020980835,2025-02-04
4.38600015640259,4.43599987030029,4.38600015640259,4.43450021743774,602,4.43450021743774,2025-02-05
4.48850011825562,4.49200010299683,4.4355001449585,4.45349979400635,586,4.45349979400635,2025-02-06
4.53649997711182,4.58900022506714,4.53649997711182,4.58150005340576,342,4.58150005340576,2025-02-07
4.68249988555908,4.70300006866455,4.67449998855591,4.70050001144409,495,4.70050001144409,2025-02-10
4.55600023269653,4.59450006484985,4.54699993133545,4.59450006484985,390,4.59450006484985,2025-02-11
4.69799995422363,4.69799995422363,4.69250011444092,4.69799995422363,281,4.69799995422363,2025-02-12
4.76599979400635,4.76999998092651,4.76399993896484,4.76900005340576,358,4.76900005340576,2025-02-13
4.6564998626709,4.6564998626709,4.6564998626709,4.6564998626709,636,4.6564998626709,2025-02-14
4.59000015258789,4.5939998626709,4.55000019073486,4.58500003814697,683,4.58500003814697,2025-02-18
4.55700016021729,4.55700016021729,4.55700016021729,4.55700016021729,569,4.55700016021729,2025-02-19
4.54500007629395,4.60799980163574,4.54500007629395,4.60799980163574,663,4.60799980163574,2025-02-20
