"LDO.MI.Open","LDO.MI.High","LDO.MI.Low","LDO.MI.Close","LDO.MI.Volume","LDO.MI.Adjusted","Date"
10.5,10.6350002288818,10.4650001525879,10.4750003814697,1264225,9.74007034301758,2020-01-02
10.4399995803833,10.5799999237061,10.4049997329712,10.5799999237061,1569605,9.83770370483398,2020-01-03
10.5799999237061,10.8900003433228,10.4399995803833,10.875,3268214,10.112006187439,2020-01-06
10.9399995803833,11.1499996185303,10.9250001907349,11.0200004577637,3649794,10.2468318939209,2020-01-07
11.0200004577637,11.3500003814697,10.8699998855591,11.3500003814697,4011434,10.5536804199219,2020-01-08
11.3999996185303,11.4099998474121,11.2150001525879,11.289999961853,3381519,10.4978885650635,2020-01-09
11.2799997329712,11.3699998855591,11.2049999237061,11.3450002670288,2533019,10.5490303039551,2020-01-10
11.3800001144409,11.3999996185303,11.1999998092651,11.3100004196167,2034846,10.5164861679077,2020-01-13
11.4650001525879,11.4799995422363,11.1000003814697,11.1099996566772,3458422,10.3305168151855,2020-01-14
11.0950002670288,11.2349996566772,11.0200004577637,11.0600004196167,1822748,10.2840251922607,2020-01-15
11.0900001525879,11.0950002670288,10.960000038147,11,1724900,10.2282361984253,2020-01-16
11.0900001525879,11.1700000762939,11,11.1149997711182,1753657,10.3351669311523,2020-01-17
11.1049995422363,11.1750001907349,11.0600004196167,11.085000038147,1110666,10.3072719573975,2020-01-20
11.039999961853,11.039999961853,10.8850002288818,10.9849996566772,1183487,10.2142877578735,2020-01-21
10.960000038147,11.0749998092651,10.9250001907349,10.9650001525879,1325304,10.1956911087036,2020-01-22
11.0050001144409,11.2049999237061,10.8999996185303,10.9099998474121,2281322,10.144549369812,2020-01-23
11.0450000762939,11.2700004577637,11.0349998474121,11.1750001907349,2150679,10.3909568786621,2020-01-24
11,11.1450004577637,10.7399997711182,10.7650003433228,2570100,10.0097227096558,2020-01-27
10.8000001907349,10.9200000762939,10.6099996566772,10.835000038147,2675723,10.0748119354248,2020-01-28
10.8900003433228,11.2250003814697,10.8299999237061,11.2049999237061,2512332,10.4188528060913,2020-01-29
11.0500001907349,11.1800003051758,10.9700002670288,10.9700002670288,2037271,10.2003402709961,2020-01-30
11.3000001907349,11.5500001907349,11.125,11.1800003051758,7056737,10.3956060409546,2020-01-31
11.2200002670288,11.2399997711182,11.0799999237061,11.1400003433228,2943265,10.3584117889404,2020-02-03
11.2399997711182,11.5749998092651,11.1199998855591,11.5,3225373,10.693154335022,2020-02-04
11.4499998092651,11.6999998092651,11.4350004196167,11.4849996566772,3141350,10.6792068481445,2020-02-05
11.5249996185303,11.6350002288818,11.3450002670288,11.460000038147,2314407,10.6559600830078,2020-02-06
11.4750003814697,11.8500003814697,11.375,11.8199996948242,4090242,10.9907026290894,2020-02-07
11.7700004577637,11.875,11.6949996948242,11.710000038147,1811561,10.8884229660034,2020-02-10
11.7849998474121,11.8699998855591,11.6300001144409,11.6300001144409,1552567,10.8140344619751,2020-02-11
11.6400003433228,11.835000038147,11.6400003433228,11.7550001144409,1666329,10.9302644729614,2020-02-12
11.710000038147,11.7550001144409,11.5050001144409,11.6350002288818,1947389,10.8186836242676,2020-02-13
11.6750001907349,11.6750001907349,11.4449996948242,11.4750003814697,1572341,10.6699094772339,2020-02-14
11.4849996566772,11.5150003433228,11.3400001525879,11.375,2232311,10.57692527771,2020-02-17
11.3000001907349,11.4049997329712,11.1899995803833,11.3900003433228,1993430,10.5908737182617,2020-02-18
11.4449996948242,11.4750003814697,11.210000038147,11.2550001144409,2238795,10.4653434753418,2020-02-19
11.2250003814697,11.3149995803833,11.0500001907349,11.0500001907349,2380194,10.2747278213501,2020-02-20
11.0550003051758,11.2399997711182,10.8900003433228,11.0299997329712,3034175,10.2561311721802,2020-02-21
10.6000003814697,10.6499996185303,10.210000038147,10.289999961853,5363025,9.56804943084717,2020-02-24
10.3400001525879,10.4250001907349,10,10,3810871,9.29839611053467,2020-02-25
10,10.2349996566772,9.73999977111816,10.0699996948242,3959363,9.36348342895508,2020-02-26
9.86200046539307,9.88000011444092,9.45600032806396,9.63599967956543,5042891,8.95993328094482,2020-02-27
9.36200046539307,9.42000007629395,9.07999992370605,9.23799991607666,6501413,8.58985710144043,2020-02-28
