"LAFRI.MI.Open","LAFRI.MI.High","LAFRI.MI.Low","LAFRI.MI.Close","LAFRI.MI.Volume","LAFRI.MI.Adjusted","Date"
9.25300025939941,9.28999996185303,9.25300025939941,9.29399967193604,4645,9.29399967193604,2020-01-02
9.17899990081787,9.29800033569336,9.16800022125244,9.24699974060059,4166,9.24699974060059,2020-01-03
9.20300006866455,9.20300006866455,9.08500003814697,9.14799976348877,1660,9.14799976348877,2020-01-06
9.12899971008301,9.19499969482422,9.11999988555908,9.15499973297119,3078,9.15499973297119,2020-01-07
9.16100025177002,9.1899995803833,9.1269998550415,9.14700031280518,1055,9.14700031280518,2020-01-08
9.12100028991699,9.1569995880127,9.11999988555908,9.14200019836426,3777,9.14200019836426,2020-01-09
9.19999980926514,9.22500038146973,9.1540002822876,9.22399997711182,3920,9.22399997711182,2020-01-10
9.25,9.25,9.15999984741211,9.14900016784668,2469,9.14900016784668,2020-01-13
9.14900016784668,9.17899990081787,9.14700031280518,9.16800022125244,3916,9.16800022125244,2020-01-14
9.17000007629395,9.22000026702881,9.17000007629395,9.19600009918213,3501,9.19600009918213,2020-01-15
9.19299983978271,9.23499965667725,9.18000030517578,9.26500034332275,1994,9.26500034332275,2020-01-16
9.22399997711182,9.33600044250488,9.22399997711182,9.28800010681152,1986,9.28800010681152,2020-01-17
9.31799983978271,9.31900024414062,9.23099994659424,9.27400016784668,6453,9.27400016784668,2020-01-20
9.18200016021729,9.25699996948242,9.18200016021729,9.29199981689453,6831,9.29199981689453,2020-01-21
9.33300018310547,9.3730001449585,9.33300018310547,9.29500007629395,9346,9.29500007629395,2020-01-22
9.23200035095215,9.27499961853027,9.23200035095215,9.23700046539307,1000,9.23700046539307,2020-01-23
9.33500003814697,9.33500003814697,9.29100036621094,9.30200004577637,175,9.30200004577637,2020-01-24
9.1230001449585,9.21000003814697,9.11100006103516,9.14400005340576,10467,9.14400005340576,2020-01-27
9.125,9.19699954986572,9.09000015258789,9.14700031280518,10478,9.14700031280518,2020-01-28
9.19999980926514,9.22200012207031,9.16100025177002,9.16800022125244,3715,9.16800022125244,2020-01-29
9.18000030517578,9.18000030517578,9.17899990081787,9.14200019836426,551,9.14200019836426,2020-01-30
9.07699966430664,9.12899971008301,9.00899982452393,9.04100036621094,2078,9.04100036621094,2020-01-31
9.01200008392334,9.04699993133545,8.88599967956543,8.98499965667725,5476,8.98499965667725,2020-02-03
9.10000038146973,9.12600040435791,9.04500007629395,9.07199954986572,5356,9.07199954986572,2020-02-04
9.09000015258789,9.19999980926514,9.09000015258789,9.17300033569336,4080,9.17300033569336,2020-02-05
9.19999980926514,9.24699974060059,9.16699981689453,9.1870002746582,1568,9.1870002746582,2020-02-06
9.23499965667725,9.23499965667725,9.13000011444092,9.10400009155273,35276,9.10400009155273,2020-02-07
9.14000034332275,9.17399978637695,9.05599975585938,9.16600036621094,5090,9.16600036621094,2020-02-10
9.21399974822998,9.22299957275391,9.14900016784668,9.19600009918213,20335,9.19600009918213,2020-02-11
9.19099998474121,9.30300045013428,9.19099998474121,9.31799983978271,9248,9.31799983978271,2020-02-12
9.21399974822998,9.35000038146973,9.21399974822998,9.36699962615967,14045,9.36699962615967,2020-02-13
9.32100009918213,9.38399982452393,9.31599998474121,9.35799980163574,17334,9.35799980163574,2020-02-14
9.3439998626709,9.39200019836426,9.30900001525879,9.36299991607666,10690,9.36299991607666,2020-02-17
9.28999996185303,9.38399982452393,9.28899955749512,9.36999988555908,3990,9.36999988555908,2020-02-18
9.39999961853027,9.51200008392334,9.39999961853027,9.52999973297119,15760,9.52999973297119,2020-02-19
9.5,9.5930004119873,9.46199989318848,9.39200019836426,12570,9.39200019836426,2020-02-20
9.50100040435791,9.50100040435791,9.38700008392334,9.44900035858154,8112,9.44900035858154,2020-02-21
9.39999961853027,9.39999961853027,9,9.0930004119873,43495,9.0930004119873,2020-02-24
9.28600025177002,9.29699993133545,9.14900016784668,9.14200019836426,6092,9.14200019836426,2020-02-25
8.9350004196167,9.11499977111816,8.91899967193604,9.19400024414062,8266,9.19400024414062,2020-02-26
9.09899997711182,9.09899997711182,8.64999961853027,8.71700000762939,9908,8.71700000762939,2020-02-27
