"ENI.MI.Open","ENI.MI.High","ENI.MI.Low","ENI.MI.Close","ENI.MI.Volume","ENI.MI.Adjusted","Date"
13.8760004043579,14.0539999008179,13.8699998855591,14.0080003738403,9175964,9.51925373077393,2020-01-02
14,14.1800003051758,13.9899997711182,14.1059999465942,14319031,9.58585071563721,2020-01-03
14.1999998092651,14.4180002212524,14.1599998474121,14.3159999847412,15677459,9.72855854034424,2020-01-06
14.3159999847412,14.3500003814697,14.2340002059937,14.3199996948242,12574227,9.731276512146,2020-01-07
14.3559999465942,14.3900003433228,14.206000328064,14.206000328064,12108752,9.65380573272705,2020-01-08
14.1999998092651,14.246000289917,14.0839996337891,14.1400003433228,11137381,9.60895538330078,2020-01-09
14.1940002441406,14.1940002441406,14.0699996948242,14.1000003814697,8297010,9.58177280426025,2020-01-10
14.1000003814697,14.1239995956421,13.9619998931885,14.039999961853,7512751,9.5409984588623,2020-01-13
13.9899997711182,14.0380001068115,13.8420000076294,13.8739995956421,12823364,9.42819023132324,2020-01-14
13.8999996185303,13.8999996185303,13.7259998321533,13.7980003356934,11063165,9.37654590606689,2020-01-15
13.7980003356934,13.9280004501343,13.78600025177,13.8879995346069,8419328,9.43770503997803,2020-01-16
13.9300003051758,13.960000038147,13.8640003204346,13.9160003662109,7832353,9.4567346572876,2020-01-17
13.8900003433228,13.9799995422363,13.8559999465942,13.8819999694824,5434218,9.43362998962402,2020-01-20
13.8140001296997,13.8199996948242,13.6199998855591,13.71399974823,13296282,9.31946182250977,2020-01-21
13.75,13.7580003738403,13.5019998550415,13.5579996109009,13887915,9.21345138549805,2020-01-22
13.5,13.5799999237061,13.3500003814697,13.4580001831055,14382747,9.14549541473389,2020-01-23
13.46399974823,13.6180000305176,13.4580001831055,13.4700002670288,11426886,9.15365123748779,2020-01-24
13.3500003814697,13.4139995574951,13.1199998855591,13.1960000991821,20127256,8.96745109558105,2020-01-27
13.25,13.4399995803833,13.1099996566772,13.3979997634888,14408505,9.10472011566162,2020-01-28
13.4300003051758,13.4379997253418,13.2639999389648,13.2880001068115,13966157,9.02997207641602,2020-01-29
13.1359996795654,13.1800003051758,12.8900003433228,12.9259996414185,30479038,8.78397178649902,2020-01-30
13,13.0159997940063,12.6300001144409,12.6579999923706,24878394,8.60184955596924,2020-01-31
12.6879997253418,12.6999998092651,12.5240001678467,12.6099996566772,14763425,8.5692310333252,2020-02-03
12.6899995803833,12.8999996185303,12.6560001373291,12.7880001068115,18558091,8.69019317626953,2020-02-04
12.789999961853,13.1000003814697,12.7119998931885,13.0279998779297,19666337,8.85328769683838,2020-02-05
13.1420001983643,13.1759996414185,12.9440002441406,12.9700002670288,15527378,8.81387138366699,2020-02-06
12.9700002670288,12.996000289917,12.8420000076294,12.9060001373291,12925694,8.7703800201416,2020-02-07
12.8699998855591,12.8920001983643,12.7740001678467,12.7799997329712,14294704,8.6847562789917,2020-02-10
12.8500003814697,13.0100002288818,12.78600025177,12.9259996414185,13082879,8.78397178649902,2020-02-11
12.9899997711182,13.1199998855591,12.9619998931885,13.1000003814697,15363708,8.90221309661865,2020-02-12
13.0699996948242,13.1520004272461,12.8380002975464,12.9879999160767,14426001,8.82610416412354,2020-02-13
13.0100002288818,13.0579996109009,12.8920001983643,12.8920001983643,10809404,8.76086521148682,2020-02-14
12.9320001602173,13.0500001907349,12.9200000762939,13.0279998779297,9752930,8.85328769683838,2020-02-17
12.9060001373291,13.0100002288818,12.8540000915527,12.9099998474121,14076828,8.77309703826904,2020-02-18
