"MS.MI.Open","MS.MI.High","MS.MI.Low","MS.MI.Close","MS.MI.Volume","MS.MI.Adjusted","Date"
3.20000004768372,3.20000004768372,2.95000004768372,3.02999997138977,64483,2.91182994842529,2024-07-29
3.03200006484985,3.0699999332428,2.98000001907349,3.0699999332428,27935,2.95026993751526,2024-07-30
3.12800002098083,3.12800002098083,3.01999998092651,3.01999998092651,9085,2.90222001075745,2024-07-31
3,3.03999996185303,2.99000000953674,3,13539,2.88300013542175,2024-08-01
3.00999999046326,3.11999988555908,2.92000007629395,2.92000007629395,20849,2.80612015724182,2024-08-02
2.83999991416931,2.83999991416931,2.83999991416931,2.83999991416931,2100,2.72923994064331,2024-08-05
2.79999995231628,2.84999990463257,2.74000000953674,2.84999990463257,9739,2.73884987831116,2024-08-06
2.84999990463257,2.85999989509583,2.77999997138977,2.84500002861023,26999,2.73404502868652,2024-08-07
2.79999995231628,2.85500001907349,2.77999997138977,2.85500001907349,24358,2.74365520477295,2024-08-08
2.79999995231628,2.83999991416931,2.76999998092651,2.83999991416931,23322,2.72923994064331,2024-08-09
2.8050000667572,2.82999992370605,2.70499992370605,2.79999995231628,19404,2.69079995155334,2024-08-12
2.77999997138977,2.77999997138977,2.5550000667572,2.75500011444092,28085,2.64755511283875,2024-08-13
2.64499998092651,2.78999996185303,2.57999992370605,2.78999996185303,22656,2.6811900138855,2024-08-14
2.78999996185303,2.79500007629395,2.6949999332428,2.79500007629395,13677,2.68599510192871,2024-08-16
2.78500008583069,2.79500007629395,2.70000004768372,2.79500007629395,43437,2.68599510192871,2024-08-19
2.8199999332428,2.82500004768372,2.65499997138977,2.75999999046326,25752,2.65235996246338,2024-08-20
2.75500011444092,2.82500004768372,2.72000002861023,2.8199999332428,25009,2.71002006530762,2024-08-21
2.88000011444092,2.90000009536743,2.74499988555908,2.78999996185303,16674,2.6811900138855,2024-08-22
2.78999996185303,2.82500004768372,2.74000000953674,2.78999996185303,15548,2.6811900138855,2024-08-23
2.78999996185303,2.79999995231628,2.78999996185303,2.78999996185303,2700,2.6811900138855,2024-08-26
2.82999992370605,2.89000010490417,2.70000004768372,2.89000010490417,40285,2.7772901058197,2024-08-27
2.84999990463257,2.84999990463257,2.74000000953674,2.80999994277954,16039,2.70041012763977,2024-08-28
2.79500007629395,2.8199999332428,2.64000010490417,2.73000001907349,45435,2.62353014945984,2024-08-29
2.73000001907349,2.74000000953674,2.53500008583069,2.53500008583069,41069,2.43613505363464,2024-08-30
2.53500008583069,2.74000000953674,2.42000007629395,2.70499992370605,10172,2.59950494766235,2024-09-02
2.67000007629395,2.69000005722046,2.60999989509583,2.61999988555908,3496,2.51781988143921,2024-09-03
2.67000007629395,2.67000007629395,2.67000007629395,2.67000007629395,178,2.5658700466156,2024-09-04
2.63499999046326,2.63499999046326,2.60999989509583,2.60999989509583,3472,2.50820994377136,2024-09-05
2.57999992370605,2.68499994277954,2.5699999332428,2.68499994277954,629,2.58028507232666,2024-09-06
2.81500005722046,2.84999990463257,2.66000008583069,2.69000005722046,57508,2.58509016036987,2024-09-09
2.96000003814697,3.09500002861023,2.72000002861023,2.73000001907349,30731,2.62353014945984,2024-09-10
2.73000001907349,2.80999994277954,2.68499994277954,2.79999995231628,21025,2.69079995155334,2024-09-11
2.80999994277954,2.90000009536743,2.71000003814697,2.90000009536743,25065,2.78690028190613,2024-09-12
