"SPGI.Open","SPGI.High","SPGI.Low","SPGI.Close","SPGI.Volume","SPGI.Adjusted","Date"
274.570007324219,277.899993896484,273.720001220703,277.839996337891,1092300,264.844024658203,2020-01-02
274.549987792969,278.200012207031,274.029998779297,276.910003662109,576800,263.95751953125,2020-01-03
275.600006103516,279.070007324219,274.769989013672,279.040008544922,875100,265.987854003906,2020-01-06
283.119995117188,286.690002441406,280.970001220703,280.980010986328,1253700,267.837127685547,2020-01-07
281.929992675781,286.809997558594,281.130004882812,285.010009765625,1004500,271.6787109375,2020-01-08
285.679992675781,290.899993896484,285.679992675781,289.579986572266,1316100,276.034881591797,2020-01-09
290.640014648438,290.910003662109,288.089996337891,288.940002441406,834500,275.4248046875,2020-01-10
288.760009765625,294.260009765625,288.440002441406,294.239990234375,961700,280.476898193359,2020-01-13
293.850006103516,294.260009765625,289.899993896484,290.170013427734,1249100,276.597259521484,2020-01-14
290,296.149993896484,290,294.380004882812,1066200,280.610382080078,2020-01-15
296.190002441406,298.200012207031,294.019989013672,298.190002441406,789500,284.242126464844,2020-01-16
299.420013427734,299.440002441406,295.410003662109,296.790008544922,2246600,282.907684326172,2020-01-17
294.760009765625,297.589996337891,294.010009765625,296.200012207031,1423500,282.345275878906,2020-01-21
298.899993896484,299.589996337891,296.880004882812,297.420013427734,956300,283.508148193359,2020-01-22
294.390014648438,297.940002441406,294.390014648438,297.190002441406,813400,283.288940429688,2020-01-23
298.670013427734,299.140014648438,293.320007324219,294.829986572266,835800,281.039306640625,2020-01-24
291,293.929992675781,290.010009765625,293.130004882812,919400,279.418762207031,2020-01-27
294.089996337891,298.429992675781,293.399993896484,297.279998779297,882400,283.374694824219,2020-01-28
298.920013427734,300.709991455078,297.010009765625,297.309997558594,760100,283.4033203125,2020-01-29
296.640014648438,300.100006103516,295.290008544922,299.859985351562,913900,285.833984375,2020-01-30
298.510009765625,299.890014648438,292.670013427734,293.730010986328,1209700,279.990783691406,2020-01-31
294.649993896484,297.369995117188,294.279998779297,295.670013427734,1002300,281.840057373047,2020-02-03
298.970001220703,300.890014648438,297.809997558594,297.920013427734,1308000,283.984832763672,2020-02-04
299.570007324219,300.359985351562,291.660003662109,294.769989013672,1324200,280.982147216797,2020-02-05
