"BZ-F.Open","BZ-F.High","BZ-F.Low","BZ-F.Close","BZ-F.Volume","BZ-F.Adjusted","Date"
74.879997253418,76.5400009155273,74.7300033569336,75.9300003051758,41474,75.9300003051758,2025-01-02
75.9000015258789,76.7399978637695,75.5299987792969,76.5100021362305,38822,76.5100021362305,2025-01-03
76.5899963378906,77.5,75.9400024414062,76.3000030517578,49229,76.3000030517578,2025-01-06
76.2399978637695,77.2699966430664,75.9199981689453,77.0500030517578,37188,77.0500030517578,2025-01-07
77.2399978637695,77.8899993896484,76.0299987792969,76.1600036621094,46650,76.1600036621094,2025-01-08
76.1600036621094,77.2699966430664,75.6999969482422,76.9199981689453,31706,76.9199981689453,2025-01-09
77.2099990844727,80.7600021362305,77.0400009155273,79.7600021362305,92049,79.7600021362305,2025-01-10
79.5500030517578,81.6699981689453,79.5400009155273,81.0100021362305,77109,81.0100021362305,2025-01-13
80.9100036621094,81.1399993896484,79.8600006103516,79.9199981689453,67129,79.9199981689453,2025-01-14
80.3199996948242,82.629997253418,79.629997253418,82.0299987792969,69122,82.0299987792969,2025-01-15
82.4400024414062,82.5500030517578,80.3899993896484,81.2900009155273,69075,81.2900009155273,2025-01-16
81.3099975585938,81.9300003051758,80.5599975585938,80.7900009155273,42284,80.7900009155273,2025-01-17
80.9400024414062,81.2399978637695,78.4700012207031,79.2900009155273,83935,79.2900009155273,2025-01-21
79.3099975585938,79.9000015258789,78.8099975585938,79,40868,79,2025-01-22
78.9100036621094,79.5899963378906,77.8000030517578,78.2900009155273,46348,78.2900009155273,2025-01-23
77.879997253418,78.9599990844727,77.6100006103516,78.5,30464,78.5,2025-01-24
78.5500030517578,78.9899978637695,76.3199996948242,77.0800018310547,40623,77.0800018310547,2025-01-27
77.0699996948242,78.1399993896484,76.8300018310547,77.4899978637695,29822,77.4899978637695,2025-01-28
77.629997253418,77.6999969482422,76.3000030517578,76.5800018310547,19845,76.5800018310547,2025-01-29
76.8600006103516,77.5500030517578,75.9899978637695,76.870002746582,8389,76.870002746582,2025-01-30
77,77.0800018310547,76.5100021362305,76.7600021362305,50618,76.7600021362305,2025-01-31
76.8199996948242,77.5299987792969,75.0400009155273,75.9599990844727,75087,75.9599990844727,2025-02-03
75.5199966430664,76.6699981689453,74.129997253418,76.1999969482422,62716,76.1999969482422,2025-02-04
76.0800018310547,76.3499984741211,74.5500030517578,74.6100006103516,30739,74.6100006103516,2025-02-05
74.5999984741211,75.3899993896484,74.0899963378906,74.2900009155273,41460,74.2900009155273,2025-02-06
74.1999969482422,75.0899963378906,74.1900024414062,74.6600036621094,35634,74.6600036621094,2025-02-07
74.5400009155273,76.0699996948242,74.5400009155273,75.870002746582,27341,75.870002746582,2025-02-10
76.0500030517578,77.2699966430664,75.8899993896484,77,37979,77,2025-02-11
76.8199996948242,76.8899993896484,74.9499969482422,75.1800003051758,47048,75.1800003051758,2025-02-12
