"WMT.Open","WMT.High","WMT.Low","WMT.Close","WMT.Volume","WMT.Adjusted","Date"
39.6199989318848,39.9633331298828,39.5666656494141,39.6466674804688,20294700,36.5080986022949,2020-01-02
39.4233322143555,39.5966682434082,39.1966667175293,39.2966651916504,16197600,36.1858100891113,2020-01-03
39.1333312988281,39.3633346557617,38.9233322143555,39.216667175293,19336500,36.1121406555176,2020-01-06
39.0866661071777,39.1733322143555,38.7333335876465,38.8533325195312,20540700,35.7775726318359,2020-01-07
38.7666664123535,38.9099998474121,38.560001373291,38.7200012207031,17627400,35.6547927856445,2020-01-08
38.716667175293,39.1233329772949,38.6933326721191,39.1199989318848,16691100,36.0231323242188,2020-01-09
39.0800018310547,39.1133346557617,38.6599998474121,38.7933311462402,18164400,35.7223167419434,2020-01-10
38.7933311462402,38.8499984741211,38.4566688537598,38.6266670227051,18337800,35.5688514709473,2020-01-13
38.4900016784668,38.7366676330566,38.3766670227051,38.7266654968262,19757400,35.6609306335449,2020-01-14
38.2099990844727,38.6233329772949,38.1733322143555,38.4266662597656,22362600,35.3846778869629,2020-01-15
38.5,38.6433334350586,38.4266662597656,38.6333312988281,16108200,35.5749740600586,2020-01-16
38.6833343505859,38.7666664123535,38.2133331298828,38.3199996948242,30135000,35.2864570617676,2020-01-17
38.1966667175293,38.5633316040039,38.1733322143555,38.5299987792969,22061100,35.4798355102539,2020-01-21
38.406665802002,38.843334197998,38.3933334350586,38.7000007629395,14778300,35.6363754272461,2020-01-22
38.7366676330566,38.7700004577637,38.3466682434082,38.6033325195312,12915300,35.5473556518555,2020-01-23
38.6666679382324,38.6766662597656,38.0499992370605,38.1233329772949,13150200,35.1053581237793,2020-01-24
37.7299995422363,38.7433319091797,37.560001373291,38.6199989318848,21055200,35.5627059936523,2020-01-27
38.6599998474121,38.966667175293,38.6500015258789,38.8666687011719,15810600,35.7898559570312,2020-01-28
38.8533325195312,39.0400009155273,38.6300010681152,38.6300010681152,11326500,35.5719184875488,2020-01-29
38.5366668701172,38.906665802002,38.4433326721191,38.8600006103516,13744500,35.7837104797363,2020-01-30
38.5999984741211,38.7533340454102,37.966667175293,38.1633338928223,23327400,35.1421966552734,2020-01-31
38.2999992370605,38.4633331298828,38.033332824707,38.0900001525879,13041300,35.0746612548828,2020-02-03
38.4133338928223,38.7466659545898,38.2966651916504,38.4233322143555,15696600,35.3816108703613,2020-02-04
38.533332824707,38.9833335876465,38.283332824707,38.9366683959961,17048700,35.8543128967285,2020-02-05
38.9433326721191,39.0766677856445,38.6866683959961,38.7700004577637,16058700,35.7008438110352,2020-02-06
38.7033348083496,38.9199981689453,38.5866661071777,38.8166656494141,11068800,35.7438087463379,2020-02-07
38.5833320617676,38.9933319091797,38.3499984741211,38.4166679382324,18434700,35.3754730224609,2020-02-10
38.4766654968262,38.5,38.1466674804688,38.466667175293,17390400,35.4215087890625,2020-02-11
38.5,38.8066673278809,38.4700012207031,38.6166687011719,14206800,35.5596389770508,2020-02-12
38.6166687011719,39.1800003051758,38.526668548584,39.1466674804688,15999600,36.0476837158203,2020-02-13
39.223331451416,39.5233345031738,39.0533332824707,39.2966651916504,24391800,36.1858100891113,2020-02-14
39.4900016784668,39.9833335876465,39.1199989318848,39.8766670227051,34539600,36.7198944091797,2020-02-18
39.8333320617676,39.9799995422363,39.2266654968262,39.2266654968262,21563400,36.1213531494141,2020-02-19
39.0699996948242,39.3699989318848,38.9533348083496,39.2299995422363,15068700,36.1244163513184,2020-02-20
39.1466674804688,39.5833320617676,39.1033325195312,39.526668548584,18726300,36.3975944519043,2020-02-21
39.1533317565918,39.4866676330566,38.6500015258789,38.7733345031738,19848000,35.7039031982422,2020-02-24
38.783332824707,39.0233345031738,38.0166664123535,38.1300010681152,23292900,35.1114959716797,2020-02-25
38.2333335876465,38.3899993896484,37.8833312988281,37.9266662597656,20019900,34.924259185791,2020-02-26
37.5200004577637,38.0233345031738,36.783332824707,36.7999992370605,28476900,33.8867835998535,2020-02-27
35.8966674804688,36.1733322143555,34.7900009155273,35.8933334350586,52369200,33.051887512207,2020-02-28
35.8666687011719,38.7999992370605,35.7633323669434,38.6266670227051,51222600,35.5688514709473,2020-03-02
38.6933326721191,39.1766662597656,37.4466667175293,37.6366653442383,33340800,34.6572113037109,2020-03-03
38.0800018310547,38.9466667175293,37.8233337402344,38.9233322143555,24625200,35.8420143127441,2020-03-04
38.1333312988281,39.0833320617676,37.9700012207031,38.6399993896484,25638300,35.5811233520508,2020-03-05
37.9566688537598,39.3033332824707,37.6699981689453,39.0766677856445,29411100,35.983226776123,2020-03-06
