"CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted","Date"
163.919998168945,167.070007324219,163.580001831055,166.990005493164,5189300,165.251693725586,2020-01-02
165.059997558594,166.770004272461,165,166.169998168945,3205400,164.440231323242,2020-01-03
165,173.669998168945,164.449996948242,173.449996948242,8836200,171.644424438477,2020-01-06
173.229995727539,176.869995117188,172.089996337891,176,8272700,174.167907714844,2020-01-07
175.229995727539,178.850006103516,174.75,177.330001831055,7225100,175.48405456543,2020-01-08
178.839996337891,179.899993896484,177.289993286133,179.600006103516,5952900,177.730438232422,2020-01-09
179.839996337891,180.679992675781,178.690002441406,180.199996948242,5111800,178.324172973633,2020-01-10
181.259994506836,184.449996948242,181.130004882812,183.850006103516,6202600,181.936187744141,2020-01-13
183.5,183.850006103516,182.039993286133,182.119995117188,4342300,180.224212646484,2020-01-14
181.679992675781,183.089996337891,180.619995117188,181.059997558594,3886600,179.175231933594,2020-01-15
182.229995727539,183.110000610352,180.960006713867,182.690002441406,3485300,180.788269042969,2020-01-16
183.229995727539,183.339996337891,181.360000610352,182.229995727539,4577000,180.333053588867,2020-01-17
181.509994506836,186,181.5,185.270004272461,6302400,183.341415405273,2020-01-21
185.389999389648,186.440002441406,182.690002441406,182.75,4781800,180.847640991211,2020-01-22
183.210006713867,184.300003051758,181.300003051758,183.979995727539,4369000,182.064834594727,2020-01-23
185,186.130004882812,181.130004882812,182.110000610352,4653600,180.214324951172,2020-01-24
178.770004272461,181.729995727539,177.300003051758,180.710006713867,4239400,178.828872680664,2020-01-27
181.139999389648,183.860000610352,180.350006103516,182.850006103516,3445300,180.946578979492,2020-01-28
184,184.100006103516,181.619995117188,181.770004272461,2785500,179.877838134766,2020-01-29
180.899993896484,185.940002441406,180.539993286133,185.669998168945,3715700,183.737243652344,2020-01-30
184.860000610352,186.029998779297,180.789993286133,182.309997558594,4193300,180.412231445312,2020-01-31
183.259994506836,185.869995117188,181.850006103516,185.419998168945,4755200,183.489852905273,2020-02-03
188,189.690002441406,186.649993896484,188.339996337891,3983200,186.379455566406,2020-02-04
190.399993896484,190.550003051758,182.860000610352,185.490005493164,6162700,183.559127807617,2020-02-05
186.830001831055,187.559997558594,184.240005493164,186.729995727539,4102700,184.786193847656,2020-02-06
186.850006103516,188.649993896484,185.649993896484,185.720001220703,3713100,183.786712646484,2020-02-07
186.169998168945,189.270004272461,185.559997558594,189.119995117188,3873500,187.151306152344,2020-02-10
191.479995727539,192.600006103516,188.649993896484,189.110000610352,4299200,187.141418457031,2020-02-11
189.710006713867,190.520004272461,186.770004272461,189.460006713867,4535400,187.48779296875,2020-02-12
