"PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted","Date"
136.869995117188,137.229995727539,135.139999389648,135.820007324219,3784100,114.220397949219,2020-01-02
135.460006713867,136.789993286133,135.130004882812,135.630004882812,4000100,114.060607910156,2020-01-03
135.300003051758,136.320007324219,135.199996948242,136.149993896484,4085100,114.497886657715,2020-01-06
136,136.070007324219,133.949996948242,134.009994506836,5718100,112.698226928711,2020-01-07
134.460006713867,135.360000610352,134.070007324219,134.699996948242,3681400,113.278511047363,2020-01-08
135.289993286133,135.380004882812,134.529998779297,134.789993286133,3954700,113.354179382324,2020-01-09
135.169998168945,135.419998168945,134.389999389648,134.529998779297,3099500,113.135536193848,2020-01-10
134.649993896484,136.589996337891,134.630004882812,136.529998779297,5127200,114.817481994629,2020-01-13
136.179992675781,136.940002441406,135.699996948242,136.850006103516,4159700,115.086601257324,2020-01-14
137.039993286133,139.25,136.800003051758,139.199996948242,5002600,117.062858581543,2020-01-15
139.350006103516,140.160003662109,138.600006103516,139.610000610352,4977900,117.407669067383,2020-01-16
140.100006103516,141.320007324219,139.899993896484,141.259994506836,6908700,118.795257568359,2020-01-17
140.610000610352,142.119995117188,140.339996337891,141.860000610352,4440000,119.299812316895,2020-01-21
141.809997558594,143.570007324219,141.720001220703,143.380004882812,5366100,120.578125,2020-01-22
143.089996337891,143.850006103516,142.369995117188,143.649993896484,3915700,120.805198669434,2020-01-23
143.830001831055,144.149993896484,142.449996948242,142.919998168945,2791500,120.191253662109,2020-01-24
141.649993896484,143.360000610352,141.050003051758,142.139999389648,3895300,119.535301208496,2020-01-27
142.130004882812,142.919998168945,141.759994506836,142.440002441406,2908300,119.787605285645,2020-01-28
142,142.449996948242,141.169998168945,141.729995727539,3263200,119.190528869629,2020-01-29
142.320007324219,143.960006713867,141.520004272461,143.830001831055,4058500,120.956550598145,2020-01-30
143.809997558594,144.649993896484,141.570007324219,142.020004272461,4753100,119.434394836426,2020-01-31
142.770004272461,143.070007324219,141.839996337891,142.509994506836,3977800,119.84642791748,2020-02-03
143.199996948242,144.059997558594,142.100006103516,143.220001220703,3494300,120.443572998047,2020-02-04
143.679992675781,144.589996337891,143.429992675781,144.300003051758,3504900,121.351806640625,2020-02-05
144.639999389648,145.300003051758,144.070007324219,144.330001831055,3571400,121.37703704834,2020-02-06
144.259994506836,145.720001220703,143.830001831055,145.369995117188,3138500,122.25163269043,2020-02-07
145.929992675781,146.419998168945,145.130004882812,145.660003662109,3775600,122.495544433594,2020-02-10
146.210006713867,146.360000610352,144.869995117188,146.080001831055,3870500,122.84871673584,2020-02-11
146.679992675781,146.740005493164,145.350006103516,146.080001831055,4217400,122.84871673584,2020-02-12
145.25,147.130004882812,143.520004272461,146.470001220703,5041400,123.176734924316,2020-02-13
146.570007324219,147.149993896484,145.940002441406,146.990005493164,3555600,123.613990783691,2020-02-14
147.110000610352,147.199996948242,145.399993896484,145.600006103516,4938700,122.44507598877,2020-02-18
145.619995117188,146.479995727539,145.490005493164,145.529998779297,2978800,122.386192321777,2020-02-19
145.770004272461,145.800003051758,143.949996948242,145.160003662109,2805900,122.075065612793,2020-02-20
145.059997558594,145.919998168945,144.809997558594,145.850006103516,4271800,122.655303955078,2020-02-21
145.860000610352,147.149993896484,142.559997558594,142.639999389648,5027700,119.95580291748,2020-02-24
142.589996337891,144.380004882812,140.570007324219,141.100006103516,7585800,118.660705566406,2020-02-25
142.440002441406,143.75,141.160003662109,141.979995727539,6157200,119.400741577148,2020-02-26
141.410003662109,143.139999389648,136.309997558594,136.369995117188,8605000,114.682914733887,2020-02-27
133.240005493164,133.75,128.350006103516,132.029998779297,14164000,111.03311920166,2020-02-28
132,137.770004272461,131.720001220703,137.580001831055,8504500,115.700477600098,2020-03-02
