"BPE.MI.Open","BPE.MI.High","BPE.MI.Low","BPE.MI.Close","BPE.MI.Volume","BPE.MI.Adjusted","Date"
3.06424689292908,3.11027503013611,3.05341696739197,3.11027503013611,3775858,2.40144872665405,2020-01-02
3.10621404647827,3.10824489593506,3.07033896446228,3.10824489593506,3962623,2.39988088607788,2020-01-03
3.09064602851868,3.09064602851868,3.00197410583496,3.04461789131165,4082339,2.35075497627258,2020-01-06
3.05138611793518,3.08726096153259,3.03514099121094,3.05341696739197,3323709,2.35754823684692,2020-01-07
3.01889610290527,3.09673810005188,3.0107729434967,3.08252310752869,4307046,2.38002157211304,2020-01-08
3.10892105102539,3.13599705696106,3.08996891975403,3.1244900226593,5319616,2.41242432594299,2020-01-09
3.12990498542786,3.16104102134705,3.09876799583435,3.12719702720642,5322575,2.41451454162598,2020-01-10
3.14276599884033,3.15494894981384,3.09132194519043,3.11366009712219,2920142,2.40406227111816,2020-01-13
3.11366009712219,3.12516689300537,3.08726096153259,3.12381291389465,2705090,2.4119017124176,2020-01-14
3.11366009712219,3.11975193023682,3.07643103599548,3.09606099128723,4078355,2.39047431945801,2020-01-15
3.09132194519043,3.13531994819641,3.08793807029724,3.08793807029724,3543117,2.38420248031616,2020-01-16
3.10553693771362,3.12042808532715,3.0838770866394,3.11230611801147,2258005,2.4030168056488,2020-01-17
3.08996891975403,3.11568999290466,3.08658409118652,3.0933530330658,3571397,2.38838315010071,2020-01-20
3.08252310752869,3.1400580406189,3.06627798080444,3.13261198997498,6170529,2.41869497299194,2020-01-21
3.12787389755249,3.13531994819641,3.02769589424133,3.04461789131165,4689857,2.35075497627258,2020-01-22
3.03243398666382,3.08793807029724,3.00671195983887,3.01821899414062,5136921,2.33037209510803,2020-01-23
3.03040289878845,3.05815505981445,3.01280403137207,3.01889610290527,2397739,2.33089470863342,2020-01-24
2.99655890464783,3.04597091674805,2.99182105064392,2.99994301795959,5682762,2.31626105308533,2020-01-27
3.0060350894928,3.06086301803589,2.97557592391968,3.06086301803589,6257132,2.36329746246338,2020-01-28
3.04461789131165,3.06966209411621,3.02295708656311,3.03378701210022,3573030,2.34239220619202,2020-01-29
3.0107729434967,3.01618909835815,2.91668701171875,2.92819404602051,6900705,2.26086354255676,2020-01-30
2.95120811462402,2.97219109535217,2.78943300247192,2.80906200408936,8005216,2.1688814163208,2020-01-31
2.81583094596863,2.81583094596863,2.7616810798645,2.78604793548584,4477278,2.15111207962036,2020-02-03
2.80296993255615,2.87607407569885,2.79214000701904,2.86659693717957,4348183,2.21330428123474,2020-02-04
