"TPRO.MI.Open","TPRO.MI.High","TPRO.MI.Low","TPRO.MI.Close","TPRO.MI.Volume","TPRO.MI.Adjusted","Date"
6.23999977111816,6.87599992752075,5.97900009155273,6.5,5927098,6.5,2022-02-15
6.75,6.94000005722046,6.59999990463257,6.59999990463257,3788355,6.59999990463257,2022-02-16
6.69999980926514,6.80000019073486,6.35400009155273,6.48000001907349,1629627,6.48000001907349,2022-02-17
6.5,6.66400003433228,6.40000009536743,6.5,611555,6.5,2022-02-18
6.65999984741211,6.67999982833862,6.30999994277954,6.5,544671,6.5,2022-02-21
6.30999994277954,6.53000020980835,6.30000019073486,6.36999988555908,580855,6.36999988555908,2022-02-22
6.3899998664856,6.5,6.26999998092651,6.38000011444092,576898,6.38000011444092,2022-02-23
6.25,6.48999977111816,6.11999988555908,6.42999982833862,672826,6.42999982833862,2022-02-24
6.5,6.8600001335144,6.44999980926514,6.8600001335144,952000,6.8600001335144,2022-02-25
6.8600001335144,6.96999979019165,6.44999980926514,6.90000009536743,497277,6.90000009536743,2022-02-28
6.92999982833862,7.51000022888184,6.92999982833862,7.21999979019165,1420255,7.21999979019165,2022-03-01
7.30000019073486,7.40000009536743,7.11999988555908,7.25,720713,7.25,2022-03-02
7.34999990463257,7.96000003814697,7.30000019073486,7.69999980926514,1271130,7.69999980926514,2022-03-03
7.75,7.98999977111816,7.26000022888184,7.36999988555908,1143193,7.36999988555908,2022-03-04
7.21999979019165,7.53999996185303,6.6399998664856,7.09000015258789,821292,7.09000015258789,2022-03-07
7.09999990463257,7.40000009536743,6.63000011444092,6.63000011444092,706252,6.63000011444092,2022-03-08
6.78000020980835,7.09999990463257,6.75,6.78000020980835,835561,6.78000020980835,2022-03-09
6.82000017166138,6.86999988555908,6.36999988555908,6.40000009536743,1023036,6.40000009536743,2022-03-10
6.63000011444092,6.67999982833862,6.3600001335144,6.46999979019165,568788,6.46999979019165,2022-03-11
6.6100001335144,6.6100001335144,6.30000019073486,6.34999990463257,539319,6.34999990463257,2022-03-14
6.42000007629395,6.44999980926514,6.25,6.25,720550,6.25,2022-03-15
6.36999988555908,6.98000001907349,6.34000015258789,6.98000001907349,493692,6.98000001907349,2022-03-16
6.98999977111816,7.19999980926514,6.75,6.98999977111816,368965,6.98999977111816,2022-03-17
6.98999977111816,7.05000019073486,6.84999990463257,7,275440,7,2022-03-18
7.05000019073486,7.05000019073486,6.82999992370605,7,132330,7,2022-03-21
6.96000003814697,7.03000020980835,6.92999982833862,7,96346,7,2022-03-22
7,7.1399998664856,6.76999998092651,6.78000020980835,288628,6.78000020980835,2022-03-23
6.88000011444092,6.88000011444092,6.55999994277954,6.65000009536743,309115,6.65000009536743,2022-03-24
6.65000009536743,6.69999980926514,6.46000003814697,6.61999988555908,363346,6.61999988555908,2022-03-25
6.65000009536743,6.94999980926514,6.57999992370605,6.8899998664856,205492,6.8899998664856,2022-03-28
6.98000001907349,6.98000001907349,6.8899998664856,6.90000009536743,215411,6.90000009536743,2022-03-29
6.94000005722046,6.94999980926514,6.69999980926514,6.76000022888184,196997,6.76000022888184,2022-03-30
6.83799982070923,6.83799982070923,6.65000009536743,6.65999984741211,122290,6.65999984741211,2022-03-31
6.75600004196167,6.88399982452393,6.65199995040894,6.82999992370605,137516,6.82999992370605,2022-04-01
6.88000011444092,6.96000003814697,6.69999980926514,6.96000003814697,181276,6.96000003814697,2022-04-04
6.99599981307983,7.23999977111816,6.98999977111816,7.19999980926514,513970,7.19999980926514,2022-04-05
7.19000005722046,7.19000005722046,6.98999977111816,7.05000019073486,242144,7.05000019073486,2022-04-06
7.05000019073486,7.25,7.05000019073486,7.05000019073486,159678,7.05000019073486,2022-04-07
7.15000009536743,7.18800020217896,7.02799987792969,7.05999994277954,137128,7.05999994277954,2022-04-08
7.13600015640259,7.42000007629395,6.86999988555908,7.36999988555908,364354,7.36999988555908,2022-04-11
7.21600008010864,7.40000009536743,7.14599990844727,7.35200023651123,454195,7.35200023651123,2022-04-12
7.34999990463257,7.40000009536743,7.2979998588562,7.40000009536743,411936,7.40000009536743,2022-04-13
7.42000007629395,7.5,7.20800018310547,7.20800018310547,243042,7.20800018310547,2022-04-14
7.24399995803833,7.36399984359741,7.10200023651123,7.19999980926514,332945,7.19999980926514,2022-04-19
7.19999980926514,7.2979998588562,7.13399982452393,7.19999980926514,172243,7.19999980926514,2022-04-20
7.19199991226196,7.3600001335144,7.16400003433228,7.21400022506714,210611,7.21400022506714,2022-04-21
7.15199995040894,7.28800010681152,7.07000017166138,7.07000017166138,120851,7.07000017166138,2022-04-22
7.05200004577637,7.19999980926514,6.85400009155273,6.98000001907349,151991,6.98000001907349,2022-04-25
7.05000019073486,7.1399998664856,6.68800020217896,6.69000005722046,172590,6.69000005722046,2022-04-26
6.71000003814697,6.9539999961853,6.60200023651123,6.84800004959106,677647,6.84800004959106,2022-04-27
6.95800018310547,6.95800018310547,6.78200006484985,6.80600023269653,117728,6.80600023269653,2022-04-28
6.94600009918213,6.94600009918213,6.71600008010864,6.72399997711182,188603,6.72399997711182,2022-04-29
6.76000022888184,6.83199977874756,6.53999996185303,6.61999988555908,175644,6.61999988555908,2022-05-02
6.6399998664856,6.78200006484985,6.63000011444092,6.75799989700317,116134,6.75799989700317,2022-05-03
6.80000019073486,6.80000019073486,6.6100001335144,6.6100001335144,973234,6.6100001335144,2022-05-04
6.75799989700317,6.77799987792969,6.61399984359741,6.68200016021729,113215,6.68200016021729,2022-05-05
6.66599988937378,6.69999980926514,6.40999984741211,6.65999984741211,698774,6.65999984741211,2022-05-06
6.52400016784668,6.57600021362305,6.15399980545044,6.40999984741211,691889,6.40999984741211,2022-05-09
