"LIN.Open","LIN.High","LIN.Low","LIN.Close","LIN.Volume","LIN.Adjusted","Date"
213.580001831055,214.449996948242,210.460006713867,210.740005493164,2604100,194.09765625,2020-01-02
207.399993896484,209.050003051758,205.169998168945,205.259994506836,2899300,189.050384521484,2020-01-03
204.600006103516,206.350006103516,204.190002441406,204.389999389648,2395300,188.249069213867,2020-01-06
204.809997558594,206.75,204.25,204.830001831055,2589200,188.654327392578,2020-01-07
205.270004272461,208.190002441406,205.100006103516,207.389999389648,1327300,191.01220703125,2020-01-08
208.080001831055,209.740005493164,207.809997558594,208.850006103516,1086100,192.356887817383,2020-01-09
210.740005493164,211.830001831055,208.929992675781,209.080001831055,1217600,192.568725585938,2020-01-10
209.789993286133,211.929992675781,209.330001831055,211.800003051758,1225700,195.073928833008,2020-01-13
211.270004272461,212.119995117188,209.139999389648,209.960006713867,2107300,193.37922668457,2020-01-14
210.990005493164,212.080001831055,210.350006103516,211.440002441406,1078200,194.742324829102,2020-01-15
212.880004882812,213.070007324219,211.779998779297,213.059997558594,1302600,196.234451293945,2020-01-16
213.190002441406,214.419998168945,212.839996337891,214.100006103516,1903700,197.192230224609,2020-01-17
211.699996948242,212.740005493164,211.179992675781,211.729995727539,1384500,195.009429931641,2020-01-21
211.199996948242,211.949996948242,210.449996948242,211.080001831055,966900,194.410766601562,2020-01-22
208.419998168945,209.649993896484,207.520004272461,209.619995117188,1400700,193.066101074219,2020-01-23
210,212.300003051758,208.820007324219,209.990005493164,1541600,193.406814575195,2020-01-24
205.220001220703,206.300003051758,204.089996337891,204.880004882812,1947800,188.700408935547,2020-01-27
205.429992675781,208.929992675781,205.179992675781,207.880004882812,1229400,191.463531494141,2020-01-28
208.130004882812,209.440002441406,207.660003662109,208.229995727539,982700,191.78581237793,2020-01-29
206.470001220703,208.570007324219,205.460006713867,208.229995727539,1381300,191.78581237793,2020-01-30
205.630004882812,206.339996337891,202.970001220703,203.130004882812,1909700,187.088607788086,2020-01-31
203.770004272461,210.050003051758,203.580001831055,209.440002441406,2911500,192.900299072266,2020-02-03
