"ACWI.MI.Open","ACWI.MI.High","ACWI.MI.Low","ACWI.MI.Close","ACWI.MI.Volume","ACWI.MI.Adjusted","Date"
283.040008544922,284.640014648438,283.040008544922,284.200012207031,1210,284.200012207031,2020-01-02
283.410003662109,283.980010986328,282.450012207031,283.450012207031,2265,283.450012207031,2020-01-03
282.239990234375,282.640014648438,280.640014648438,282.510009765625,818,282.510009765625,2020-01-06
284.130004882812,284.470001220703,283.329986572266,284.489990234375,812,284.489990234375,2020-01-07
283.329986572266,284.940002441406,283.040008544922,285.640014648438,1047,285.640014648438,2020-01-08
287.459991455078,287.709991455078,287.149993896484,287.519989013672,1694,287.519989013672,2020-01-09
288.299987792969,288.980010986328,288.140014648438,287.589996337891,6585,287.589996337891,2020-01-10
287.559997558594,288.140014648438,287.25,287.239990234375,1701,287.239990234375,2020-01-13
287.570007324219,288.790008544922,286.859985351562,288.390014648438,1134,288.390014648438,2020-01-14
288.459991455078,288.459991455078,287.179992675781,288.100006103516,698,288.100006103516,2020-01-15
288.829986572266,289.529998779297,288.339996337891,289.399993896484,1199,289.399993896484,2020-01-16
290.760009765625,292.040008544922,290.760009765625,291.619995117188,868,291.619995117188,2020-01-17
291.619995117188,292.049987792969,291.450012207031,292.049987792969,3207,292.049987792969,2020-01-20
290.100006103516,291.049987792969,289.369995117188,290.959991455078,1931,290.959991455078,2020-01-21
292.579986572266,292.600006103516,291.459991455078,291.410003662109,625,291.410003662109,2020-01-22
290.140014648438,290.799987792969,289.359985351562,289.980010986328,4169,289.980010986328,2020-01-23
292.920013427734,293.079986572266,291.640014648438,291.429992675781,11772,291.429992675781,2020-01-24
286.649993896484,287,283.890014648438,284.619995117188,24949,284.619995117188,2020-01-27
286.170013427734,287.649993896484,284.5,287.540008544922,1617,287.540008544922,2020-01-28
288.880004882812,289.200012207031,288.440002441406,288.640014648438,2770,288.640014648438,2020-01-29
284.630004882812,285.600006103516,283.850006103516,284.779998779297,1113,284.779998779297,2020-01-30
284.640014648438,285.390014648438,281.600006103516,281.309997558594,1833,281.309997558594,2020-01-31
282.589996337891,284.790008544922,281.489990234375,283.410003662109,2043,283.410003662109,2020-02-03
286.549987792969,288.519989013672,286.549987792969,288.679992675781,3288,288.679992675781,2020-02-04
290,292.299987792969,289.769989013672,291.489990234375,2130,291.489990234375,2020-02-05
294.070007324219,294.070007324219,292.799987792969,293.459991455078,858,293.459991455078,2020-02-06
293.279998779297,293.279998779297,291.670013427734,292.980010986328,1119,292.980010986328,2020-02-07
291.5,293.839996337891,291.5,293.75,1476,293.75,2020-02-10
296,296.640014648438,295.329986572266,296.540008544922,839,296.540008544922,2020-02-11
297,298.059997558594,296.709991455078,298.160003662109,959,298.160003662109,2020-02-12
297.160003662109,298.5,296.059997558594,298.670013427734,14476,298.670013427734,2020-02-13
299.290008544922,299.700012207031,298.160003662109,298.859985351562,2228,298.859985351562,2020-02-14
299.950012207031,300,299.399993896484,299.899993896484,3827,299.899993896484,2020-02-17
297.529998779297,298.899993896484,297.309997558594,298.209991455078,3811,298.209991455078,2020-02-18
299.690002441406,300.709991455078,299.510009765625,300.779998779297,2027,300.779998779297,2020-02-19
299.989990234375,300.059997558594,299,298.190002441406,4830,298.190002441406,2020-02-20
297.149993896484,297.809997558594,294.079986572266,295.350006103516,1573,295.350006103516,2020-02-21
289.929992675781,289.929992675781,285,285.619995117188,34785,285.619995117188,2020-02-24
287.760009765625,287.760009765625,281.5,281.230010986328,28376,281.230010986328,2020-02-25
278.970001220703,281.470001220703,274.559997558594,280.859985351562,4825,280.859985351562,2020-02-26
274.700012207031,274.700012207031,266.299987792969,268.859985351562,3238,268.859985351562,2020-02-27
259.980010986328,260.700012207031,255,259.269989013672,151785,259.269989013672,2020-02-28
263.209991455078,264.700012207031,255.399993896484,261.579986572266,16874,261.579986572266,2020-03-02
265.320007324219,268.730010986328,265.320007324219,263.220001220703,4872,263.220001220703,2020-03-03
263.299987792969,267.049987792969,263.299987792969,266.290008544922,11522,266.290008544922,2020-03-04
268.390014648438,268.390014648438,262.510009765625,265.380004882812,9202,265.380004882812,2020-03-05
256.799987792969,257.429992675781,248.479995727539,252.779998779297,7428,252.779998779297,2020-03-06
245,245,230.889999389648,236.669998168945,14480,236.669998168945,2020-03-09
240.369995117188,245.860000610352,233.889999389648,236.639999389648,3495,236.639999389648,2020-03-10
239.389999389648,240.949996948242,235.330001831055,236.639999389648,18049,236.639999389648,2020-03-11
224.949996948242,224.949996948242,213.389999389648,215.889999389648,15051,215.889999389648,2020-03-12
220.669998168945,227.529998779297,215,216.880004882812,13471,216.880004882812,2020-03-13
214.050003051758,215.600006103516,201.179992675781,211.449996948242,279219,211.449996948242,2020-03-16
217.639999389648,217.940002441406,207.050003051758,215.210006713867,42121,215.210006713867,2020-03-17
208.970001220703,210.940002441406,202.619995117188,207.309997558594,26237,207.309997558594,2020-03-18
209.679992675781,213.119995117188,205.229995727539,212.479995727539,6872,212.479995727539,2020-03-19
219.960006713867,220.399993896484,212.970001220703,211.330001831055,5701,211.330001831055,2020-03-20
201.160003662109,208.929992675781,198,200.479995727539,2586,200.479995727539,2020-03-23
208.600006103516,216.149993896484,208.300003051758,217.050003051758,2913,217.050003051758,2020-03-24
220.539993286133,224.5,215.110000610352,222.979995727539,9976,222.979995727539,2020-03-25
217.75,227.589996337891,215.679992675781,227.509994506836,16428,227.509994506836,2020-03-26
224.5,225.410003662109,220,220.509994506836,22839,220.509994506836,2020-03-27
217.720001220703,225.119995117188,217.720001220703,225.119995117188,2067,225.119995117188,2020-03-30
228.669998168945,228.929992675781,225.5,228.779998779297,2069,228.779998779297,2020-03-31
219.580001831055,220.710006713867,218.75,219.490005493164,1230,219.490005493164,2020-04-01
220.5,222.710006713867,217.029998779297,222.119995117188,10935,222.119995117188,2020-04-02
222.619995117188,224,220.949996948242,220.990005493164,2294,220.990005493164,2020-04-03
228.830001831055,230.970001220703,228.399993896484,230.710006713867,2202,230.710006713867,2020-04-06
237.289993286133,239.940002441406,235,237.419998168945,6609,237.419998168945,2020-04-07
233.820007324219,236.820007324219,232.339996337891,236.820007324219,14030,236.820007324219,2020-04-08
241.220001220703,242.600006103516,236.889999389648,241.619995117188,6337,241.619995117188,2020-04-09
243.110000610352,244.919998168945,241.919998168945,243.339996337891,2304,243.339996337891,2020-04-14
243.5,243.5,238.919998168945,239.080001831055,6313,239.080001831055,2020-04-15
242.770004272461,242.770004272461,239.360000610352,242.080001831055,6098,242.080001831055,2020-04-16
248.089996337891,249.789993286133,245.059997558594,244.919998168945,12802,244.919998168945,2020-04-17
247,247,244.139999389648,247.020004272461,8037,247.020004272461,2020-04-20
243.100006103516,243.139999389648,237.970001220703,237.440002441406,3857,237.440002441406,2020-04-21
240,243.240005493164,240,242.869995117188,1036,242.869995117188,2020-04-22
243.729995727539,247.070007324219,243.729995727539,246.600006103516,302,246.600006103516,2020-04-23
244.5,245.100006103516,244.160003662109,243.679992675781,1439,243.679992675781,2020-04-24
248.199996948242,248.690002441406,247.759994506836,248.899993896484,1634,248.899993896484,2020-04-27
249.600006103516,253,249.600006103516,250.669998168945,826,250.669998168945,2020-04-28
251.589996337891,255.259994506836,251.589996337891,255.539993286133,3644,255.539993286133,2020-04-29
256.209991455078,256.779998779297,251.559997558594,250.809997558594,1640,250.809997558594,2020-04-30
242.330001831055,243.479995727539,241.059997558594,242.720001220703,1855,242.720001220703,2020-05-04
247.369995117188,250,247.369995117188,250.130004882812,563,250.130004882812,2020-05-05
250.559997558594,251.929992675781,248.850006103516,249.089996337891,19903,249.089996337891,2020-05-06
250.529998779297,252,250.160003662109,251.779998779297,41013,251.779998779297,2020-05-07
253.100006103516,253.399993896484,252.380004882812,253.399993896484,8662,253.399993896484,2020-05-08
255.449996948242,255.759994506836,251.970001220703,254.039993286133,2524,254.039993286133,2020-05-11
253.429992675781,254.520004272461,253,254.050003051758,14230,254.050003051758,2020-05-12
250,250.720001220703,248.509994506836,248.320007324219,2353,248.320007324219,2020-05-13
246,247.080001831055,242.350006103516,244.949996948242,1915,244.949996948242,2020-05-14
249.970001220703,249.970001220703,245,246.490005493164,655,246.490005493164,2020-05-15
