"COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted","Date"
294.059997558594,294.579986572266,291,291.489990234375,2103600,266.874572753906,2020-01-02
290.049987792969,292.899993896484,289.329986572266,291.730010986328,1926000,267.094299316406,2020-01-03
290.549987792969,292.070007324219,288.619995117188,291.809997558594,2655100,267.167541503906,2020-01-06
291.320007324219,291.690002441406,289.279998779297,291.350006103516,1963400,266.746398925781,2020-01-07
290.989990234375,295.480010986328,290.5,294.690002441406,2492800,269.804351806641,2020-01-08
298.549987792969,301.959991455078,297.709991455078,299.420013427734,3261200,274.134887695312,2020-01-09
300,300.269989013672,296.660003662109,297.239990234375,2024200,272.138977050781,2020-01-10
296.920013427734,300.649993896484,296.799987792969,299.869995117188,1778600,274.546936035156,2020-01-13
299.25,301,298.579986572266,299.75,1459900,274.43701171875,2020-01-14
298.350006103516,301.040008544922,298.040008544922,300.820007324219,1604000,275.416717529297,2020-01-15
301.390014648438,304.059997558594,300.980010986328,303.029998779297,1758600,277.440063476562,2020-01-16
303.399993896484,305.299987792969,303.029998779297,304.679992675781,2506500,278.950744628906,2020-01-17
306.200012207031,313.339996337891,305.760009765625,313.260009765625,3585900,286.806182861328,2020-01-21
313.399993896484,313.559997558594,310.209991455078,311.890014648438,2218900,285.551849365234,2020-01-22
312.019989013672,313.399993896484,310.730010986328,312.880004882812,1535900,286.458312988281,2020-01-23
314.019989013672,314.279998779297,309.100006103516,310.510009765625,1986100,284.288421630859,2020-01-24
306.149993896484,311.769989013672,305.649993896484,309.450012207031,2265100,283.317901611328,2020-01-27
310.510009765625,311.709991455078,309.100006103516,310.850006103516,1571700,284.599670410156,2020-01-28
310.859985351562,311.970001220703,309.390014648438,309.579986572266,1713700,283.436889648438,2020-01-29
308.839996337891,309.640014648438,306.670013427734,309.470001220703,1232600,283.336242675781,2020-01-30
308.549987792969,309.179992675781,304.559997558594,305.519989013672,1837000,279.719696044922,2020-01-31
307,308.579986572266,301.670013427734,302,2816800,276.497131347656,2020-02-03
304.570007324219,305.910003662109,302.760009765625,304.899993896484,1982300,279.152008056641,2020-02-04
307,309.589996337891,305.399993896484,308.950012207031,1731800,282.860076904297,2020-02-05
309.350006103516,311.839996337891,307.850006103516,310.609985351562,1917900,284.9794921875,2020-02-06
310,313.809997558594,309.119995117188,313.630004882812,1903500,287.750274658203,2020-02-07
313.760009765625,316.940002441406,312.600006103516,313.790008544922,2336300,287.897155761719,2020-02-10
314.029998779297,314.429992675781,310.470001220703,310.679992675781,2047500,285.043701171875,2020-02-11
310.769989013672,315.480010986328,310.769989013672,315.119995117188,1384600,289.117340087891,2020-02-12
314.850006103516,318.790008544922,313.540008544922,318.200012207031,1438000,291.943176269531,2020-02-13
318.869995117188,319.809997558594,316.950012207031,318.309997558594,1113400,292.044097900391,2020-02-14
319,323.480010986328,318.609985351562,322.049987792969,1547100,295.475463867188,2020-02-18
