"DAN.MI.Open","DAN.MI.High","DAN.MI.Low","DAN.MI.Close","DAN.MI.Volume","DAN.MI.Adjusted","Date"
16.7999992370605,17.1000003814697,16.5799999237061,16.9200000762939,53402,16.043025970459,2020-01-02
17.0200004577637,17.0200004577637,16.6599998474121,16.8600006103516,42179,15.9861335754395,2020-01-03
16.8600006103516,16.8600006103516,16.3799991607666,16.5799999237061,34506,15.7206497192383,2020-01-06
16.5799999237061,16.7999992370605,16.4200000762939,16.4599990844727,22812,15.6068677902222,2020-01-07
16.2999992370605,16.4599990844727,16.1200008392334,16.2600002288818,45082,15.4172344207764,2020-01-08
16.4400005340576,16.7000007629395,16.3600006103516,16.7000007629395,45933,15.8344287872314,2020-01-09
16.6000003814697,16.7999992370605,16.5,16.5599994659424,32083,15.7016839981079,2020-01-10
16.4400005340576,16.6399993896484,16.2399997711182,16.4200000762939,23994,15.568941116333,2020-01-13
16.5400009155273,16.5400009155273,16.2399997711182,16.2800006866455,35910,15.4361982345581,2020-01-14
16.2399997711182,16.4799995422363,16.2399997711182,16.4200000762939,37112,15.568941116333,2020-01-15
16.4200000762939,16.6000003814697,16.2600002288818,16.5599994659424,30480,15.7016839981079,2020-01-16
16.5799999237061,16.6800003051758,16.4200000762939,16.4400005340576,19815,15.5879058837891,2020-01-17
16.5200004577637,16.5400009155273,16.2600002288818,16.2800006866455,30374,15.4361982345581,2020-01-20
16.2000007629395,16.2000007629395,15.6599998474121,16.0799999237061,56975,15.2465629577637,2020-01-21
16.0799999237061,16.1000003814697,15.7200002670288,15.9399995803833,64174,15.1138191223145,2020-01-22
15.8400001525879,16.1599998474121,15.8000001907349,15.8000001907349,30529,14.9810762405396,2020-01-23
15.8199996948242,16.0599994659424,15.8199996948242,16.0400009155273,17428,15.2086372375488,2020-01-24
15.8000001907349,15.9799995422363,15.539999961853,15.5600004196167,38654,14.7535161972046,2020-01-27
15.8000001907349,15.8199996948242,15.4399995803833,15.7200002670288,22902,14.9052228927612,2020-01-28
15.6599998474121,15.9200000762939,15.539999961853,15.7600002288818,19012,14.943151473999,2020-01-29
15.539999961853,15.6599998474121,15.1999998092651,15.3000001907349,46547,14.5069913864136,2020-01-30
15.2600002288818,15.2600002288818,14.8000001907349,14.8000001907349,76112,14.0329084396362,2020-01-31
15.3199996948242,15.3199996948242,14.6599998474121,14.6999998092651,55688,13.9380903244019,2020-02-03
14.8999996185303,15.1599998474121,14.8199996948242,15,28204,14.2225408554077,2020-02-04
15.1400003433228,15.5,15.039999961853,15.3999996185303,41498,14.6018085479736,2020-02-05
15.6400003433228,15.6800003051758,15.4399995803833,15.6000003814697,30895,14.7914428710938,2020-02-06
15.5600004196167,15.6000003814697,15.1999998092651,15.3800001144409,44262,14.5828456878662,2020-02-07
15.3400001525879,15.3599996566772,14.9799995422363,15.1800003051758,74475,14.3932104110718,2020-02-10
15.1800003051758,15.460000038147,14.960000038147,15.3999996185303,29673,14.6018085479736,2020-02-11
15.1599998474121,15.4399995803833,15.0799999237061,15.1800003051758,45324,14.3932104110718,2020-02-12
15.1999998092651,15.3999996185303,15.0200004577637,15.1800003051758,43642,14.3932104110718,2020-02-13
15.3800001144409,15.3800001144409,15.1199998855591,15.2200002670288,22716,14.4311380386353,2020-02-14
15.1999998092651,15.460000038147,15.1400003433228,15.4200000762939,59538,14.6207723617554,2020-02-17
15.3999996185303,15.3999996185303,15.1199998855591,15.1199998855591,37552,14.3363218307495,2020-02-18
15.0600004196167,15.1800003051758,14.960000038147,15.0600004196167,38460,14.2794313430786,2020-02-19
15,15.2399997711182,14.8199996948242,14.8199996948242,46619,14.051869392395,2020-02-20
15,15,14.3400001525879,14.4399995803833,70735,13.6915655136108,2020-02-21
14,14,13.6199998855591,13.8599996566772,93637,13.1416273117065,2020-02-24
13.8599996566772,14.1800003051758,13.5600004196167,13.7200002670288,57592,13.0088834762573,2020-02-25
13.7399997711182,14.1999998092651,13.6000003814697,14.1000003814697,59904,13.3691883087158,2020-02-26
