"IBGX.MI.Open","IBGX.MI.High","IBGX.MI.Low","IBGX.MI.Close","IBGX.MI.Volume","IBGX.MI.Adjusted","Date"
172.369995117188,172.550003051758,172.119995117188,172.330001831055,18340,164.404678344727,2020-04-03
172.089996337891,172.440002441406,172.039993286133,172.339996337891,15386,164.41423034668,2020-04-06
172.009994506836,172.380004882812,171.770004272461,172.050003051758,8418,164.137573242188,2020-04-07
171.5,171.809997558594,171.429992675781,171.660003662109,8959,163.765502929688,2020-04-08
171.410003662109,172.070007324219,171.410003662109,172,7443,164.089874267578,2020-04-09
171.669998168945,172.050003051758,171.630004882812,171.779998779297,4846,163.879989624023,2020-04-14
171.919998168945,171.919998168945,171.350006103516,171.669998168945,32522,163.775039672852,2020-04-15
171.669998168945,171.940002441406,171.460006713867,171.669998168945,30927,163.775039672852,2020-04-16
171.669998168945,171.940002441406,170.240005493164,171.789993286133,8474,163.889511108398,2020-04-17
171.619995117188,171.75,171.210006713867,171.259994506836,9825,163.383895874023,2020-04-20
171.529998779297,171.529998779297,170.850006103516,170.880004882812,21018,163.021377563477,2020-04-21
170.830001831055,170.970001220703,170.619995117188,170.850006103516,5945,162.992736816406,2020-04-22
170.940002441406,171.330001831055,170.809997558594,171.330001831055,96495,163.45068359375,2020-04-23
171.130004882812,171.720001220703,171.059997558594,171.630004882812,33296,163.736892700195,2020-04-24
171.899993896484,172.009994506836,171.770004272461,171.899993896484,7254,163.99446105957,2020-04-27
172.080001831055,172.25,171.899993896484,172.149993896484,140607,164.232955932617,2020-04-28
171.960006713867,172.440002441406,170.529998779297,172.309997558594,34375,164.385604858398,2020-04-29
172.479995727539,173.009994506836,172.330001831055,172.929992675781,4741,164.977081298828,2020-04-30
172.820007324219,172.949996948242,172.619995117188,172.779998779297,10746,164.833984375,2020-05-04
172.789993286133,172.820007324219,172.529998779297,172.679992675781,4494,164.738586425781,2020-05-05
172.710006713867,172.710006713867,172.190002441406,172.160003662109,17396,164.24250793457,2020-05-06
172.169998168945,172.559997558594,171.820007324219,172.559997558594,47882,164.624099731445,2020-05-07
172.619995117188,172.789993286133,172.529998779297,172.679992675781,6545,164.738586425781,2020-05-08
172.600006103516,172.669998168945,172.330001831055,172.429992675781,68657,164.500091552734,2020-05-11
172.179992675781,172.479995727539,172.179992675781,172.449996948242,16968,164.519165039062,2020-05-12
172.429992675781,172.720001220703,172.429992675781,172.660003662109,41294,164.719497680664,2020-05-13
172.699996948242,172.75,172.460006713867,172.559997558594,14477,164.624099731445,2020-05-14
172.550003051758,172.669998168945,172.399993896484,172.339996337891,17478,164.41423034668,2020-05-15
172.5,172.600006103516,172.300003051758,172.5,57159,164.566879272461,2020-05-18
172.729995727539,172.820007324219,172.550003051758,172.759994506836,78994,164.814910888672,2020-05-19
172.509994506836,172.729995727539,172.449996948242,172.690002441406,7175,164.748138427734,2020-05-20
172.679992675781,172.830001831055,171.089996337891,172.639999389648,56737,164.700439453125,2020-05-21
172.800003051758,172.860000610352,172.729995727539,172.770004272461,5411,164.824447631836,2020-05-22
172.710006713867,172.910003662109,172.710006713867,172.850006103516,6067,164.900772094727,2020-05-25
172.75,172.789993286133,172.649993896484,172.690002441406,4236,164.748138427734,2020-05-26
172.809997558594,172.949996948242,172.720001220703,172.899993896484,5873,164.948455810547,2020-05-27
172.880004882812,173.199996948242,171.470001220703,171.470001220703,54185,163.584243774414,2020-05-28
173.119995117188,173.220001220703,173.050003051758,173.130004882812,51362,165.167892456055,2020-05-29
173.259994506836,173.259994506836,172.910003662109,173,23579,165.043869018555,2020-06-01
173.130004882812,173.210006713867,173.100006103516,173.070007324219,2069,165.110656738281,2020-06-02
173.059997558594,173.059997558594,172.740005493164,172.809997558594,7959,164.862594604492,2020-06-03
172.869995117188,173.199996948242,172.710006713867,173.139999389648,7829,165.177444458008,2020-06-04
173.089996337891,173.850006103516,172.949996948242,173.050003051758,6239,165.091567993164,2020-06-05
173.070007324219,173.270004272461,172.919998168945,173.229995727539,15122,165.263290405273,2020-06-08
173.160003662109,173.240005493164,173.039993286133,173.009994506836,3243,165.053405761719,2020-06-09
173.020004272461,173.050003051758,172.729995727539,172.820007324219,10501,164.872146606445,2020-06-10
172.940002441406,173.259994506836,172.869995117188,173.190002441406,27700,165.225128173828,2020-06-11
173.050003051758,173.440002441406,173.029998779297,173.380004882812,10091,165.406387329102,2020-06-12
173.320007324219,173.610000610352,173.320007324219,173.490005493164,7647,165.511337280273,2020-06-15
173.369995117188,173.559997558594,173.289993286133,173.449996948242,25517,165.473175048828,2020-06-16
173.449996948242,173.520004272461,173.320007324219,173.490005493164,12521,165.511337280273,2020-06-17
173.470001220703,173.679992675781,173.389999389648,173.5,4580,165.520874023438,2020-06-18
173.399993896484,173.610000610352,173.380004882812,173.559997558594,6356,165.578109741211,2020-06-19
