"AVGO.Open","AVGO.High","AVGO.Low","AVGO.Close","AVGO.Volume","AVGO.Adjusted","Date"
31.931999206543,32.25,31.7320003509521,32.2389984130859,20329000,27.7886219024658,2020-01-02
31.7509994506836,32,31.4080009460449,31.4190006256104,22870000,27.0818176269531,2020-01-03
31.0849990844727,31.3920001983643,30.9629993438721,31.3719997406006,20789000,27.0413093566895,2020-01-06
31.5249996185303,31.6580009460449,31.2250003814697,31.2639999389648,18565000,26.9482116699219,2020-01-07
31.2980003356934,31.3490009307861,30.8409996032715,30.8740005493164,31979000,26.6120510101318,2020-01-08
31.2320003509521,31.298999786377,30.3050003051758,30.6259994506836,42397000,26.398286819458,2020-01-09
30.5450000762939,30.5550003051758,29.8799991607666,29.9220008850098,40705000,25.7914695739746,2020-01-10
30.0020008087158,30.3799991607666,29.9669990539551,30.1180000305176,22054000,25.9604091644287,2020-01-13
30.2000007629395,30.9150009155273,30.1590003967285,30.818000793457,28911000,26.5637817382812,2020-01-14
30.7310009002686,30.7880001068115,30.0699996948242,30.3139991760254,22733000,26.1293544769287,2020-01-15
30.5,30.7859992980957,30.4209995269775,30.7049999237061,21508000,26.4663791656494,2020-01-16
30.8659992218018,30.8939990997314,30.4069995880127,30.878999710083,26896000,26.616361618042,2020-01-17
30.7800006866455,30.951000213623,30.632999420166,30.806999206543,21967000,26.5542984008789,2020-01-21
31.0799999237061,31.7919998168945,31.0499992370605,31.2970008850098,29264000,26.9766654968262,2020-01-22
31.5179996490479,31.9799995422363,31.0820007324219,31.9650001525879,30266000,27.5524463653564,2020-01-23
33.0499992370605,33.1580009460449,32.0769996643066,32.4000015258789,55782000,27.927396774292,2020-01-24
31.6410007476807,31.988000869751,30.8640003204346,30.9029998779297,38843000,26.6370487213135,2020-01-27
31.3530006408691,31.9230003356934,31.2770004272461,31.8309993743896,23166000,27.4369430541992,2020-01-28
32.0820007324219,32.5429992675781,31.7140007019043,31.7509994506836,23668000,27.3679885864258,2020-01-29
31.431999206543,31.5520000457764,30.8589992523193,31.5200004577637,21128000,27.1688766479492,2020-01-30
