"PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume","PGR.Adjusted","Date"
73.9199981689453,74.3499984741211,73.2600021362305,74.3300018310547,2880700,65.0284271240234,2020-01-02
73.5199966430664,74.7799987792969,73.2799987792969,74.3199996948242,4155800,65.0196533203125,2020-01-03
73.8899993896484,75.7200012207031,73.8300018310547,75.6699981689453,5897200,66.2007217407227,2020-01-06
73,73.120002746582,72.1600036621094,72.7600021362305,4867700,65.6951141357422,2020-01-07
72.9199981689453,73.9599990844727,72.870002746582,73.1900024414062,4073700,66.0833435058594,2020-01-08
73.5,73.9400024414062,73.1900024414062,73.9400024414062,2199400,66.7605438232422,2020-01-09
74,74.129997253418,73.4499969482422,73.6999969482422,3650700,66.543830871582,2020-01-10
73.6999969482422,74.9300003051758,73.6999969482422,74.9199981689453,3795900,67.645378112793,2020-01-13
74.8199996948242,75,74.0199966430664,74.25,3191400,67.040412902832,2020-01-14
74.1900024414062,75.9700012207031,74.0400009155273,75.7200012207031,4078700,68.3676986694336,2020-01-15
75.8099975585938,75.9700012207031,74.9300003051758,75.4400024414062,3180900,68.1148910522461,2020-01-16
76.0400009155273,76.9899978637695,75.9000015258789,76.3000030517578,4265000,68.8913803100586,2020-01-17
76.0400009155273,76.7200012207031,75.8499984741211,76.4300003051758,2686700,69.0087585449219,2020-01-21
76.5800018310547,77.1699981689453,76.1500015258789,76.1600036621094,2167300,68.7649841308594,2020-01-22
75.7099990844727,76.370002746582,75.2300033569336,76.3300018310547,2190000,68.91845703125,2020-01-23
76.5100021362305,76.8600006103516,76.2900009155273,76.75,1695100,69.2976913452148,2020-01-24
75.7699966430664,76.4400024414062,75.4899978637695,75.7699966430664,2490000,68.4128341674805,2020-01-27
76.0699996948242,76.7300033569336,75.8899993896484,76.4499969482422,4003900,69.0268096923828,2020-01-28
80.1999969482422,81.2399978637695,78.2799987792969,80.8099975585938,5230300,72.9634628295898,2020-01-29
79.7399978637695,81.870002746582,78.9499969482422,81.7699966430664,4016700,73.8302536010742,2020-01-30
81.5299987792969,82.2900009155273,80.5,80.6900024414062,6531300,72.8551177978516,2020-01-31
81.129997253418,82.0699996948242,80.3499984741211,80.5699996948242,2745500,72.7467651367188,2020-02-03
81.3099975585938,81.629997253418,80.5999984741211,80.9199981689453,2166900,73.0627822875977,2020-02-04
81.5999984741211,83,81.370002746582,83,2184500,74.9408111572266,2020-02-05
83.0299987792969,83.7699966430664,82.7300033569336,83.0599975585938,2804900,74.9949951171875,2020-02-06
83,83.6600036621094,82.6699981689453,83.2600021362305,2211900,75.1755752563477,2020-02-07
83.2799987792969,83.75,83.1999969482422,83.5899963378906,1512300,75.4735260009766,2020-02-10
