"CIR.MI.Open","CIR.MI.High","CIR.MI.Low","CIR.MI.Close","CIR.MI.Volume","CIR.MI.Adjusted","Date"
0.549000024795532,0.551999986171722,0.542999982833862,0.549000024795532,146860,0.549000024795532,2020-01-02
0.542999982833862,0.546000003814697,0.537999987602234,0.540000021457672,91658,0.540000021457672,2020-01-03
0.537999987602234,0.540000021457672,0.52700001001358,0.540000021457672,149410,0.540000021457672,2020-01-06
0.537000000476837,0.537999987602234,0.529999971389771,0.532000005245209,49662,0.532000005245209,2020-01-07
0.527999997138977,0.540000021457672,0.523000001907349,0.540000021457672,57314,0.540000021457672,2020-01-08
0.531000018119812,0.537000000476837,0.526000022888184,0.529999971389771,62051,0.529999971389771,2020-01-09
0.532999992370605,0.533999979496002,0.523000001907349,0.523000001907349,670127,0.523000001907349,2020-01-10
0.522000014781952,0.535000026226044,0.521000027656555,0.532000005245209,87752,0.532000005245209,2020-01-13
0.524999976158142,0.532000005245209,0.519999980926514,0.532000005245209,74388,0.532000005245209,2020-01-14
0.523999989032745,0.532000005245209,0.51800000667572,0.531000018119812,138117,0.531000018119812,2020-01-15
0.523999989032745,0.532000005245209,0.523000001907349,0.523000001907349,84562,0.523000001907349,2020-01-16
0.52700001001358,0.545000016689301,0.526000022888184,0.537999987602234,1301799,0.537999987602234,2020-01-17
0.541999995708466,0.541999995708466,0.53600001335144,0.537000000476837,102114,0.537000000476837,2020-01-20
0.537000000476837,0.537000000476837,0.523000001907349,0.535000026226044,70700,0.535000026226044,2020-01-21
0.533999979496002,0.544000029563904,0.532000005245209,0.540000021457672,156139,0.540000021457672,2020-01-22
0.532000005245209,0.541999995708466,0.524999976158142,0.526000022888184,255755,0.526000022888184,2020-01-23
0.524999976158142,0.532000005245209,0.523000001907349,0.529999971389771,62575,0.529999971389771,2020-01-24
0.524999976158142,0.524999976158142,0.518999993801117,0.519999980926514,102835,0.519999980926514,2020-01-27
0.522000014781952,0.52700001001358,0.518999993801117,0.52700001001358,144624,0.52700001001358,2020-01-28
0.533999979496002,0.564999997615814,0.533999979496002,0.560999989509583,1157782,0.560999989509583,2020-01-29
0.558000028133392,0.560000002384186,0.549000024795532,0.552999973297119,236370,0.552999973297119,2020-01-30
0.550000011920929,0.559000015258789,0.541999995708466,0.550000011920929,268105,0.550000011920929,2020-01-31
0.546999990940094,0.555999994277954,0.541999995708466,0.554000020027161,61293,0.554000020027161,2020-02-03
0.564000010490417,0.564000010490417,0.551999986171722,0.555000007152557,662244,0.555000007152557,2020-02-04
0.560000002384186,0.560000002384186,0.550999999046326,0.555999994277954,71269,0.555999994277954,2020-02-05
0.550999999046326,0.555999994277954,0.537999987602234,0.549000024795532,150931,0.549000024795532,2020-02-06
0.547999978065491,0.560000002384186,0.540000021457672,0.540000021457672,99922,0.540000021457672,2020-02-07
0.550000011920929,0.550000011920929,0.540000021457672,0.546999990940094,87075,0.546999990940094,2020-02-10
0.549000024795532,0.551999986171722,0.533999979496002,0.546999990940094,276537,0.546999990940094,2020-02-11
0.541999995708466,0.551999986171722,0.535000026226044,0.550999999046326,317526,0.550999999046326,2020-02-12
