"CL-F.Open","CL-F.High","CL-F.Low","CL-F.Close","CL-F.Volume","CL-F.Adjusted","Date"
71.8499984741211,73.7300033569336,71.7900009155273,73.129997253418,306498,73.129997253418,2025-01-02
73.129997253418,74.3499984741211,72.6999969482422,73.9599990844727,296040,73.9599990844727,2025-01-03
74.0500030517578,74.9899978637695,73.1999969482422,73.5599975585938,306042,73.5599975585938,2025-01-06
73.4400024414062,74.5299987792969,73.1100006103516,74.25,277328,74.25,2025-01-07
74.5199966430664,75.2900009155273,73.1600036621094,73.3199996948242,328617,73.3199996948242,2025-01-08
73.3199996948242,74.3199996948242,72.8399963378906,73.9199981689453,213421,73.9199981689453,2025-01-09
74.2900009155273,77.8600006103516,74.0199966430664,76.5699996948242,478432,76.5699996948242,2025-01-10
76.5400009155273,79.2699966430664,76.5400009155273,78.8199996948242,460942,78.8199996948242,2025-01-13
78.8199996948242,79.0899963378906,77.4100036621094,77.5,326729,77.5,2025-01-14
78.0299987792969,80.7699966430664,77.2399978637695,80.0400009155273,321422,80.0400009155273,2025-01-15
80.4000015258789,80.5899963378906,77.870002746582,78.6800003051758,159948,78.6800003051758,2025-01-16
78.75,79.4400024414062,77.7600021362305,77.879997253418,112409,77.879997253418,2025-01-17
78.1900024414062,78.4700012207031,75.4899978637695,75.8899993896484,568807,75.8899993896484,2025-01-21
75.879997253418,76.4499969482422,75.2799987792969,75.4400024414062,315333,75.4400024414062,2025-01-22
75.3899993896484,76,74.1399993896484,74.620002746582,350688,74.620002746582,2025-01-23
74.3000030517578,75.2099990844727,74.0100021362305,74.6600036621094,319679,74.6600036621094,2025-01-24
74.5400009155273,75.1500015258789,72.379997253418,73.1699981689453,334418,73.1699981689453,2025-01-27
73.1500015258789,74.3099975585938,72.9300003051758,73.7699966430664,326075,73.7699966430664,2025-01-28
73.9499969482422,74.0800018310547,72.3300018310547,72.620002746582,312733,72.620002746582,2025-01-29
73,73.8399963378906,72.0199966430664,72.7300033569336,336475,72.7300033569336,2025-01-30
73.1999969482422,73.8399963378906,71.9400024414062,72.5299987792969,376335,72.5299987792969,2025-01-31
74.1399993896484,75.1800003051758,72.0500030517578,73.1600036621094,517853,73.1600036621094,2025-02-03
72.3499984741211,73.3499984741211,70.6699981689453,72.6999969482422,452961,72.6999969482422,2025-02-04
72.7600021362305,72.9700012207031,70.9599990844727,71.0299987792969,289902,71.0299987792969,2025-02-05
71.1800003051758,71.8499984741211,70.4300003051758,70.6100006103516,299037,70.6100006103516,2025-02-06
70.5599975585938,71.4100036621094,70.4700012207031,71,273766,71,2025-02-07
71,72.5400009155273,70.8399963378906,72.3199996948242,255941,72.3199996948242,2025-02-10
72.4899978637695,73.6800003051758,72.3099975585938,73.3199996948242,266819,73.3199996948242,2025-02-11
