"D.MI.Open","D.MI.High","D.MI.Low","D.MI.Close","D.MI.Volume","D.MI.Adjusted","Date"
3.5,3.66950011253357,3.29999995231628,3.3675000667572,1387000,2.83916807174683,2021-12-22
3.41000008583069,3.49000000953674,3.40199995040894,3.42199993133545,383000,2.88511729240417,2021-12-23
3.48000001907349,4.19000005722046,3.48000001907349,4.17700004577637,912000,3.52166414260864,2021-12-27
4.26999998092651,5.39799976348877,4.26999998092651,5.39799976348877,1121500,4.55109977722168,2021-12-28
5.80499982833862,6.80000019073486,5.71999979019165,6.80000019073486,635500,5.73313760757446,2021-12-29
6.5,6.5,5.51000022888184,5.71999979019165,476500,4.82258033752441,2021-12-30
5.51000022888184,5.76999998092651,5.1399998664856,5.21999979019165,594000,4.40102624893188,2022-01-03
5.23999977111816,5.44999980926514,4.96999979019165,5.01000022888184,388500,4.22397375106812,2022-01-04
4.98999977111816,5.28999996185303,4.92500019073486,5.23999977111816,357000,4.41788864135742,2022-01-05
5.17000007629395,5.21000003814697,5.09999990463257,5.17999982833862,83500,4.36730194091797,2022-01-06
5.21000003814697,5.26000022888184,5.03999996185303,5.09000015258789,65500,4.29142236709595,2022-01-07
5.05999994277954,5.1399998664856,4.72499990463257,4.82499980926514,173000,4.06799840927124,2022-01-10
4.84999990463257,5.13000011444092,4.84999990463257,5.09999990463257,84000,4.29985332489014,2022-01-11
5.13000011444092,5.73999977111816,5.03999996185303,5.59000015258789,539000,4.71297693252563,2022-01-12
5.6100001335144,5.71999979019165,5.40000009536743,5.51000022888184,208500,4.6455283164978,2022-01-13
5.42999982833862,5.5,5.3899998664856,5.46999979019165,60000,4.61180305480957,2022-01-14
5.48000001907349,5.53000020980835,5.42000007629395,5.48999977111816,24500,4.62866544723511,2022-01-17
5.46000003814697,5.51000022888184,5.30000019073486,5.46999979019165,93500,4.61180305480957,2022-01-18
5.42999982833862,5.51999998092651,5.36999988555908,5.51000022888184,61500,4.6455283164978,2022-01-19
5.51999998092651,5.53999996185303,5.44999980926514,5.46999979019165,24000,4.61180305480957,2022-01-20
5.40999984741211,5.42000007629395,5.30000019073486,5.34999990463257,58500,4.51063013076782,2022-01-21
5.38000011444092,5.38000011444092,5.17000007629395,5.25,109500,4.42632007598877,2022-01-24
5.26000022888184,5.59000015258789,5.25,5.5,55000,4.63709688186646,2022-01-25
5.53000020980835,5.59999990463257,5.5,5.51000022888184,60000,4.6455283164978,2022-01-26
5.46999979019165,5.48000001907349,5.3899998664856,5.44999980926514,26000,4.59494113922119,2022-01-27
