"FCT.MI.Open","FCT.MI.High","FCT.MI.Low","FCT.MI.Close","FCT.MI.Volume","FCT.MI.Adjusted","Date"
7.15212488174438,7.19864320755005,7.12111282348633,7.1327428817749,349295,7.1327428817749,2020-01-02
7.12498998641968,7.12498998641968,7.00094223022461,7.03970718383789,366388,7.03970718383789,2020-01-03
6.99706506729126,7.02032423019409,6.83425283432007,6.94279479980469,407668,6.94279479980469,2020-01-06
6.90790605545044,7.05521297454834,6.90790605545044,7.01644802093506,312475,7.01644802093506,2020-01-07
6.96993017196655,7.02807712554932,6.91178321838379,6.99706506729126,332427,6.99706506729126,2020-01-08
6.97380590438843,7.10173082351685,6.97380590438843,7.02807712554932,425179,7.02807712554932,2020-01-09
7.10173082351685,7.10173082351685,7.00094223022461,7.02420091629028,274393,7.02420091629028,2020-01-10
7.04358291625977,7.07847213745117,6.92341184616089,6.95442390441895,341557,6.95442390441895,2020-01-13
6.95054817199707,7.11723709106445,6.95054817199707,7.07847213745117,634343,7.07847213745117,2020-01-14
7.10173082351685,7.11723709106445,6.96993017196655,7.00481796264648,366985,7.00481796264648,2020-01-15
7.00869512557983,7.03970718383789,6.96993017196655,6.98931217193604,183694,6.98931217193604,2020-01-16
6.99318885803223,7.0862250328064,6.96993017196655,6.985435962677,271648,6.985435962677,2020-01-17
7.02807712554932,7.02807712554932,6.94279479980469,7.02807712554932,292404,7.02807712554932,2020-01-20
7.04746007919312,7.04746007919312,6.95442390441895,6.98931217193604,239654,6.98931217193604,2020-01-21
6.95442390441895,6.95442390441895,6.75672292709351,6.83037614822388,1322883,6.83037614822388,2020-01-22
6.88464689254761,6.88464689254761,6.74509382247925,6.74509382247925,492389,6.74509382247925,2020-01-23
6.81874704360962,6.83037614822388,6.66756391525269,6.78385782241821,360273,6.78385782241821,2020-01-24
6.76835203170776,6.76835203170776,6.62492179870605,6.63655185699463,466729,6.63655185699463,2020-01-27
6.68307018280029,6.73734092712402,6.62104606628418,6.69857597351074,349111,6.69857597351074,2020-01-28
6.74509382247925,6.77610492706299,6.71408176422119,6.74121713638306,216252,6.74121713638306,2020-01-29
6.66756391525269,6.72183513641357,6.60553979873657,6.60553979873657,263961,6.60553979873657,2020-01-30
6.60553979873657,6.63655185699463,6.34969091415405,6.36132097244263,792259,6.36132097244263,2020-01-31
6.434974193573,6.434974193573,6.26440906524658,6.27603816986084,621304,6.27603816986084,2020-02-03
6.3535680770874,6.434974193573,6.30317401885986,6.39620876312256,332705,6.39620876312256,2020-02-04
