"C.Open","C.High","C.Low","C.Close","C.Volume","C.Adjusted","Date"
80.129997253418,81.2600021362305,80.0299987792969,81.2300033569336,12728900,65.7004013061523,2020-01-02
79.8000030517578,80.5199966430664,79.4499969482422,79.6999969482422,12437400,64.4629058837891,2020-01-03
78.7200012207031,79.5500030517578,78.7200012207031,79.4499969482422,10059500,64.2607040405273,2020-01-06
79.2900009155273,79.3000030517578,78.7300033569336,78.7600021362305,10469100,63.7026290893555,2020-01-07
78.7699966430664,80,78.6800003051758,79.3600006103516,11292400,64.1878967285156,2020-01-08
80.9800033569336,80.9800033569336,79.7300033569336,80.0800018310547,12895900,64.7702560424805,2020-01-09
80,80.0100021362305,79.0699996948242,79.25,10062100,64.0989151000977,2020-01-10
79.5,80.7200012207031,79,80.6500015258789,16566300,65.2312850952148,2020-01-13
81.1999969482422,83.1100006103516,80.9700012207031,81.9100036621094,24971800,66.2504119873047,2020-01-14
81.7300033569336,82.0500030517578,80.7300033569336,81.2399978637695,16063600,65.7084808349609,2020-01-15
81.9599990844727,82.129997253418,80.8499984741211,81,10426000,65.5143661499023,2020-01-16
81.1600036621094,81.4000015258789,80.8099975585938,81.120002746582,12413100,65.6114273071289,2020-01-17
80.4800033569336,80.9100036621094,79.870002746582,79.9000015258789,10522000,64.6246871948242,2020-01-21
80.1999969482422,80.4800033569336,79.8600006103516,80.0999984741211,8045600,64.7864227294922,2020-01-22
79.5800018310547,80.0800018310547,78.9199981689453,79.8000030517578,11618200,64.5437927246094,2020-01-23
79.620002746582,79.6699981689453,77.6399993896484,78.4199981689453,15036100,63.4276123046875,2020-01-24
76.2600021362305,77,75.8499984741211,76.7099990844727,15859600,62.0445213317871,2020-01-27
77.2099990844727,78.129997253418,76.7799987792969,77.2399978637695,10960200,62.4732093811035,2020-01-28
77.5400009155273,77.9000015258789,76.4100036621094,76.4800033569336,9478900,61.8585090637207,2020-01-29
75.7399978637695,77.5400009155273,75.5,77.4300003051758,12498200,62.6268844604492,2020-01-30
75.9599990844727,76.1800003051758,73.9100036621094,74.4100036621094,17101200,60.5832977294922,2020-01-31
74.6999969482422,76.2099990844727,74.6999969482422,75.129997253418,11096500,61.1694946289062,2020-02-03
76.75,77.2699966430664,76.4300003051758,76.5,12173200,62.2849311828613,2020-02-04
77.9199981689453,78.9800033569336,77.8099975585938,78.8499984741211,13070400,64.1982498168945,2020-02-05
79.8000030517578,79.8600006103516,78.4000015258789,78.9700012207031,12826400,64.2959594726562,2020-02-06
78.129997253418,79.0500030517578,78.0599975585938,78.6900024414062,8341700,64.068000793457,2020-02-07
78.0800018310547,78.7399978637695,78.0500030517578,78.4800033569336,8418300,63.8970260620117,2020-02-10
78.75,79.5500030517578,78.6399993896484,79.0899963378906,9437200,64.3936614990234,2020-02-11
79.9000015258789,80.7699966430664,79.3000030517578,79.3300018310547,9484100,64.5890579223633,2020-02-12
78.8899993896484,79.2799987792969,78.620002746582,79,8946200,64.3203735351562,2020-02-13
78.8899993896484,79.0899963378906,78.4499969482422,78.7900009155273,9056600,64.1493911743164,2020-02-14
78.6100006103516,78.8600006103516,77.5100021362305,77.5800018310547,10343500,63.1642417907715,2020-02-18
77.870002746582,78.3899993896484,77.620002746582,78.0500030517578,9145200,63.5469055175781,2020-02-19
77.6600036621094,78.6900024414062,77.3099975585938,78.2200012207031,11763400,63.6853141784668,2020-02-20
77.5599975585938,77.9599990844727,76.1500015258789,76.4400024414062,14020000,62.2360916137695,2020-02-21
73.379997253418,74.0500030517578,72.4400024414062,72.5299987792969,21096200,59.0526161193848,2020-02-24
72.629997253418,73.2099990844727,69,69.4300003051758,27451000,56.5286521911621,2020-02-25
70.0199966430664,70.6100006103516,68.1600036621094,68.1800003051758,25552100,55.510929107666,2020-02-26
66.0999984741211,66.8899993896484,64.4000015258789,64.4499969482422,34656800,52.4740257263184,2020-02-27
62,64.4499969482422,61.3400001525879,63.4599990844727,46013200,51.6679916381836,2020-02-28
63.8499984741211,67.6100006103516,63.1199989318848,67.5899963378906,29006400,55.0305633544922,2020-03-02
67.8600006103516,68.4300003051758,64.4700012207031,65.0500030517578,29547700,52.9625473022461,2020-03-03
66.0500030517578,67.5199966430664,64.3600006103516,67.3899993896484,24188500,54.8677253723145,2020-03-04
64.8000030517578,65.120002746582,63.0099983215332,63.4900016784668,27277600,51.6924209594727,2020-03-05
60.4599990844727,62.310001373291,59.7400016784668,61.2799987792969,29916600,49.8930740356445,2020-03-06
54.310001373291,55.6100006103516,51,51.3699989318848,35625600,41.8245315551758,2020-03-09
54.7299995422363,55.7000007629395,51.5,55.5800018310547,32527500,45.2522430419922,2020-03-10
53.9500007629395,54.3300018310547,50.0200004577637,50.7900009155273,36709000,41.3523063659668,2020-03-11
45.2999992370605,49,42.8199996948242,43.2599983215332,45941600,35.2215118408203,2020-03-12
47.8199996948242,51.2400016784668,45.310001373291,51.0400009155273,40519800,41.5558547973633,2020-03-13
40.4900016784668,45.2299995422363,39.5699996948242,41.189998626709,35133800,33.5361595153809,2020-03-16
42,43.9799995422363,38.7999992370605,40.25,51650000,32.7708282470703,2020-03-17
37.060001373291,37.9900016784668,32,36.4300003051758,48351400,29.6606521606445,2020-03-18
35.4700012207031,41.2400016784668,34.2000007629395,39.6399993896484,43397100,32.2741813659668,2020-03-19
40.4599990844727,40.9900016784668,37.2000007629395,38.060001373291,38163900,30.987771987915,2020-03-20
37.5499992370605,38.1500015258789,34.6199989318848,35.3899993896484,33013300,28.8139019012451,2020-03-23
37.6500015258789,40.9199981689453,37.3400001525879,40.6599998474121,34100600,33.1046409606934,2020-03-24
