"JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted","Date"
139.789993286133,141.100006103516,139.259994506836,141.089996337891,10803700,119.573341369629,2020-01-02
137.5,139.229995727539,137.080001831055,138.339996337891,10386800,117.995429992676,2020-01-03
136.559997558594,138.270004272461,136.5,138.229995727539,10259000,117.901611328125,2020-01-06
137.279998779297,137.860000610352,135.820007324219,135.880004882812,10531300,115.897201538086,2020-01-07
135.699996948242,137.580001831055,135.600006103516,136.940002441406,9695300,116.801330566406,2020-01-08
138.050003051758,138.229995727539,137.039993286133,137.440002441406,9469000,117.227767944336,2020-01-09
137.210006713867,137.25,135.809997558594,136.070007324219,10190900,116.059265136719,2020-01-10
136.190002441406,137.199996948242,135.759994506836,137.199996948242,12355200,117.023101806641,2020-01-13
137.940002441406,140.759994506836,137.690002441406,138.800003051758,24906000,118.387817382812,2020-01-14
137.850006103516,138.600006103516,136.149993896484,136.720001220703,16293400,116.613670349121,2020-01-15
137.449996948242,137.899993896484,136.839996337891,137.25,10783800,117.065734863281,2020-01-16
137.539993286133,138.289993286133,137.320007324219,138.199996948242,14697700,117.876029968262,2020-01-17
137.190002441406,138.070007324219,136.690002441406,136.839996337891,8474200,116.716041564941,2020-01-21
137.240005493164,137.399993896484,136.380004882812,136.679992675781,7549100,116.579551696777,2020-01-22
135.710006713867,136.740005493164,134.720001220703,136.539993286133,9345700,116.460151672363,2020-01-23
136.369995117188,136.429992675781,132.320007324219,133.149993896484,15166400,113.568687438965,2020-01-24
130.270004272461,132.940002441406,129.710006713867,132.029998779297,12860500,112.613380432129,2020-01-27
132.839996337891,134.970001220703,132.479995727539,134.429992675781,13062800,114.660438537598,2020-01-28
134.809997558594,135.539993286133,133.690002441406,134.229995727539,9326000,114.489852905273,2020-01-29
132.690002441406,136.130004882812,132.690002441406,135.889999389648,9048900,115.905731201172,2020-01-30
134.490005493164,134.830001831055,131.470001220703,132.360000610352,12785200,112.89485168457,2020-01-31
132.660003662109,134.240005493164,132.660003662109,133.369995117188,10021100,113.756317138672,2020-02-03
135.550003051758,136.600006103516,135.080001831055,135.289993286133,9157100,115.393966674805,2020-02-04
