"WRDA.MI.Open","WRDA.MI.High","WRDA.MI.Low","WRDA.MI.Close","WRDA.MI.Volume","WRDA.MI.Adjusted","Date"
30.0400009155273,30.0400009155273,30.0400009155273,30.0400009155273,0,30.0400009155273,2024-09-27
29.9099998474121,29.9099998474121,29.9099998474121,29.9549999237061,345,29.9549999237061,2024-09-30
29.9699993133545,29.9699993133545,29.9699993133545,29.9699993133545,0,29.9699993133545,2024-10-01
30,30.3400001525879,30,30.3400001525879,250,30.3400001525879,2024-10-02
30.0149993896484,30.0149993896484,30.0149993896484,30.0149993896484,0,30.0149993896484,2024-10-03
30.2299995422363,30.2299995422363,30.2299995422363,30.2299995422363,0,30.2299995422363,2024-10-04
30.3099994659424,30.3099994659424,30.3099994659424,30.3199996948242,345,30.3199996948242,2024-10-07
30.2700004577637,30.2700004577637,30.2700004577637,30.2700004577637,0,30.2700004577637,2024-10-08
30.3449993133545,30.5200004577637,30.3250007629395,30.5200004577637,1990,30.5200004577637,2024-10-09
30.5900001525879,30.5900001525879,30.5900001525879,30.5900001525879,0,30.5900001525879,2024-10-10
30.7049999237061,30.7049999237061,30.7049999237061,30.7049999237061,0,30.7049999237061,2024-10-11
30.9500007629395,30.9500007629395,30.9500007629395,30.9500007629395,0,30.9500007629395,2024-10-14
31,31,31,30.8899993896484,360,30.8899993896484,2024-10-15
30.8349990844727,30.8349990844727,30.8349990844727,30.8649997711182,16,30.8649997711182,2024-10-16
31.1350002288818,31.1350002288818,31.1350002288818,31.1350002288818,0,31.1350002288818,2024-10-17
31.1049995422363,31.1049995422363,31.1049995422363,31.1049995422363,0,31.1049995422363,2024-10-18
31.1000003814697,31.1149997711182,31.1000003814697,31.0349998474121,1000,31.0349998474121,2024-10-21
31.0149993896484,31.0149993896484,31.0149993896484,31.0149993896484,0,31.0149993896484,2024-10-22
30.9300003051758,30.9300003051758,30.9300003051758,30.9300003051758,0,30.9300003051758,2024-10-23
30.9799995422363,30.9799995422363,30.9300003051758,30.8950004577637,245,30.8950004577637,2024-10-24
30.9899997711182,30.9899997711182,30.9899997711182,30.9899997711182,0,30.9899997711182,2024-10-25
30.9899997711182,30.9899997711182,30.9899997711182,30.9750003814697,145,30.9750003814697,2024-10-28
31.0100002288818,31.0100002288818,31.0100002288818,31.0100002288818,0,31.0100002288818,2024-10-29
