"VWCE.MI.Open","VWCE.MI.High","VWCE.MI.Low","VWCE.MI.Close","VWCE.MI.Volume","VWCE.MI.Adjusted","Date"
78.75,78.75,78.75,78.620002746582,1,78.620002746582,2020-01-14
78.5999984741211,78.6800003051758,78.5,78.5699996948242,201,78.5699996948242,2020-01-15
78.9000015258789,78.9000015258789,78.7799987792969,78.870002746582,717,78.870002746582,2020-01-16
79.5699996948242,79.6600036621094,79.5699996948242,79.5400009155273,51,79.5400009155273,2020-01-17
79.5999984741211,79.5999984741211,79.5999984741211,79.5299987792969,25,79.5299987792969,2020-01-20
79.1500015258789,79.1500015258789,79.1500015258789,79.25,25,79.25,2020-01-21
79.5,79.7799987792969,79.5,79.5299987792969,315,79.5299987792969,2020-01-22
79.7699966430664,79.7699966430664,79.25,79.129997253418,224,79.129997253418,2020-01-23
79.129997253418,79.129997253418,79.129997253418,79.129997253418,0,79.129997253418,2020-01-24
78.7200012207031,78.7200012207031,77.620002746582,77.629997253418,1550,77.629997253418,2020-01-27
77.870002746582,78.3899993896484,77.870002746582,78.5,50,78.5,2020-01-28
78.5,78.5,78.5,78.5,0,78.5,2020-01-29
77.629997253418,77.629997253418,77.629997253418,77.7300033569336,32,77.7300033569336,2020-01-30
77.75,77.75,77,76.8199996948242,381,76.8199996948242,2020-01-31
77.1399993896484,77.5999984741211,77.0899963378906,77.4700012207031,424,77.4700012207031,2020-02-03
78.4300003051758,78.4300003051758,78.4300003051758,78.7699966430664,51,78.7699966430664,2020-02-04
79.8000030517578,79.8000030517578,79.2399978637695,79.5199966430664,2032,79.5199966430664,2020-02-05
79.9000015258789,80.2099990844727,79.9000015258789,80.129997253418,32,80.129997253418,2020-02-06
79.7399978637695,80,79.7399978637695,79.8899993896484,155,79.8899993896484,2020-02-07
79.5899963378906,79.9199981689453,79.5899963378906,80.1399993896484,402,80.1399993896484,2020-02-10
81.1500015258789,81.1500015258789,81.1500015258789,81.0299987792969,12,81.0299987792969,2020-02-11
81.1600036621094,81.4700012207031,81.1600036621094,81.3499984741211,62,81.3499984741211,2020-02-12
81.7300033569336,81.7300033569336,80.7399978637695,81.4700012207031,518,81.4700012207031,2020-02-13
