"MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","Date"
158.779998779297,160.729995727539,158.330001831055,160.619995117188,22622100,152.791137695312,2020-01-02
158.320007324219,159.949996948242,158.059997558594,158.619995117188,21116200,150.888626098633,2020-01-03
157.080001831055,159.100006103516,156.509994506836,159.029998779297,20813700,151.278625488281,2020-01-06
159.320007324219,159.669998168945,157.320007324219,157.580001831055,21634100,149.899307250977,2020-01-07
158.929992675781,160.800003051758,157.949996948242,160.089996337891,27746500,152.286972045898,2020-01-08
161.839996337891,162.220001220703,161.029998779297,162.089996337891,21385000,154.189453125,2020-01-09
162.820007324219,163.220001220703,161.179992675781,161.339996337891,20725900,153.476028442383,2020-01-10
161.759994506836,163.309997558594,161.259994506836,163.279998779297,21626500,155.321472167969,2020-01-13
163.389999389648,163.600006103516,161.720001220703,162.130004882812,23477400,154.227508544922,2020-01-14
162.619995117188,163.940002441406,162.570007324219,163.179992675781,21417900,155.226333618164,2020-01-15
164.350006103516,166.240005493164,164.029998779297,166.169998168945,23865400,158.070648193359,2020-01-16
167.419998168945,167.470001220703,165.429992675781,167.100006103516,34371700,158.955261230469,2020-01-17
166.679992675781,168.190002441406,166.429992675781,166.5,29517200,158.384536743164,2020-01-21
167.399993896484,167.490005493164,165.679992675781,165.699996948242,24138800,157.623550415039,2020-01-22
166.190002441406,166.800003051758,165.270004272461,166.720001220703,19680800,158.593811035156,2020-01-23
167.509994506836,167.529998779297,164.449996948242,165.039993286133,24918100,156.995681762695,2020-01-24
161.149993896484,163.380004882812,160.199996948242,162.279998779297,32078100,154.370223999023,2020-01-27
163.779998779297,165.759994506836,163.070007324219,165.460006713867,24899900,157.395233154297,2020-01-28
167.839996337891,168.75,165.690002441406,168.039993286133,34754500,159.849472045898,2020-01-29
174.050003051758,174.050003051758,170.789993286133,172.779998779297,51597500,164.3583984375,2020-01-30
172.210006713867,172.399993896484,169.580001831055,170.229995727539,36142700,161.932708740234,2020-01-31
170.429992675781,174.5,170.399993896484,174.380004882812,30107000,165.880447387695,2020-02-03
177.139999389648,180.639999389648,176.309997558594,180.119995117188,36433300,171.340698242188,2020-02-04
184.029998779297,184.199996948242,178.410003662109,179.899993896484,39186300,171.131393432617,2020-02-05
180.970001220703,183.820007324219,180.059997558594,183.630004882812,27751400,174.679611206055,2020-02-06
182.850006103516,185.630004882812,182.479995727539,183.889999389648,33529100,174.926879882812,2020-02-07
183.580001831055,188.839996337891,183.25,188.699996948242,35844300,179.50244140625,2020-02-10
190.649993896484,190.699996948242,183.5,184.440002441406,53159900,175.450119018555,2020-02-11
185.580001831055,185.850006103516,181.850006103516,184.710006713867,47062900,175.706970214844,2020-02-12
183.080001831055,186.229995727539,182.869995117188,183.710006713867,35295800,174.755676269531,2020-02-13
183.25,185.410003662109,182.649993896484,185.350006103516,23149500,176.31575012207,2020-02-14
185.610000610352,187.699996948242,185.5,187.229995727539,27792200,178.104141235352,2020-02-18
188.059997558594,188.179992675781,186.470001220703,187.279998779297,29997500,178.638259887695,2020-02-19
186.949996948242,187.25,181.100006103516,184.419998168945,36862400,175.910232543945,2020-02-20
183.169998168945,183.5,177.25,178.589996337891,48572600,170.349243164062,2020-02-21
167.770004272461,174.550003051758,163.229995727539,170.889999389648,68311100,163.00456237793,2020-02-24
174.199996948242,174.839996337891,167.649993896484,168.070007324219,68073300,160.314697265625,2020-02-25
169.710006713867,173.259994506836,168.210006713867,170.169998168945,56206100,162.317764282227,2020-02-26
163.320007324219,167.029998779297,157.979995727539,158.179992675781,93174900,150.88102722168,2020-02-27
152.410003662109,163.710006713867,152,162.009994506836,97012700,154.534301757812,2020-02-28
165.309997558594,172.919998168945,162.309997558594,172.789993286133,71030800,164.816909790039,2020-03-02
173.800003051758,175,162.259994506836,164.509994506836,71677000,156.9189453125,2020-03-03
168.490005493164,170.699996948242,165.619995117188,170.550003051758,49814400,162.680236816406,2020-03-04
166.050003051758,170.869995117188,165.690002441406,166.270004272461,47817300,158.597732543945,2020-03-05
162.610000610352,163.110000610352,156,161.570007324219,72821100,154.114639282227,2020-03-06
151,157.75,150,150.619995117188,70419300,143.669906616211,2020-03-09
158.160003662109,161.029998779297,152.580001831055,160.919998168945,65354400,153.494613647461,2020-03-10
