"UCG.MI.Open","UCG.MI.High","UCG.MI.Low","UCG.MI.Close","UCG.MI.Volume","UCG.MI.Adjusted","Date"
13.1000003814697,13.503999710083,13.0679998397827,13.4879999160767,18330296,10.7254209518433,2020-01-02
13.3500003814697,13.3739995956421,13.1639995574951,13.3280000686646,15716046,10.5981922149658,2020-01-03
13.1479997634888,13.1780004501343,12.7799997329712,13.0819997787476,20131839,10.4025783538818,2020-01-06
13.1940002441406,13.289999961853,13.1000003814697,13.1599998474121,12339617,10.4646015167236,2020-01-07
12.9700002670288,13.3699998855591,12.8920001983643,13.3280000686646,19309384,10.5981922149658,2020-01-08
13.5059995651245,13.6199998855591,13.4540004730225,13.5179996490479,16411325,10.7492771148682,2020-01-09
13.5480003356934,13.5780000686646,13.3800001144409,13.3999996185303,11201399,10.655445098877,2020-01-10
13.4700002670288,13.4820003509521,13.2040004730225,13.289999961853,10908766,10.5679740905762,2020-01-13
13.3199996948242,13.4099998474121,13.1800003051758,13.3979997634888,9655557,10.6538553237915,2020-01-14
13.3620004653931,13.3900003433228,13.0500001907349,13.0500001907349,14340440,10.3771314620972,2020-01-15
13.1099996566772,13.1960000991821,12.9219999313354,13.1160001754761,14486481,10.4296140670776,2020-01-16
13.2379999160767,13.2819995880127,13.1339998245239,13.1499996185303,11128819,10.4566497802734,2020-01-17
13.1199998855591,13.1339998245239,12.8879995346069,12.9200000762939,11932930,10.2737579345703,2020-01-20
12.826000213623,13.003999710083,12.6820001602173,12.9940004348755,14506795,10.3326025009155,2020-01-21
12.9499998092651,12.9739999771118,12.503999710083,12.5699996948242,23318511,9.99544429779053,2020-01-22
12.5799999237061,12.7580003738403,12.4200000762939,12.5559997558594,17143775,9.9843111038208,2020-01-23
12.6479997634888,12.8100004196167,12.3940000534058,12.4440002441406,14412139,9.89525127410889,2020-01-24
12.4040002822876,12.6759996414185,12.2679996490479,12.3360004425049,20759400,9.80937194824219,2020-01-27
12.4460000991821,12.7340002059937,12.2399997711182,12.6420001983643,16366367,10.052698135376,2020-01-28
12.7760000228882,12.8339996337891,12.5679998397827,12.6400003433228,11911356,10.0511083602905,2020-01-29
12.3719997406006,12.5100002288818,12.2779998779297,12.3839998245239,12665020,9.84754085540771,2020-01-30
12.4680004119873,12.4700002670288,12.0200004577637,12.0819997787476,19228240,9.60739421844482,2020-01-31
12.1400003433228,12.2620000839233,12.0819997787476,12.206000328064,10860324,9.70599842071533,2020-02-03
12.3579998016357,12.6140003204346,12.2919998168945,12.5799999237061,18010366,10.003396987915,2020-02-04
12.6000003814697,12.8999996185303,12.4720001220703,12.8319997787476,19217977,10.203782081604,2020-02-05
13.5500001907349,13.9499998092651,13.3660001754761,13.8780002593994,50101756,11.0355434417725,2020-02-06
13.8219995498657,13.9680004119873,13.6560001373291,13.9060001373291,19620982,11.0578079223633,2020-02-07
13.8000001907349,14.0719995498657,13.789999961853,13.96399974823,16695911,11.103928565979,2020-02-10
14.0500001907349,14.2480001449585,13.9060001373291,14.173999786377,21083621,11.2709159851074,2020-02-11
14.2040004730225,14.4300003051758,14.1219997406006,14.1219997406006,23355492,11.229567527771,2020-02-12
14,14.1400003433228,13.8000001907349,14.0279998779297,20418251,11.154821395874,2020-02-13
14.0319995880127,14.0620002746582,13.8219995498657,13.8859996795654,12305778,11.0419044494629,2020-02-14
13.9479999542236,14.1820001602173,13.9440002441406,14.1499996185303,12521690,11.2518329620361,2020-02-17
14.1479997634888,14.4420003890991,14.0419998168945,14.0600004196167,16252838,11.1802663803101,2020-02-18
14.1719999313354,14.2200002670288,14.0200004577637,14.1319999694824,13291130,11.2375192642212,2020-02-19
14.1020002365112,14.1920003890991,13.5600004196167,13.7180004119873,20573139,10.9083137512207,2020-02-20
13.5679998397827,13.5699996948242,12.9799995422363,13.1840000152588,37793197,10.4836864471436,2020-02-21
12.6979999542236,12.7740001678467,12.4899997711182,12.6400003433228,34684864,10.0511083602905,2020-02-24
12.7840003967285,12.789999961853,12.3620004653931,12.4119997024536,21094079,9.86980533599854,2020-02-25
12.3699998855591,12.6499996185303,12.2220001220703,12.5520000457764,23215395,9.9811315536499,2020-02-26
