"EM1015.MI.Open","EM1015.MI.High","EM1015.MI.Low","EM1015.MI.Close","EM1015.MI.Volume","EM1015.MI.Adjusted","Date"
243.179992675781,243.179992675781,242.429992675781,242.929992675781,4144,242.929992675781,2020-02-26
243.119995117188,243.119995117188,242.300003051758,242.649993896484,799,242.649993896484,2020-02-27
242.070007324219,243.470001220703,242.070007324219,243.059997558594,597,243.059997558594,2020-02-28
243.479995727539,243.589996337891,242.710006713867,242.929992675781,7169,242.929992675781,2020-03-02
243.149993896484,245.679992675781,242.970001220703,245,14280,245,2020-03-03
244.929992675781,245.669998168945,244.649993896484,244.720001220703,8525,244.720001220703,2020-03-04
244.600006103516,244.800003051758,243.960006713867,244.539993286133,5207,244.539993286133,2020-03-05
244.25,244.970001220703,242.270004272461,244.789993286133,867,244.789993286133,2020-03-06
244.600006103516,244.600006103516,243.050003051758,243.300003051758,1890,243.300003051758,2020-03-09
241.910003662109,242.610000610352,241.759994506836,242.080001831055,1331,242.080001831055,2020-03-10
242.070007324219,244.020004272461,242.070007324219,243.800003051758,912,243.800003051758,2020-03-11
243.789993286133,243.800003051758,235.449996948242,240.399993896484,1738,240.399993896484,2020-03-12
236.520004272461,237.619995117188,232.339996337891,234.580001831055,1098,234.580001831055,2020-03-13
232.880004882812,233.220001220703,226.520004272461,228.339996337891,2424,228.339996337891,2020-03-16
228.149993896484,228.550003051758,224.660003662109,226.270004272461,994,226.270004272461,2020-03-17
222.710006713867,223.100006103516,218.110000610352,224.160003662109,3373,224.160003662109,2020-03-18
232.949996948242,233.119995117188,228.009994506836,230.440002441406,1334,230.440002441406,2020-03-19
231.910003662109,233.929992675781,230.770004272461,232.899993896484,410,232.899993896484,2020-03-20
231.630004882812,233.860000610352,231.619995117188,232.339996337891,1213,232.339996337891,2020-03-23
232.029998779297,234.240005493164,231.259994506836,231.619995117188,410,231.619995117188,2020-03-24
232.240005493164,232.550003051758,230.669998168945,231.259994506836,557,231.259994506836,2020-03-25
233.600006103516,235.610000610352,233.600006103516,236.289993286133,556,236.289993286133,2020-03-26
235.979995727539,238.710006713867,235.929992675781,237.339996337891,427,237.339996337891,2020-03-27
236,237.710006713867,235.820007324219,236.429992675781,587,236.429992675781,2020-03-30
234.889999389648,236.479995727539,234.509994506836,234.570007324219,39,234.570007324219,2020-03-31
234.009994506836,235.149993896484,234,234.259994506836,184,234.259994506836,2020-04-01
233.270004272461,235.339996337891,232.529998779297,234.210006713867,217,234.210006713867,2020-04-02
235.380004882812,235.419998168945,232.529998779297,232.630004882812,3046,232.630004882812,2020-04-03
232.119995117188,234.300003051758,232.119995117188,233.789993286133,985,233.789993286133,2020-04-06
232.279998779297,233.779998779297,231.270004272461,231.5,99,231.5,2020-04-07
230.210006713867,230.960006713867,230.149993896484,230.979995727539,182,230.979995727539,2020-04-08
231.199996948242,232.820007324219,231.199996948242,232.479995727539,306,232.479995727539,2020-04-09
231.830001831055,232.389999389648,231.410003662109,231.309997558594,164,231.309997558594,2020-04-14
231.419998168945,232.029998779297,230.539993286133,231.5,738,231.5,2020-04-15
231.399993896484,232.570007324219,231.399993896484,232.050003051758,148,232.050003051758,2020-04-16
232.190002441406,232.940002441406,232.190002441406,232.649993896484,169,232.649993896484,2020-04-17
232.389999389648,232.389999389648,230.25,230.699996948242,2560,230.699996948242,2020-04-20
230.229995727539,231.210006713867,228.970001220703,229.050003051758,238,229.050003051758,2020-04-21
227.759994506836,228.940002441406,227.759994506836,228.199996948242,255,228.199996948242,2020-04-22
229.5,229.729995727539,228.889999389648,229.740005493164,408,229.740005493164,2020-04-23
229.740005493164,231.699996948242,229.740005493164,231.490005493164,1494,231.490005493164,2020-04-24
232.160003662109,232.869995117188,232.160003662109,232.570007324219,338,232.570007324219,2020-04-27
232.699996948242,233.550003051758,232.699996948242,232.990005493164,254,232.990005493164,2020-04-28
232.25,233.800003051758,232.25,233.320007324219,363,233.320007324219,2020-04-29
233.860000610352,234.490005493164,233.320007324219,234.800003051758,324,234.800003051758,2020-04-30
233.899993896484,233.919998168945,233.270004272461,234.070007324219,94,234.070007324219,2020-05-04
233,233.5,233,233.270004272461,479,233.270004272461,2020-05-05
233.339996337891,233.419998168945,231.75,231.350006103516,425,231.350006103516,2020-05-06
231.080001831055,232.809997558594,230.820007324219,232.490005493164,447,232.490005493164,2020-05-07
233.600006103516,233.600006103516,232.779998779297,233.169998168945,3080,233.169998168945,2020-05-08
233.110000610352,233.110000610352,231.850006103516,232.139999389648,1354,232.139999389648,2020-05-11
231.850006103516,232.300003051758,231.690002441406,232.25,3249,232.25,2020-05-12
232.419998168945,233.5,232.419998168945,233.399993896484,399,233.399993896484,2020-05-13
233.75,233.850006103516,232.910003662109,233.199996948242,264,233.199996948242,2020-05-14
233.119995117188,233.600006103516,233.119995117188,232.759994506836,250,232.759994506836,2020-05-15
232.710006713867,233.729995727539,232.710006713867,233.160003662109,970,233.160003662109,2020-05-18
234.139999389648,234.300003051758,233.429992675781,233.759994506836,1011,233.759994506836,2020-05-19
233.839996337891,234.399993896484,233.630004882812,234.240005493164,381,234.240005493164,2020-05-20
233.759994506836,234.589996337891,233.759994506836,234.509994506836,214,234.509994506836,2020-05-21
234.710006713867,234.75,234.350006103516,234.470001220703,693,234.470001220703,2020-05-22
234.619995117188,234.619995117188,234.479995727539,234.630004882812,52,234.630004882812,2020-05-25
234.449996948242,234.449996948242,233.889999389648,234.119995117188,1685,234.119995117188,2020-05-26
234.399993896484,235.080001831055,234.300003051758,235.039993286133,435,235.039993286133,2020-05-27
234.809997558594,236.039993286133,234.809997558594,235.949996948242,752,235.949996948242,2020-05-28
235.830001831055,236.570007324219,235.809997558594,236.119995117188,267,236.119995117188,2020-05-29
235.740005493164,235.940002441406,235.309997558594,235.240005493164,526,235.240005493164,2020-06-01
235.779998779297,235.779998779297,235.149993896484,235.220001220703,3745,235.220001220703,2020-06-02
234.529998779297,234.899993896484,233.800003051758,233.949996948242,2550,233.949996948242,2020-06-03
233.710006713867,235.5,233.5,234.889999389648,1132,234.889999389648,2020-06-04
234.449996948242,234.720001220703,234.289993286133,234.199996948242,366,234.199996948242,2020-06-05
234.25,235.279998779297,234.25,234.990005493164,1006,234.990005493164,2020-06-08
235,235.270004272461,234.169998168945,234.279998779297,2086,234.279998779297,2020-06-09
234.240005493164,234.369995117188,233.669998168945,233.809997558594,907,233.809997558594,2020-06-10
234.770004272461,235.720001220703,234.770004272461,235.710006713867,528,235.710006713867,2020-06-11
235.570007324219,236.589996337891,235.410003662109,236.509994506836,582,236.509994506836,2020-06-12
236.880004882812,237.130004882812,236.619995117188,236.619995117188,307,236.619995117188,2020-06-15
236.669998168945,237.119995117188,236.539993286133,236.919998168945,324,236.919998168945,2020-06-16
236.479995727539,237.300003051758,236.440002441406,236.940002441406,1060,236.940002441406,2020-06-17
236.949996948242,237.940002441406,236.949996948242,237.899993896484,1048,237.899993896484,2020-06-18
238,238.320007324219,237.809997558594,238.25,179,238.25,2020-06-19
238.339996337891,239.389999389648,238.339996337891,239.130004882812,283,239.130004882812,2020-06-22
238.929992675781,238.970001220703,238.369995117188,238.490005493164,696,238.490005493164,2020-06-23
238.070007324219,238.220001220703,238.070007324219,239.039993286133,31,239.039993286133,2020-06-24
239.350006103516,239.419998168945,239.039993286133,239.399993896484,668,239.399993896484,2020-06-25
239.509994506836,239.669998168945,239.470001220703,239.369995117188,273,239.369995117188,2020-06-26
239.279998779297,239.410003662109,239.210006713867,239.369995117188,296,239.369995117188,2020-06-29
