"SI-F.Open","SI-F.High","SI-F.Low","SI-F.Close","SI-F.Volume","SI-F.Adjusted","Date"
29.2600002288818,29.7150001525879,29.2600002288818,29.6219997406006,307,29.6219997406006,2025-01-02
30.0799999237061,30.0799999237061,29.8059997558594,29.8059997558594,91,29.8059997558594,2025-01-03
30.3700008392334,30.4599990844727,29.9599990844727,30.3419990539551,186,30.3419990539551,2025-01-06
30.44700050354,30.44700050354,30.44700050354,30.44700050354,6,30.44700050354,2025-01-07
30.5249996185303,30.6499996185303,30.2800006866455,30.4519996643066,46,30.4519996643066,2025-01-08
30.9650001525879,30.9650001525879,30.7350006103516,30.7910003662109,192,30.7910003662109,2025-01-09
31.5349998474121,31.5349998474121,31.0900001525879,31.0909996032715,60,31.0909996032715,2025-01-10
30.2749996185303,30.2749996185303,30.0909996032715,30.0909996032715,2,30.0909996032715,2025-01-13
30.1949996948242,30.1949996948242,30.1319999694824,30.1319999694824,66,30.1319999694824,2025-01-14
30.8799991607666,31.3500003814697,30.875,31.3190002441406,21,31.3190002441406,2025-01-15
31.3850002288818,31.6749992370605,31.3299999237061,31.5230007171631,109,31.5230007171631,2025-01-16
31.2000007629395,31.2099990844727,30.951000213623,30.951000213623,5,30.951000213623,2025-01-17
30.7999992370605,31.3110008239746,30.7749996185303,31.3110008239746,215,31.3110008239746,2025-01-21
30.9950008392334,31.2390003204346,30.9950008392334,31.2390003204346,7,31.2390003204346,2025-01-22
30.3999996185303,30.6730003356934,30.3999996185303,30.6730003356934,2,30.6730003356934,2025-01-23
31.0750007629395,31.0750007629395,30.9899997711182,31.0230007171631,112,31.0230007171631,2025-01-24
30.253999710083,30.253999710083,30.253999710083,30.253999710083,111,30.253999710083,2025-01-27
30.3649997711182,30.7269992828369,30.3649997711182,30.7269992828369,132,30.7269992828369,2025-01-28
31.238000869751,31.238000869751,31.238000869751,31.238000869751,263,31.238000869751,2025-01-29
31.4799995422363,32.5999984741211,31.4699993133545,32.3639984130859,557,32.3639984130859,2025-01-30
32.6749992370605,32.7599983215332,32.1100006103516,32.1279983520508,162,32.1279983520508,2025-01-31
32.1450004577637,32.4599990844727,31.6299991607666,32.3919982910156,444,32.3919982910156,2025-02-03
32.2099990844727,32.8880004882812,32.1150016784668,32.8880004882812,744,32.8880004882812,2025-02-04
32.8050003051758,32.8569984436035,32.6349983215332,32.8569984436035,42,32.8569984436035,2025-02-05
32.5,32.5180015563965,32.3849983215332,32.5180015563965,651,32.5180015563965,2025-02-06
32.7400016784668,32.7400016784668,32.1100006103516,32.3349990844727,172,32.3349990844727,2025-02-07
32.310001373291,32.3919982910156,32.310001373291,32.3919982910156,456,32.3919982910156,2025-02-10
32.1100006103516,32.2599983215332,31.6350002288818,32.2309989929199,23,32.2309989929199,2025-02-11
31.9650001525879,32.7550010681152,31.9650001525879,32.6949996948242,80,32.6949996948242,2025-02-12
32.8349990844727,32.8800010681152,32.5349998474121,32.6500015258789,119,32.6500015258789,2025-02-13
33.7449989318848,34.0800018310547,32.75,32.8009986877441,153,32.8009986877441,2025-02-14
32.7599983215332,33.3600006103516,32.7599983215332,33.3170013427734,201,33.3170013427734,2025-02-18
33.560001373291,33.560001373291,32.9930000305176,32.9930000305176,21,32.9930000305176,2025-02-19
33.4440002441406,33.4440002441406,33.4440002441406,33.4440002441406,0,33.4440002441406,2025-02-20
33.3250007629395,33.3250007629395,32.976001739502,32.976001739502,96,32.976001739502,2025-02-21
