"UPC.Open","UPC.High","UPC.Low","UPC.Close","UPC.Volume","UPC.Adjusted","Date"
3459.60009765625,3672,3459.60009765625,3592.80004882812,4,3592.80004882812,2022-06-02
3628.80004882812,3636,3456,3495.60009765625,4,3495.60009765625,2022-06-03
3456,3600,3420,3589.19995117188,9,3589.19995117188,2022-06-06
3528,3600,3427.19995117188,3528,2,3528,2022-06-07
3600,3636,3456,3564,9,3564,2022-06-08
3528,3636,3528,3600,5,3600,2022-06-09
3538.80004882812,3708,3528,3600,11,3600,2022-06-10
3600,3600,3391.19995117188,3510,10,3510,2022-06-13
3600,3924,3279.60009765625,3589.19995117188,24,3589.19995117188,2022-06-14
3744,3744,3312,3571.19995117188,5,3571.19995117188,2022-06-15
3564,3564,3240,3470.39990234375,8,3470.39990234375,2022-06-16
3243.60009765625,3438,3240,3330,2,3330,2022-06-17
3330,3596.39990234375,3330,3582,3,3582,2022-06-21
3340.80004882812,3567.60009765625,3340.80004882812,3567.60009765625,0,3567.60009765625,2022-06-22
3315.60009765625,3574.80004882812,3315.60009765625,3528,3,3528,2022-06-23
3420,3420,2124,2372.39990234375,319,2372.39990234375,2022-06-24
2232,2412,1980,2311.19995117188,52,2311.19995117188,2022-06-27
2232,2437.19995117188,2232,2343.60009765625,26,2343.60009765625,2022-06-28
2304,2412,2232,2376,10,2376,2022-06-29
2376,2376,2210.39990234375,2260.80004882812,12,2260.80004882812,2022-06-30
2376,2376,2206.80004882812,2365.19995117188,3,2365.19995117188,2022-07-01
2340,2340,2170.80004882812,2203.19995117188,9,2203.19995117188,2022-07-05
2242.80004882812,2268,2196,2232,3,2232,2022-07-06
2196,2196,2052,2196,22,2196,2022-07-07
2232,2268,2062.80004882812,2232,6,2232,2022-07-08
2152.80004882812,2232,2062.80004882812,2214,4,2214,2022-07-11
2196,2196,2070,2196,7,2196,2022-07-12
2062.80004882812,2224.80004882812,2019.59997558594,2224.80004882812,7,2224.80004882812,2022-07-13
2062.80004882812,2185.19995117188,2062.80004882812,2124,5,2124,2022-07-14
2066.39990234375,2185.19995117188,2062.80004882812,2185.19995117188,2,2185.19995117188,2022-07-15
2088,2192.39990234375,2088,2124,2,2124,2022-07-18
2142,2160,2066.39990234375,2088,7,2088,2022-07-19
2052,2196,2052,2149.19995117188,6,2149.19995117188,2022-07-20
2124,2232,2124,2142,3,2142,2022-07-21
2160,2160,2142,2149.19995117188,2,2149.19995117188,2022-07-22
2149.19995117188,2268,2149.19995117188,2250,12,2250,2022-07-25
2235.60009765625,2235.60009765625,2167.19995117188,2199.60009765625,5,2199.60009765625,2022-07-26
2199.60009765625,2268,2142,2268,16,2268,2022-07-27
2264.39990234375,2300.39990234375,2199.60009765625,2293.19995117188,11,2293.19995117188,2022-07-28
2293.19995117188,2293.19995117188,2178,2282.39990234375,1,2282.39990234375,2022-07-29
2386.80004882812,2386.80004882812,2160,2221.19995117188,8,2221.19995117188,2022-08-01
2221.19995117188,2412,2196,2304,20,2304,2022-08-02
2336.39990234375,2368.80004882812,2304,2358,20,2358,2022-08-03
2322,2520,2304,2368.80004882812,34,2368.80004882812,2022-08-04
2556,2556,2368.80004882812,2376,7,2376,2022-08-05
2437.19995117188,2437.19995117188,2307.60009765625,2340,9,2340,2022-08-08
2304,2426.39990234375,2235.60009765625,2376,10,2376,2022-08-09
2376,2376,2232,2358,3,2358,2022-08-10
2376,2376,2268,2365.19995117188,3,2365.19995117188,2022-08-11
2286,2329.19995117188,2232,2304,21,2304,2022-08-12
2340,2376,2260.80004882812,2300.39990234375,29,2300.39990234375,2022-08-15
2214,2268,2113.19995117188,2268,16,2268,2022-08-16
2160,2268,2160,2232,4,2232,2022-08-17
2232,2232,2088,2178,14,2178,2022-08-18
2268,2268,2088,2196,14,2196,2022-08-19
2160,2160,2088,2160,3,2160,2022-08-22
2088,2088,1944,2037.59997558594,25,2037.59997558594,2022-08-23
2052,2113.19995117188,2048.39990234375,2052,7,2052,2022-08-24
2016,2016,1980,1998,9,1998,2022-08-25
2016,2044.80004882812,2016,2034,4,2034,2022-08-26
1980,2016,1944,1972.80004882812,8,1972.80004882812,2022-08-29
1980,1980,1800,1800,10,1800,2022-08-30
1800,1854,1800,1836,4,1836,2022-08-31
1933.19995117188,1933.19995117188,1836,1893.59997558594,2,1893.59997558594,2022-09-01
1893.59997558594,1980,1872,1980,6,1980,2022-09-02
1944,2124,1908,1944,22,1944,2022-09-06
1944,2088,1908,2088,4,2088,2022-09-07
2088,2196,2016,2088,10,2088,2022-09-08
2026.80004882812,2314.80004882812,1980,1980,89,1980,2022-09-09
2034,2034,1980,2016,7,2016,2022-09-12
1958.40002441406,2041.19995117188,1908,1980,2,1980,2022-09-13
1922.40002441406,2232,1922.40002441406,2124,16,2124,2022-09-14
2113.19995117188,2372.39990234375,2113.19995117188,2268,13,2268,2022-09-15
2358,2358,2232,2304,7,2304,2022-09-16
2170.80004882812,2268,2160,2268,3,2268,2022-09-19
2340,2412,2160,2268,9,2268,2022-09-20
2232,2340,2156.39990234375,2170.80004882812,13,2170.80004882812,2022-09-21
2160,2196,2124,2196,16,2196,2022-09-22
2196,2304,2088,2088,5,2088,2022-09-23
2196,2196,2048.39990234375,2048.39990234375,1,2048.39990234375,2022-09-26
2160,2160,1980,2070,4,2070,2022-09-27
2088,2088,1990.80004882812,2005.19995117188,5,2005.19995117188,2022-09-28
1944,2095.19995117188,1911.59997558594,2088,3,2088,2022-09-29
1980,2088,1980,2034,3,2034,2022-09-30
2088,2088,1980,2016,3,2016,2022-10-03
2016,2304,1980,2142,12,2142,2022-10-04
2196,2196,2052,2106,5,2106,2022-10-05
2268,2340,2178,2304,15,2304,2022-10-06
2304,2509.19995117188,2304,2509.19995117188,21,2509.19995117188,2022-10-07
2556,3362.39990234375,2556,3060,104,3060,2022-10-10
3139.19995117188,3312,3027.60009765625,3276,26,3276,2022-10-11
3348,3384,3060,3060,19,3060,2022-10-12
3060,3186,2988,2988,8,2988,2022-10-13
3110.39990234375,3211.19995117188,2988,3168,9,3168,2022-10-14
3096,3200.39990234375,3063.60009765625,3117.60009765625,1,3117.60009765625,2022-10-17
3070.80004882812,3384,3060,3294,28,3294,2022-10-18
3348,3780,3290.39990234375,3780,34,3780,2022-10-19
3780,3924,3603.60009765625,3780,12,3780,2022-10-20
3672,3816,3600,3639.60009765625,18,3639.60009765625,2022-10-21
3672,3672,3495.60009765625,3546,6,3546,2022-10-24
3672,3780,3420,3492,83,3492,2022-10-25
3564,3744,3312,3582,2,3582,2022-10-26
3740.39990234375,3780,3164.39990234375,3636,24,3636,2022-10-27
3636,3880.80004882812,3528,3780,10,3780,2022-10-28
3672,3960,3672,3906,25,3906,2022-10-31
3960,4032,3780,4024.80004882812,12,4024.80004882812,2022-11-01
4032,4158,3852,4104,13,4104,2022-11-02
4104,4176,3981.60009765625,3981.60009765625,6,3981.60009765625,2022-11-03
4068,4140,3924,4104,6,4104,2022-11-04
4140,4356,4140,4284,10,4284,2022-11-07
4392,4572,4248,4356,10,4356,2022-11-08
4320,4356,3960,3985.19995117188,7,3985.19995117188,2022-11-09
4068,4356,4068,4248,17,4248,2022-11-10
4356,4575.60009765625,4356,4572,13,4572,2022-11-11
4500,4680,4212,4680,53,4680,2022-11-14
4644,4644,4435.2001953125,4464,3,4464,2022-11-15
4356,4860,4140,4806,33,4806,2022-11-16
4716,4968,4410,4860,34,4860,2022-11-17
5040,5256,4428,5220,47,5220,2022-11-18
5256,5256,4896,5184,20,5184,2022-11-21
5184,5580,4284,5364,127,5364,2022-11-22
5580,5580,5184,5400,81,5400,2022-11-23
5472,5508,5148,5472,74,5472,2022-11-25
5544,5796,5328,5742,57,5742,2022-11-28
5760,6552,5760,6336,125,6336,2022-11-29
6156,6552,6120,6516,62,6516,2022-11-30
6516,6768,6336,6462,84,6462,2022-12-01
6156,6372,5760,6264,200,6264,2022-12-02
6372,6372,5781.60009765625,5904,9,5904,2022-12-05
6012,6300,5580,5886,15,5886,2022-12-06
5868,6012,5292,5940,36,5940,2022-12-07
5940,5976,5724,5724,6,5724,2022-12-08
5760,5832,5580,5760,15,5760,2022-12-09
5544,6192,5544,6084,9,6084,2022-12-12
6156,6228,6048,6228,8,6228,2022-12-13
6228,6228,6012,6084,4,6084,2022-12-14
6098.39990234375,6120,4356,5796,33,5796,2022-12-15
5652,6228,5558.39990234375,6156,7,6156,2022-12-16
6156,6156,5166,5724,15,5724,2022-12-19
5616,5904,5220,5724,34,5724,2022-12-20
5292,5904,5292,5796,5,5796,2022-12-21
5724,6019.2001953125,5724,5832,3,5832,2022-12-22
5976,5976,5796,5796,2,5796,2022-12-23
5796,5976,5580,5796,10,5796,2022-12-27
5796,6048,5796,5868,28,5868,2022-12-28
5893.2001953125,5976,5832,5904,5,5904,2022-12-29
5688,5968.7998046875,5220,5220,8,5220,2022-12-30
5256,5796,5076,5716.7998046875,4,5716.7998046875,2023-01-03
5508,6084,5148,5940,115,5940,2023-01-04
6012,6044.39990234375,5688,5864.39990234375,11,5864.39990234375,2023-01-05
5940,6192,5824.7998046875,6069.60009765625,9,6069.60009765625,2023-01-06
6300,7488,5202,5400,826,5400,2023-01-09
5364,5976,5148,5148,13,5148,2023-01-10
5544,6084,4323.60009765625,4356,860,4356,2023-01-11
4464,4608,3254.39990234375,3254.39990234375,453,3254.39990234375,2023-01-12
3366,3492,3254.39990234375,3348,23,3348,2023-01-13
3546,4176,3348,4176,33,4176,2023-01-17
3996,6084,2448,3312,1197,3312,2023-01-18
3312,3384,2736,2880,83,2880,2023-01-19
2952,3132,2952,3060,19,3060,2023-01-20
2970,3168,2952,3060,21,3060,2023-01-23
3060,3096,2703.60009765625,2937.60009765625,21,2937.60009765625,2023-01-24
2804.39990234375,2984.39990234375,2804.39990234375,2872.80004882812,4,2872.80004882812,2023-01-25
3016.80004882812,3081.60009765625,2880,2988,25,2988,2023-01-26
2988,3096,2988,3024,8,3024,2023-01-27
3024,3045.60009765625,2973.60009765625,3045.60009765625,61,3045.60009765625,2023-01-30
3060,3175.19995117188,2887.19995117188,3060,8,3060,2023-01-31
3060,3060,2934,3049.19995117188,8,3049.19995117188,2023-02-01
2995.19995117188,3096,2995.19995117188,3092.39990234375,8,3092.39990234375,2023-02-02
3060,3096,2998.80004882812,3060,5,3060,2023-02-03
3060,3088.80004882812,2941.19995117188,2948.39990234375,4,2948.39990234375,2023-02-06
3024,3024,2923.19995117188,2984.39990234375,20,2984.39990234375,2023-02-07
2948.39990234375,2948.39990234375,2808,2880,27,2880,2023-02-08
2736,2844,2527.19995117188,2592,17,2592,2023-02-09
2484,2592,2484,2592,8,2592,2023-02-10
2484,2556,2448,2448,14,2448,2023-02-13
2484,2484,2232,2372.39990234375,17,2372.39990234375,2023-02-14
2484,2484,2271.60009765625,2422.80004882812,10,2422.80004882812,2023-02-15
2340,2484,2340,2408.39990234375,5,2408.39990234375,2023-02-16
2556,2556,2340,2372.39990234375,3,2372.39990234375,2023-02-17
2340,2386.80004882812,2340,2383.19995117188,4,2383.19995117188,2023-02-21
2340,2401.19995117188,2340,2401.19995117188,2,2401.19995117188,2023-02-22
2196,2412,2196,2322,2,2322,2023-02-23
2203.19995117188,2314.80004882812,2203.19995117188,2268,0,2268,2023-02-24
2314.80004882812,2314.80004882812,2044.80004882812,2196,15,2196,2023-02-27
2196,2196,2052,2160,8,2160,2023-02-28
2160,2196,2016,2088,8,2088,2023-03-01
2088,2088,1980,2088,6,2088,2023-03-02
2088,2268,2088,2196,2,2196,2023-03-03
2160,2340,2088,2160,13,2160,2023-03-06
2160,2160,2131.19995117188,2131.19995117188,2,2131.19995117188,2023-03-07
2304,2304,2131.19995117188,2296.80004882812,3,2296.80004882812,2023-03-08
2296.80004882812,2376,2296.80004882812,2300.39990234375,2,2300.39990234375,2023-03-09
