"TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted","Date"
326,326.940002441406,322.570007324219,326.369995117188,1173300,321.580047607422,2020-01-02
321.480010986328,325.290008544922,321.329986572266,322.820007324219,819600,318.082153320312,2020-01-03
319.839996337891,325.329986572266,318.649993896484,325.140014648438,1010000,320.368133544922,2020-01-06
325.429992675781,329.239990234375,324.980010986328,326.980010986328,917700,322.181243896484,2020-01-07
326.179992675781,330.589996337891,325.220001220703,327.5,939100,322.693511962891,2020-01-08
329.380004882812,330.859985351562,327.269989013672,329.609985351562,901900,324.772552490234,2020-01-09
331.380004882812,331.980010986328,327.700012207031,328.730010986328,801400,323.905456542969,2020-01-10
328.890014648438,332.089996337891,326.709991455078,332.019989013672,1379100,327.147155761719,2020-01-13
330.470001220703,335.089996337891,328.040008544922,332.799987792969,1069800,327.915740966797,2020-01-14
333,336.890014648438,333,335.200012207031,1350600,330.280487060547,2020-01-15
337.200012207031,338.209991455078,334.850006103516,336.739990234375,842000,331.797912597656,2020-01-16
337.369995117188,339.339996337891,335.269989013672,339.190002441406,1100300,334.211944580078,2020-01-17
339.600006103516,341.709991455078,336.779998779297,337.260009765625,1340700,332.310272216797,2020-01-21
337.779998779297,342.260009765625,337.529998779297,340.049987792969,922500,335.059326171875,2020-01-22
339.519989013672,339.890014648438,332.869995117188,335.380004882812,1213800,330.457855224609,2020-01-23
337.119995117188,337.709991455078,331.519989013672,333.679992675781,945800,328.782745361328,2020-01-24
327.359985351562,332.619995117188,326.709991455078,330.959991455078,1236100,326.102691650391,2020-01-27
332.230010986328,334.440002441406,329.220001220703,333.260009765625,1667000,328.368927001953,2020-01-28
335.630004882812,337.640014648438,333.390014648438,333.890014648438,1434400,328.989776611328,2020-01-29
322,325,317,319.859985351562,3670000,315.165496826172,2020-01-30
322.230010986328,322.980010986328,310.920013427734,313.190002441406,2623700,308.593505859375,2020-01-31
316.809997558594,321.559997558594,315.109985351562,318.339996337891,2693900,313.667938232422,2020-02-03
321.839996337891,328.640014648438,321.010009765625,325.959991455078,2019700,321.176055908203,2020-02-04
330.260009765625,333.649993896484,329.140014648438,332.489990234375,1786600,327.610321044922,2020-02-05
333.25,334.450012207031,331.459991455078,332,1636200,327.12744140625,2020-02-06
330,330.440002441406,324.829986572266,326.209991455078,1577300,321.422424316406,2020-02-07
324.570007324219,334.739990234375,324.570007324219,333.940002441406,1781600,329.039031982422,2020-02-10
336.559997558594,338.170013427734,335.010009765625,337.779998779297,1808400,332.822662353516,2020-02-11
338.970001220703,340.950012207031,333.859985351562,334.570007324219,1948400,329.659820556641,2020-02-12
333.5,337.410003662109,331.5,335.589996337891,1560100,330.664733886719,2020-02-13
336.559997558594,339.399993896484,335.049987792969,339.190002441406,1467700,334.211944580078,2020-02-14
338.130004882812,338.350006103516,334.510009765625,337.369995117188,1462400,332.418609619141,2020-02-18
338.089996337891,340.290008544922,335.309997558594,339.739990234375,1189400,334.753814697266,2020-02-19
340,341.350006103516,333.200012207031,336.059997558594,1505700,331.127899169922,2020-02-20
333.910003662109,335.600006103516,333.100006103516,334.940002441406,1540100,330.0244140625,2020-02-21
324.260009765625,326.170013427734,320.519989013672,323.149993896484,2638300,318.407318115234,2020-02-24
324.779998779297,326.989990234375,307.369995117188,309.630004882812,2378300,305.085693359375,2020-02-25
308.739990234375,318.640014648438,308.309997558594,309.160003662109,1944800,304.622711181641,2020-02-26
304,311.709991455078,297.010009765625,297.079986572266,2231900,292.720001220703,2020-02-27
288.609985351562,295.799987792969,284.829986572266,290.799987792969,3961600,286.532073974609,2020-02-28
291.029998779297,304.959991455078,288.859985351562,304.959991455078,2741000,300.484344482422,2020-03-02
