"NG-F.Open","NG-F.High","NG-F.Low","NG-F.Close","NG-F.Volume","NG-F.Adjusted","Date"
3.65599989891052,3.80100011825562,3.54099988937378,3.66000008583069,156670,3.66000008583069,2025-01-02
3.66899991035461,3.6800000667572,3.32999992370605,3.35400009155273,188094,3.35400009155273,2025-01-03
3.55399990081787,3.7260000705719,3.50200009346008,3.67199993133545,228124,3.67199993133545,2025-01-06
3.70499992370605,3.73799991607666,3.42700004577637,3.44899988174438,182148,3.44899988174438,2025-01-07
3.44799995422363,3.69400000572205,3.42700004577637,3.65100002288818,189259,3.65100002288818,2025-01-08
3.68199992179871,3.82999992370605,3.55200004577637,3.70099997520447,145203,3.70099997520447,2025-01-09
3.70900011062622,4.01800012588501,3.68499994277954,3.98900008201599,229112,3.98900008201599,2025-01-10
4.34700012207031,4.36899995803833,3.84500002861023,3.93400001525879,195514,3.93400001525879,2025-01-13
3.9300000667572,4.05900001525879,3.73600006103516,3.96799993515015,167416,3.96799993515015,2025-01-14
3.95499992370605,4.14099979400635,3.85899996757507,4.08300018310547,169338,4.08300018310547,2025-01-15
4.13000011444092,4.32800006866455,4.01800012588501,4.25799989700317,193018,4.25799989700317,2025-01-16
4.28000020980835,4.30800008773804,3.91000008583069,3.94799995422363,204277,3.94799995422363,2025-01-17
3.81500005722046,3.91400003433228,3.71900010108948,3.75600004196167,209907,3.75600004196167,2025-01-21
3.78600001335144,4.00899982452393,3.71099996566772,3.96000003814697,128783,3.96000003814697,2025-01-22
4.00099992752075,4.0479998588562,3.86100006103516,3.9449999332428,120839,3.9449999332428,2025-01-23
3.93300008773804,4.05000019073486,3.80800008773804,4.02699995040894,87568,4.02699995040894,2025-01-24
3.78500008583069,3.82699990272522,3.60899996757507,3.69700002670288,66940,3.69700002670288,2025-01-27
3.69899988174438,3.72000002861023,3.36100006103516,3.47099995613098,63816,3.47099995613098,2025-01-28
3.33500003814697,3.58800005912781,3.31299996376038,3.53500008583069,167840,3.53500008583069,2025-01-29
3.17499995231628,3.24000000953674,3.03500008583069,3.04699993133545,201741,3.04699993133545,2025-01-30
3.08100008964539,3.11800003051758,2.99000000953674,3.04399991035461,138212,3.04399991035461,2025-01-31
3.23000001907349,3.40700006484985,3.23000001907349,3.35199999809265,273510,3.35199999809265,2025-02-03
3.32699990272522,3.34999990463257,3.16799998283386,3.25300002098083,182531,3.25300002098083,2025-02-04
3.22900009155273,3.375,3.16100001335144,3.35999989509583,170256,3.35999989509583,2025-02-05
3.35500001907349,3.43400001525879,3.30299997329712,3.40799999237061,177672,3.40799999237061,2025-02-06
3.38000011444092,3.43499994277954,3.2960000038147,3.30900001525879,188698,3.30900001525879,2025-02-07
3.40599989891052,3.48699998855591,3.35199999809265,3.44400000572205,203924,3.44400000572205,2025-02-10
3.44199991226196,3.57599997520447,3.43099999427795,3.51900005340576,219162,3.51900005340576,2025-02-11
3.50999999046326,3.58299994468689,3.46900010108948,3.56500005722046,194725,3.56500005722046,2025-02-12
3.59100008010864,3.78600001335144,3.58299994468689,3.62800002098083,305899,3.62800002098083,2025-02-13
3.65000009536743,3.80100011825562,3.63499999046326,3.72499990463257,201102,3.72499990463257,2025-02-14
3.61400008201599,4.01700019836426,3.55399990081787,4.00699996948242,300505,4.00699996948242,2025-02-18
4.01300001144409,4.39400005340576,3.94700002670288,4.28000020980835,338827,4.28000020980835,2025-02-19
4.38100004196167,4.47599983215332,4.03399991989136,4.15199995040894,211817,4.15199995040894,2025-02-20
4.17399978637695,4.44399976730347,4.14799976348877,4.23400020599365,164320,4.23400020599365,2025-02-21
4.06500005722046,4.09000015258789,3.90599989891052,3.99399995803833,82872,3.99399995803833,2025-02-24
3.98699998855591,4.18599987030029,3.93499994277954,4.17399978637695,91529,4.17399978637695,2025-02-25
4.13000011444092,4.21199989318848,3.85999989509583,3.90599989891052,172826,3.90599989891052,2025-02-26
3.96600008010864,4.06500005722046,3.87800002098083,3.93400001525879,171402,3.93400001525879,2025-02-27
