"NVO.Open","NVO.High","NVO.Low","NVO.Close","NVO.Volume","NVO.Adjusted","Date"
29.1550006866455,29.2000007629395,29.0049991607666,29.1800003051758,2224800,26.5098361968994,2020-01-02
28.4549999237061,28.7000007629395,28.4300003051758,28.5550003051758,2491200,25.9420280456543,2020-01-03
28.4950008392334,28.5900001525879,28.4349994659424,28.5049991607666,2495000,25.8966026306152,2020-01-06
28.5,28.5,28.2800006866455,28.4750003814697,2080600,25.8693504333496,2020-01-07
28.4549999237061,28.5949993133545,28.3349990844727,28.4249992370605,1826200,25.8239231109619,2020-01-08
28.6749992370605,28.8649997711182,28.6599998474121,28.7199993133545,1842000,26.0919284820557,2020-01-09
29.2450008392334,29.5349998474121,29.1849994659424,29.3400001525879,2943000,26.6551971435547,2020-01-10
29.5949993133545,29.6350002288818,29.3799991607666,29.4850006103516,2380400,26.7869243621826,2020-01-13
29.3899993896484,29.8500003814697,29.3850002288818,29.7900009155273,2506200,27.0640182495117,2020-01-14
30.7399997711182,31.3449993133545,30.7299995422363,31.1949996948242,5969000,28.3404541015625,2020-01-15
30.7999992370605,30.9349994659424,30.3850002288818,30.6550006866455,4531400,27.8498668670654,2020-01-16
30.7299995422363,30.7700004577637,30.6100006103516,30.6550006866455,2506800,27.8498668670654,2020-01-17
30.6800003051758,30.7399997711182,30.5400009155273,30.5699996948242,2298000,27.7726440429688,2020-01-21
30.5400009155273,30.8250007629395,30.5400009155273,30.6599998474121,2430000,27.8544063568115,2020-01-22
30.6599998474121,30.8299999237061,30.5300006866455,30.7950000762939,1750800,27.97705078125,2020-01-23
31.0300006866455,31.1650009155273,30.4449996948242,30.5400009155273,4056800,27.7453899383545,2020-01-24
30.0650005340576,30.1350002288818,29.9549999237061,29.9799995422363,2117000,27.236629486084,2020-01-27
30.0149993896484,30.1700000762939,29.8950004577637,30.1650009155273,2245200,27.4047031402588,2020-01-28
30.4400005340576,30.5300006866455,30.3250007629395,30.3349990844727,2604200,27.5591449737549,2020-01-29
30.4899997711182,30.4899997711182,30.2900009155273,30.4349994659424,2392200,27.649995803833,2020-01-30
30.6849994659424,30.6849994659424,30.3150005340576,30.4150009155273,2806600,27.6318244934082,2020-01-31
30.3999996185303,30.625,30.3549995422363,30.4799995422363,2281400,27.6908779144287,2020-02-03
30.5049991607666,30.9750003814697,30.4599990844727,30.7950000762939,3532400,27.97705078125,2020-02-04
31.8549995422363,32.3050003051758,31.6849994659424,32.2050018310547,6502400,29.2580337524414,2020-02-05
