"UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted","Date"
180.949996948242,182.380004882812,179.970001220703,182.270004272461,2444800,160.492797851562,2020-01-02
179.539993286133,181.190002441406,178.289993286133,180.979995727539,2344200,159.356964111328,2020-01-03
179.699996948242,180.080001831055,177.940002441406,179.429992675781,3142500,157.992111206055,2020-01-06
179.229995727539,179.580001831055,177.610000610352,178.070007324219,4096400,156.794647216797,2020-01-07
177.889999389648,181.050003051758,177.479995727539,180.020004272461,2817500,158.511657714844,2020-01-08
180.509994506836,180.830001831055,178.570007324219,179.100006103516,3311100,157.701583862305,2020-01-09
179.100006103516,179.929992675781,177.820007324219,177.940002441406,2944300,156.680191040039,2020-01-10
177.990005493164,179.990005493164,177.639999389648,179.899993896484,2035200,158.405975341797,2020-01-13
180.5,182.729995727539,180.149993896484,180.800003051758,2805900,159.198440551758,2020-01-14
181.630004882812,182.419998168945,180.630004882812,180.800003051758,3450700,159.198440551758,2020-01-15
181.559997558594,184.169998168945,180.910003662109,183.899993896484,3227400,161.92805480957,2020-01-16
183.679992675781,185.649993896484,183,185.320007324219,4008600,163.178482055664,2020-01-17
184.160003662109,184.529998779297,181.119995117188,182.460006713867,3440900,160.660110473633,2020-01-21
183.270004272461,183.410003662109,180.440002441406,180.929992675781,2993900,159.312896728516,2020-01-22
183.5,187.679992675781,180.929992675781,187.190002441406,4950500,164.824996948242,2020-01-23
186.139999389648,188.960006713867,184.529998779297,185.679992675781,2734000,163.495407104492,2020-01-24
182.029998779297,183.960006713867,178.300003051758,178.470001220703,4183900,157.146865844727,2020-01-27
180.270004272461,181.679992675781,179.449996948242,179.639999389648,3264500,158.177047729492,2020-01-28
181.600006103516,184.270004272461,180.440002441406,181.779998779297,2270800,160.061370849609,2020-01-29
179.669998168945,183.5,179.009994506836,183.070007324219,2994400,161.197250366211,2020-01-30
181.690002441406,182.470001220703,178.5,179.419998168945,3653700,157.983337402344,2020-01-31
180.869995117188,182.050003051758,179.399993896484,180.289993286133,2493100,158.749404907227,2020-02-03
182.699996948242,185.020004272461,182.699996948242,183.240005493164,1857900,161.346923828125,2020-02-04
185.850006103516,185.850006103516,184.369995117188,185.089996337891,2133500,162.97590637207,2020-02-05
186.809997558594,187.669998168945,184.839996337891,186.110000610352,2932400,163.874038696289,2020-02-06
184.759994506836,185.649993896484,183.229995727539,183.830001831055,2221400,161.866439819336,2020-02-07
181.990005493164,184.820007324219,181.580001831055,184.669998168945,1782800,162.606063842773,2020-02-10
185.669998168945,185.679992675781,183.100006103516,183.300003051758,1521700,161.399780273438,2020-02-11
184.820007324219,185.960006713867,183.690002441406,184.860000610352,2612200,162.773345947266,2020-02-12
183.960006713867,185.550003051758,183.309997558594,184.639999389648,1861500,162.579666137695,2020-02-13
184.559997558594,185.529998779297,182.649993896484,184,2134800,162.016143798828,2020-02-14
183.460006713867,184.490005493164,181.660003662109,182.100006103516,3164400,160.343154907227,2020-02-18
182.979995727539,185.5,182.679992675781,183.5,2807200,161.57585144043,2020-02-19
183.330001831055,184.520004272461,181.660003662109,183.399993896484,2190900,161.487838745117,2020-02-20
182.119995117188,182.830001831055,180.779998779297,181.720001220703,2890700,160.008529663086,2020-02-21
176.190002441406,177.809997558594,174.399993896484,176.800003051758,6785100,155.676376342773,2020-02-24
177.449996948242,178.119995117188,170.009994506836,170.889999389648,7631700,150.472473144531,2020-02-25
169.630004882812,172.820007324219,165.539993286133,165.75,4921400,145.94660949707,2020-02-26
160.460006713867,165.139999389648,156.320007324219,159.619995117188,7914700,141.376373291016,2020-02-27
155.009994506836,159.979995727539,152.789993286133,159.809997558594,7045800,141.544647216797,2020-02-28
160.589996337891,161.970001220703,155.320007324219,160.339996337891,7064800,142.014053344727,2020-03-02
160.699996948242,167.619995117188,156.350006103516,157.339996337891,5654000,139.356948852539,2020-03-03
159.850006103516,162.979995727539,158.220001220703,162.169998168945,4415000,143.634918212891,2020-03-04
157.639999389648,159.800003051758,153.720001220703,154.960006713867,4901900,137.248977661133,2020-03-05
149.520004272461,156.929992675781,148.880004882812,156.089996337891,4643300,138.249816894531,2020-03-06
145.199996948242,145.580001831055,133.179992675781,135.839996337891,9400200,120.314270019531,2020-03-09
141.830001831055,147,139.169998168945,146.820007324219,8090300,130.039337158203,2020-03-10
142.020004272461,143.429992675781,138.910003662109,141.559997558594,7074800,125.380516052246,2020-03-11
130.149993896484,142.179992675781,125,132.050003051758,8805200,116.957458496094,2020-03-12
139.550003051758,143.850006103516,134.809997558594,143.850006103516,7886400,127.40877532959,2020-03-13
128.050003051758,135.869995117188,122.300003051758,125.099998474121,7102700,110.801773071289,2020-03-16
127.330001831055,132.710006713867,120.379997253418,128.630004882812,8021700,113.928344726562,2020-03-17
120.769996643066,123.309997558594,105.080001831055,115.080001831055,10869900,101.927032470703,2020-03-18
114.279998779297,123.680000305176,111.680000305176,121.650001525879,8514300,107.746116638184,2020-03-19
124.099998474121,125.75,113.459999084473,117.839996337891,6668100,104.371566772461,2020-03-20
110.389999389648,119.339996337891,109.610000610352,114.040000915527,6011000,101.005905151367,2020-03-23
121.360000610352,130.110000610352,118.800003051758,128.869995117188,7018900,114.140899658203,2020-03-24
127.379997253418,141.089996337891,127,132.910003662109,6923200,117.719169616699,2020-03-25
137.029998779297,143.389999389648,134.020004272461,142.490005493164,6068600,126.204223632812,2020-03-26
135.619995117188,143.619995117188,134.160003662109,139.050003051758,4962400,123.157386779785,2020-03-27
137.539993286133,143.309997558594,136.320007324219,140.199996948242,3309200,124.17594909668,2020-03-30
137.720001220703,144.710006713867,137.529998779297,141.039993286133,4247100,124.919921875,2020-03-31
134.029998779297,137.970001220703,132.5,136.490005493164,5125600,120.889961242676,2020-04-01
135.270004272461,142.369995117188,134.800003051758,141.800003051758,6009000,125.593063354492,2020-04-02
140.869995117188,142.550003051758,136.589996337891,138.570007324219,4088000,122.732231140137,2020-04-03
145.779998779297,149.289993286133,145.710006713867,147.850006103516,4865900,130.951583862305,2020-04-06
152.330001831055,153.509994506836,145.259994506836,145.759994506836,4729000,129.100494384766,2020-04-07
147.520004272461,150.789993286133,145.410003662109,149.619995117188,3625600,132.519287109375,2020-04-08
151.259994506836,153.190002441406,147.050003051758,148.729995727539,4535900,131.731033325195,2020-04-09
147.839996337891,149.080001831055,144.699996948242,146.899993896484,2525000,130.110168457031,2020-04-13
149.089996337891,151.330001831055,147.809997558594,148.970001220703,2235900,131.943603515625,2020-04-14
145.259994506836,147.419998168945,143.630004882812,146.660003662109,3457000,129.897598266602,2020-04-15
146.580001831055,147.020004272461,141.270004272461,143.990005493164,5015300,127.532768249512,2020-04-16
148.589996337891,150.850006103516,147.610000610352,149.889999389648,5081400,132.758438110352,2020-04-17
147.309997558594,149.179992675781,144.559997558594,146.610000610352,4289200,129.853363037109,2020-04-20
142.509994506836,145.809997558594,141.220001220703,144.410003662109,4049200,127.904747009277,2020-04-21
146.529998779297,148.360000610352,144.869995117188,147.100006103516,3970600,130.287292480469,2020-04-22
156.919998168945,158.259994506836,152,152.289993286133,6233300,134.884124755859,2020-04-23
156.479995727539,158.070007324219,153.440002441406,156.089996337891,4800200,138.249816894531,2020-04-24
159.889999389648,161.229995727539,158.020004272461,158.960006713867,4633800,140.791778564453,2020-04-27
161.520004272461,162.460006713867,159,161.360000610352,3173000,142.917495727539,2020-04-28
165.160003662109,166.229995727539,162.779998779297,163.050003051758,2778600,144.414337158203,2020-04-29
160.539993286133,161.850006103516,158.229995727539,159.789993286133,3757000,141.526885986328,2020-04-30
157.699996948242,157.699996948242,154.740005493164,156.639999389648,3089000,138.736953735352,2020-05-01
155.139999389648,155.199996948242,152.389999389648,154.820007324219,2416100,137.125,2020-05-04
156.570007324219,159.179992675781,155.880004882812,156.380004882812,2269500,138.50666809082,2020-05-05
156.580001831055,157.130004882812,153.889999389648,154.300003051758,2095200,136.664443969727,2020-05-06
156.559997558594,157.960006713867,155.539993286133,156.220001220703,2411500,138.36491394043,2020-05-07
158.690002441406,159.360000610352,157.880004882812,158.259994506836,2309300,140.171768188477,2020-05-08
156.679992675781,157.949996948242,155.800003051758,156.850006103516,2857400,138.922973632812,2020-05-11
156.320007324219,157.179992675781,153.990005493164,153.990005493164,2683500,136.38981628418,2020-05-12
152.940002441406,153.949996948242,150.539993286133,152.740005493164,3499700,135.28271484375,2020-05-13
150.809997558594,152.679992675781,147.050003051758,152.440002441406,3930400,135.016998291016,2020-05-14
150.990005493164,152.880004882812,149.759994506836,151.240005493164,5127700,133.954162597656,2020-05-15
157.460006713867,160.860000610352,155.830001831055,159.119995117188,5423000,140.933517456055,2020-05-18
159.119995117188,162.910003662109,158.75,159.259994506836,3136400,141.057479858398,2020-05-19
165,168.699996948242,164.149993896484,166.029998779297,4294300,147.053726196289,2020-05-20
165.25,165.979995727539,163.009994506836,163.589996337891,2277100,144.892593383789,2020-05-21
163.679992675781,165.429992675781,162.160003662109,165.160003662109,1773900,146.283126831055,2020-05-22
170.320007324219,171.009994506836,168.279998779297,169.899993896484,4150500,150.481369018555,2020-05-26
171.860000610352,174.080001831055,171.100006103516,173.839996337891,3174400,153.971145629883,2020-05-27
173.039993286133,173.639999389648,169.330001831055,170.509994506836,4065700,151.869064331055,2020-05-28
170.190002441406,171.440002441406,168.360000610352,169.860000610352,3677000,151.290161132812,2020-05-29
169.360000610352,170.470001220703,167.779998779297,169.5,2929800,150.969497680664,2020-06-01
170.75,173.5,169.5,170.940002441406,3e+06,152.252059936523,2020-06-02
173.639999389648,178.850006103516,173.020004272461,178.050003051758,3897900,158.584777832031,2020-06-03
176.380004882812,177.690002441406,175.259994506836,176.429992675781,2933300,157.14192199707,2020-06-04
183.110000610352,187.830001831055,182.429992675781,184.830001831055,5608600,164.623565673828,2020-06-05
183.960006713867,185.990005493164,179.860000610352,181.660003662109,3436600,161.800094604492,2020-06-08
178.059997558594,180.419998168945,177,178.160003662109,3569700,158.682754516602,2020-06-09
177.850006103516,178.759994506836,174.949996948242,175.429992675781,3321200,156.251220703125,2020-06-10
170,170.139999389648,163.210006713867,163.289993286133,6234700,145.438430786133,2020-06-11
168.210006713867,168.559997558594,162.460006713867,166.179992675781,3373000,148.012466430664,2020-06-12
161.720001220703,169.139999389648,161.410003662109,167.929992675781,2948600,149.57112121582,2020-06-15
173.289993286133,174.479995727539,168.360000610352,170.970001220703,3554000,152.27880859375,2020-06-16
172.199996948242,173.550003051758,170.669998168945,171.169998168945,3463800,152.456909179688,2020-06-17
170.029998779297,171.889999389648,169.720001220703,170.850006103516,2714800,152.171920776367,2020-06-18
173.529998779297,173.529998779297,166.800003051758,167.850006103516,7119600,149.499893188477,2020-06-19
167.059997558594,168.850006103516,165.899993896484,168.199996948242,2647600,149.811614990234,2020-06-22
