"AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted","Date"
243,243.190002441406,238.979995727539,240.100006103516,2088000,201.031112670898,2020-01-02
237.160003662109,240.259994506836,236.240005493164,238.470001220703,1879000,199.666351318359,2020-01-03
237.199996948242,240.449996948242,236.559997558594,240.300003051758,1802800,201.198577880859,2020-01-06
239.309997558594,240,237.589996337891,238.039993286133,1518900,199.306304931641,2020-01-07
237.929992675781,239.580001831055,236.610000610352,238.220001220703,2214700,199.457015991211,2020-01-08
239.690002441406,239.690002441406,237.970001220703,238.929992675781,1629000,200.051483154297,2020-01-09
238.679992675781,240.929992675781,237.610000610352,238.259994506836,1777600,199.490432739258,2020-01-10
238.259994506836,238.330001831055,234.789993286133,236.919998168945,2004400,198.368545532227,2020-01-13
235.800003051758,240.679992675781,235.169998168945,240,2239100,200.947387695312,2020-01-14
240.669998168945,242.600006103516,240.050003051758,241.699996948242,1920700,202.370758056641,2020-01-15
242.179992675781,243.850006103516,239.850006103516,240.5,2085700,201.366027832031,2020-01-16
242.110000610352,242.139999389648,239.270004272461,241.490005493164,2582800,202.194931030273,2020-01-17
240.970001220703,242.009994506836,237.259994506836,237.600006103516,3094200,198.937896728516,2020-01-21
238.75,239.699996948242,235.759994506836,236.75,1998200,198.226196289062,2020-01-22
237.059997558594,237.059997558594,233.070007324219,235.039993286133,2088700,196.794464111328,2020-01-23
235.800003051758,235.880004882812,224.5,225.589996337891,5019900,188.88215637207,2020-01-24
223.679992675781,224.929992675781,221.169998168945,222.949996948242,2843600,186.67170715332,2020-01-27
223.570007324219,226.699996948242,222.850006103516,224.839996337891,2103900,188.254165649414,2020-01-28
225.5,228.929992675781,225,227.149993896484,2001100,190.188278198242,2020-01-29
226,226.970001220703,223.309997558594,226.149993896484,2581600,189.350997924805,2020-01-30
218.759994506836,219.080001831055,210.009994506836,216.050003051758,5968900,180.894500732422,2020-01-31
216.389999389648,219.619995117188,215.559997558594,216.880004882812,2565400,181.589416503906,2020-02-03
220.770004272461,223.850006103516,220.479995727539,221.809997558594,2765300,185.717224121094,2020-02-04
223.740005493164,234.639999389648,223.740005493164,231.940002441406,3669500,194.19889831543,2020-02-05
233.720001220703,233.889999389648,229.339996337891,231.449996948242,2007500,193.788604736328,2020-02-06
231.410003662109,232.179992675781,227.669998168945,229.330001831055,2295100,192.013595581055,2020-02-07
228.149993896484,228.960006713867,226.259994506836,227.419998168945,2144700,190.414398193359,2020-02-10
227.699996948242,229.470001220703,226.800003051758,228.960006713867,1934500,191.703765869141,2020-02-11
229.470001220703,230.229995727539,225.880004882812,227,2501300,190.062713623047,2020-02-12
224.990005493164,226.520004272461,222.820007324219,223.039993286133,1946500,188.072708129883,2020-02-13
222.929992675781,223.490005493164,221.339996337891,223.479995727539,1611900,188.443725585938,2020-02-14
224.149993896484,224.350006103516,220.919998168945,221.690002441406,1936400,186.934341430664,2020-02-18
222.940002441406,224.050003051758,222.050003051758,222.960006713867,1322900,188.005249023438,2020-02-19
223.199996948242,223.479995727539,218.509994506836,222.139999389648,1638000,187.31379699707,2020-02-20
222.240005493164,223.800003051758,220.990005493164,222.789993286133,2047500,187.861877441406,2020-02-21
219.880004882812,223.990005493164,215.759994506836,217.880004882812,3049600,183.721664428711,2020-02-24
218.080001831055,219.559997558594,209.820007324219,210.380004882812,3915500,177.397521972656,2020-02-25
216.179992675781,216.699996948242,212.020004272461,214.539993286133,3314000,180.905288696289,2020-02-26
214.919998168945,215.279998779297,203.220001220703,203.5,4071100,171.596115112305,2020-02-27
198.050003051758,203,195.179992675781,199.729995727539,5316100,168.41716003418,2020-02-28
199.899993896484,212.369995117188,198.710006713867,212.199996948242,4245700,178.932144165039,2020-03-02
210.339996337891,216.160003662109,202.660003662109,204.419998168945,3975100,172.371856689453,2020-03-03
209.529998779297,215.289993286133,207.619995117188,215.110000610352,3880200,181.385925292969,2020-03-04
207.660003662109,216.389999389648,207.580001831055,212.119995117188,3185400,178.864700317383,2020-03-05
203.970001220703,211.610000610352,203.820007324219,210.649993896484,3100500,177.625152587891,2020-03-06
197.740005493164,203.619995117188,190.75,198.369995117188,4065600,167.27033996582,2020-03-09
203.360000610352,207.100006103516,194.669998168945,206.800003051758,3928700,174.378799438477,2020-03-10
201,203.919998168945,195.809997558594,198.649993896484,3777000,167.506469726562,2020-03-11
184.630004882812,196.259994506836,181.770004272461,182.240005493164,4902600,153.669174194336,2020-03-12
189.759994506836,203.169998168945,188.520004272461,202.100006103516,6903900,170.415603637695,2020-03-13
184.669998168945,204.720001220703,182.960006713867,188.679992675781,4932400,159.099533081055,2020-03-16
192.210006713867,210.910003662109,191.649993896484,207.800003051758,5912800,175.221954345703,2020-03-17
198.559997558594,210.899993896484,196.740005493164,204.880004882812,5597900,172.759750366211,2020-03-18
201,208.75,195.270004272461,198.759994506836,4796500,167.599227905273,2020-03-19
198.889999389648,201.970001220703,186,188.25,5726800,158.736968994141,2020-03-20
188.889999389648,191.960006713867,177.050003051758,185.929992675781,4396600,156.780639648438,2020-03-23
191.470001220703,202.850006103516,190.009994506836,202.339996337891,5288200,170.617965698242,2020-03-24
197.770004272461,201.360000610352,190.009994506836,193.139999389648,5301000,162.860336303711,2020-03-25
193.119995117188,199.720001220703,190.5,198.490005493164,5162200,167.371551513672,2020-03-26
194.419998168945,205.869995117188,194.009994506836,198.270004272461,4119600,167.186065673828,2020-03-27
200.050003051758,209.449996948242,200.050003051758,208.479995727539,3219000,175.795379638672,2020-03-30
203.490005493164,207.25,200.699996948242,202.729995727539,2929000,170.946792602539,2020-03-31
197.559997558594,201.380004882812,194.990005493164,197.809997558594,2747900,166.79817199707,2020-04-01
194.410003662109,209.529998779297,194.210006713867,208.880004882812,3867300,176.13264465332,2020-04-02
207.429992675781,209.75,203.029998779297,205.410003662109,2281400,173.206665039062,2020-04-03
212,212.710006713867,206.850006103516,211.580001831055,3702100,178.409393310547,2020-04-06
213.449996948242,215.179992675781,207.330001831055,208.779998779297,2447500,176.048294067383,2020-04-07
208.899993896484,219.820007324219,207.339996337891,219.190002441406,2861500,184.826309204102,2020-04-08
217.399993896484,219.350006103516,215.699996948242,218.210006713867,2503300,183.999969482422,2020-04-09
216.979995727539,219.179992675781,215.149993896484,218.270004272461,2168000,184.050521850586,2020-04-13
221.009994506836,228.320007324219,220.25,226.800003051758,3029000,191.243240356445,2020-04-14
224.990005493164,225.509994506836,219.309997558594,221.800003051758,3107000,187.027099609375,2020-04-15
225,232.100006103516,223.220001220703,230.899993896484,2617300,194.700469970703,2020-04-16
236.830001831055,236.990005493164,229.220001220703,234.970001220703,2864200,198.132339477539,2020-04-17
234.199996948242,239.559997558594,232.389999389648,236.600006103516,2824000,199.506805419922,2020-04-20
235,235.770004272461,229,230.75,2672900,194.573974609375,2020-04-21
233.350006103516,234,227.589996337891,229.289993286133,2845100,193.342849731445,2020-04-22
229.089996337891,235.649993896484,228.880004882812,232.490005493164,3226400,196.041168212891,2020-04-23
234.039993286133,236.929992675781,230.800003051758,236.279998779297,1946200,199.237014770508,2020-04-24
236.630004882812,243,235,242.429992675781,2472600,204.422836303711,2020-04-27
243,244.949996948242,236.860000610352,237.669998168945,2548900,200.409072875977,2020-04-28
238.899993896484,239.309997558594,235.240005493164,235.690002441406,3365100,198.739517211914,2020-04-29
236.020004272461,240.070007324219,231.910003662109,239.220001220703,5704500,201.716079711914,2020-04-30
233,237.050003051758,228,230.979995727539,3045400,194.767929077148,2020-05-01
232.440002441406,232.919998168945,228.100006103516,230.910003662109,2035800,194.708892822266,2020-05-04
231.279998779297,237.979995727539,229.169998168945,236.360000610352,1975500,199.304458618164,2020-05-05
237.309997558594,239.679992675781,235.690002441406,236.589996337891,1980500,199.498382568359,2020-05-06
236.899993896484,237.970001220703,232.100006103516,233.330001831055,2451200,196.749465942383,2020-05-07
234.949996948242,235.729995727539,231.600006103516,234.820007324219,1534300,198.005905151367,2020-05-08
233.070007324219,243.490005493164,232.509994506836,242.740005493164,2163700,204.684234619141,2020-05-11
242.679992675781,244.5,237.050003051758,237.210006713867,2241000,200.021224975586,2020-05-12
235.220001220703,243.940002441406,235.220001220703,236.830001831055,2292700,199.700759887695,2020-05-13
235.949996948242,238.970001220703,233.800003051758,237.979995727539,3322700,200.670471191406,2020-05-14
234.429992675781,240.429992675781,233.889999389648,240.199996948242,3111500,203.913391113281,2020-05-15
243.660003662109,244.389999389648,231.800003051758,233.190002441406,5631400,197.962371826172,2020-05-18
232.639999389648,233.440002441406,227.169998168945,227.429992675781,3835800,193.072540283203,2020-05-19
229.270004272461,230.119995117188,225.639999389648,227.869995117188,3714600,193.446090698242,2020-05-20
228.110000610352,228.240005493164,224,224.779998779297,2377500,190.822875976562,2020-05-21
224.169998168945,226.770004272461,223.610000610352,226.429992675781,2334300,192.223602294922,2020-05-22
227.529998779297,228.350006103516,221.729995727539,222.399993896484,2397800,188.80241394043,2020-05-26
222.320007324219,225.130004882812,217.470001220703,224.809997558594,2932100,190.848342895508,2020-05-27
226.259994506836,226.619995117188,222.25,224.130004882812,2591000,190.271072387695,2020-05-28
225,230.570007324219,222.059997558594,229.699996948242,4251200,194.999633789062,2020-05-29
228.889999389648,230.539993286133,225.710006713867,226.910003662109,1816700,192.631118774414,2020-06-01
