"PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted","Date"
124.5,124.730003356934,122.940002441406,123.410003662109,8130800,107.016410827637,2020-01-02
122.160003662109,123.529998779297,121.860000610352,122.580001831055,7970500,106.296669006348,2020-01-03
122.569999694824,123.190002441406,122.379997253418,122.75,6674400,106.444091796875,2020-01-06
122.879997253418,123.209999084473,121.870002746582,121.98999786377,7583400,105.785026550293,2020-01-07
122.190002441406,123.430000305176,122,122.51000213623,5385100,106.235954284668,2020-01-08
122.51000213623,123.879997253418,122.51000213623,123.849998474121,5944000,107.397956848145,2020-01-09
123.900001525879,124.319999694824,123.300003051758,123.970001220703,3927100,107.502006530762,2020-01-10
124,124.900001525879,123.809997558594,124.879997253418,8409200,108.291130065918,2020-01-13
124.650001525879,125.199996948242,124.480003356934,124.690002441406,7829700,108.126373291016,2020-01-14
125.059997558594,126.120002746582,125.01000213623,125.959999084473,4843700,109.227668762207,2020-01-15
126.110000610352,126.779998779297,125.589996337891,126.069999694824,6233700,109.323066711426,2020-01-16
126.349998474121,127,125.879997253418,126.410003662109,11315200,109.617904663086,2020-01-17
126.410003662109,126.620002746582,124.839996337891,126.089996337891,8553100,109.340385437012,2020-01-21
126.330001831055,126.680000305176,125.830001831055,126.309997558594,7396700,109.531173706055,2020-01-22
124.300003051758,126.550003051758,123.650001525879,124.98999786377,11096500,109.030471801758,2020-01-23
125.220001220703,126.790000915527,124.769996643066,125.139999389648,9508600,109.161315917969,2020-01-24
124.75,126.389999389648,124.75,125.690002441406,9338400,109.641075134277,2020-01-27
125.930000305176,126.980003356934,125.720001220703,126.029998779297,6200200,109.937675476074,2020-01-28
125.910003662109,126.069999694824,125.029998779297,125.059997558594,5271000,109.091506958008,2020-01-29
124.790000915527,126.059997558594,124.419998168945,125.949996948242,5894400,109.867889404297,2020-01-30
125.98999786377,126.949996948242,124.459999084473,124.620002746582,6612900,108.707695007324,2020-01-31
124.660003662109,125.949996948242,124.48999786377,125.110000610352,6052300,109.135139465332,2020-02-03
125.709999084473,127.349998474121,125.360000610352,125.660003662109,6512200,109.61491394043,2020-02-04
125.910003662109,127.059997558594,125.400001525879,126.809997558594,6125400,110.618064880371,2020-02-05
126.900001525879,128.089996337891,126.599998474121,127.139999389648,9102700,110.905937194824,2020-02-06
127.190002441406,127.269996643066,126.050003051758,126.080001831055,5915100,109.981292724609,2020-02-07
126.459999084473,126.830001831055,125.76000213623,126.169998168945,5216100,110.059791564941,2020-02-10
126.269996643066,126.269996643066,124.029998779297,124.160003662109,6105700,108.306465148926,2020-02-11
123.680000305176,123.970001220703,122.849998474121,123.449996948242,6031700,107.687110900879,2020-02-12
123.730003356934,125.279998779297,123.519996643066,124.959999084473,7159000,109.004302978516,2020-02-13
125.290000915527,126.150001525879,124.790000915527,126.139999389648,5889100,110.03360748291,2020-02-14
125.830001831055,126.180000305176,124.830001831055,124.870002746582,6767600,108.925796508789,2020-02-18
124.849998474121,126.470001220703,124.650001525879,125.440002441406,4734000,109.423004150391,2020-02-19
125.470001220703,126.76000213623,125.129997253418,126.580001831055,6094600,110.417449951172,2020-02-20
126.129997253418,128.070007324219,125.980003356934,126.699996948242,8723900,110.522109985352,2020-02-21
125.26000213623,126.589996337891,123.139999389648,123.300003051758,7533900,107.556266784668,2020-02-24
123.019996643066,123.959999084473,120.879997253418,121.430000305176,8903200,105.92504119873,2020-02-25
121.419998168945,122.389999389648,119.849998474121,120.160003662109,6894200,104.817199707031,2020-02-26
119.120002746582,119.919998168945,113.430000305176,113.5,13298900,99.0075759887695,2020-02-27
109.459999084473,113.230003356934,106.669998168945,113.230003356934,22784300,98.7720642089844,2020-02-28
113.190002441406,119.790000915527,112.550003051758,119.559997558594,12399800,104.293815612793,2020-03-02
119.730003356934,121.839996337891,117.139999389648,118.169998168945,12510900,103.081283569336,2020-03-03
119.879997253418,124.690002441406,119.599998474121,124.5,9459300,108.603034973145,2020-03-04
121.300003051758,122.900001525879,120.279998779297,121.629997253418,9363500,106.099479675293,2020-03-05
118.029998779297,122.610000610352,117.550003051758,121.660003662109,9817400,106.12565612793,2020-03-06
115.269996643066,120.029998779297,115.120002746582,116.059997558594,13116500,101.240707397461,2020-03-09
118.959999084473,120.819999694824,114.440002441406,120.550003051758,11419100,105.157386779785,2020-03-10
117.599998474121,118.440002441406,110.680000305176,111.589996337891,16456000,97.3414840698242,2020-03-11
103,111.580001831055,101,101.839996337891,20988000,88.8363800048828,2020-03-12
106.5,114.629997253418,105.410003662109,114.069999694824,17378700,99.5047912597656,2020-03-13
