"CSSPX.MI.Open","CSSPX.MI.High","CSSPX.MI.Low","CSSPX.MI.Close","CSSPX.MI.Volume","CSSPX.MI.Adjusted","Date"
287.459991455078,289.25,287.459991455078,287.730010986328,14343,287.730010986328,2020-01-02
287.579986572266,288.820007324219,286.529998779297,287.940002441406,14634,287.940002441406,2020-01-03
287.010009765625,287.5,285.309997558594,287.440002441406,9319,287.440002441406,2020-01-06
288.760009765625,289.649993896484,288.029998779297,289.380004882812,21653,289.380004882812,2020-01-07
288.429992675781,290.75,288.239990234375,290.559997558594,21200,290.559997558594,2020-01-08
292.609985351562,293.399993896484,292.359985351562,293.130004882812,10176,293.130004882812,2020-01-09
292.450012207031,294.649993896484,292.450012207031,293.029998779297,11721,293.029998779297,2020-01-10
292.619995117188,293.269989013672,292.339996337891,292.660003662109,9314,292.660003662109,2020-01-13
293.160003662109,294.399993896484,292.5,293.799987792969,20995,293.799987792969,2020-01-14
293.760009765625,294.160003662109,292.410003662109,293.929992675781,26264,293.929992675781,2020-01-15
294.480010986328,295.5,294.149993896484,295.309997558594,14346,295.309997558594,2020-01-16
296.640014648438,298.260009765625,296.589996337891,297.959991455078,43626,297.959991455078,2020-01-17
297.769989013672,298.309997558594,297.660003662109,298.309997558594,16057,298.309997558594,2020-01-20
297.109985351562,298.179992675781,296.549987792969,298.179992675781,23488,298.179992675781,2020-01-21
299.299987792969,299.799987792969,298.459991455078,298.739990234375,15277,298.739990234375,2020-01-22
297.829986572266,298.700012207031,296.929992675781,298.010009765625,17597,298.010009765625,2020-01-23
299.899993896484,300.809997558594,298.809997558594,299.119995117188,6802,299.119995117188,2020-01-24
294.190002441406,294.679992675781,291.920013427734,293,27419,293,2020-01-27
294.470001220703,296.350006103516,293.140014648438,296.230010986328,24592,296.230010986328,2020-01-28
296.809997558594,297.920013427734,296.019989013672,297.140014648438,14940,297.140014648438,2020-01-29
293.010009765625,294.850006103516,292.570007324219,293.670013427734,23202,293.670013427734,2020-01-30
