"NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted","Date"
101.360000610352,102.209999084473,101.019996643066,102.199996948242,5644100,94.8751373291016,2020-01-02
100.589996337891,102,100.309997558594,101.919998168945,4541800,94.6151962280273,2020-01-03
100.949996948242,101.839996337891,100.870002746582,101.830001831055,4612400,94.5316619873047,2020-01-06
101.809997558594,102.73999786377,100.809997558594,101.779998779297,6719900,94.485237121582,2020-01-07
101.309997558594,102.139999389648,100.849998474121,101.550003051758,4942200,94.2717361450195,2020-01-08
101.940002441406,102.410003662109,101.389999389648,101.480003356934,5007500,94.2067642211914,2020-01-09
101.889999389648,101.930000305176,100.76000213623,100.900001525879,5135300,93.6683349609375,2020-01-10
101,102.339996337891,100.819999694824,102.160003662109,6722400,94.8380355834961,2020-01-13
102.449996948242,103.889999389648,102.349998474121,102.919998168945,5088500,95.5435333251953,2020-01-14
103.25,103.699996948242,102.480003356934,102.790000915527,4209200,95.4228820800781,2020-01-15
102.879997253418,103.569999694824,102.849998474121,103.370002746582,6571700,95.961296081543,2020-01-16
103.430000305176,104.550003051758,103.339996337891,104.529998779297,6271200,97.0381774902344,2020-01-17
104.25,104.690002441406,103.809997558594,104.580001831055,4854700,97.0845565795898,2020-01-21
105,105.620002746582,104.419998168945,104.48999786377,5031400,97.0010070800781,2020-01-22
104.029998779297,104.370002746582,102.620002746582,103.019996643066,7102900,95.6363754272461,2020-01-23
103.589996337891,103.889999389648,101.660003662109,102.029998779297,3839300,94.7173538208008,2020-01-24
98.2099990844727,100.709999084473,98.0100021362305,100.23999786377,9841400,93.0556411743164,2020-01-27
100.339996337891,101.050003051758,99.5199966430664,100.410003662109,5673200,93.2134399414062,2020-01-28
101.069999694824,101.300003051758,99.1699981689453,99.8399963378906,4503700,92.6842956542969,2020-01-29
99.0199966430664,99.75,97.370002746582,98.1900024414062,7065100,91.1525497436523,2020-01-30
