"UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted","Date"
293.980010986328,295.700012207031,289.790008544922,292.5,2543400,267.026336669922,2020-01-02
287.269989013672,291.880004882812,284.359985351562,289.540008544922,2711400,264.324157714844,2020-01-03
288,291.660003662109,287.220001220703,291.549987792969,3079100,266.159118652344,2020-01-06
290.700012207031,291.489990234375,287.579986572266,289.790008544922,2492900,264.552429199219,2020-01-07
291.5,297.380004882812,290.040008544922,295.899993896484,3379200,270.130279541016,2020-01-08
294.290008544922,297.200012207031,293.720001220703,294.220001220703,2838200,268.5966796875,2020-01-09
296.070007324219,296.070007324219,292.209991455078,295.130004882812,2477900,269.427368164062,2020-01-10
294.369995117188,294.450012207031,285.019989013672,285.850006103516,6994900,260.95556640625,2020-01-13
285.600006103516,288.239990234375,284.25,288.239990234375,6056300,263.137359619141,2020-01-14
289.019989013672,299.640014648438,289,296.410003662109,6081300,270.595764160156,2020-01-15
298,300.989990234375,295.929992675781,300.739990234375,3710300,274.548767089844,2020-01-16
300.010009765625,300.700012207031,295.880004882812,298.470001220703,4632200,272.476470947266,2020-01-17
296.890014648438,302.540008544922,296.010009765625,300.529998779297,4962800,274.357025146484,2020-01-21
301.989990234375,302.130004882812,297.350006103516,300.589996337891,3117600,274.411895751953,2020-01-22
300.010009765625,300.579986572266,296.649993896484,299.459991455078,3169600,273.380249023438,2020-01-23
298.339996337891,299.929992675781,291.559997558594,292.809997558594,3678500,267.309387207031,2020-01-24
288,288.079986572266,280.070007324219,284.089996337891,4399400,259.348846435547,2020-01-27
283.910003662109,288.369995117188,283.299987792969,285.869995117188,4341000,260.973846435547,2020-01-28
284,286.190002441406,280.890014648438,282.899993896484,3963800,258.262481689453,2020-01-29
281.839996337891,281.839996337891,275.920013427734,280.980010986328,4211800,256.509674072266,2020-01-30
278.170013427734,278.779998779297,271.179992675781,272.450012207031,5532600,248.722549438477,2020-01-31
275.130004882812,276.850006103516,270.820007324219,274.019989013672,5646800,250.155838012695,2020-02-03
277.279998779297,283.5,276.880004882812,280.839996337891,4290200,256.381774902344,2020-02-04
285.600006103516,297,285.440002441406,295.730010986328,5761000,269.975036621094,2020-02-05
297,297.269989013672,290,292.459991455078,3044000,266.989898681641,2020-02-06
292.869995117188,293.390014648438,288.910003662109,289.220001220703,3425900,264.032043457031,2020-02-07
286.230010986328,289.290008544922,285.450012207031,287.029998779297,3147400,262.032745361328,2020-02-10
286.850006103516,291.570007324219,285.899993896484,290.790008544922,2992200,265.465362548828,2020-02-11
295,305,294.010009765625,303.480010986328,6701900,277.050262451172,2020-02-12
300.140014648438,305.899993896484,300.140014648438,302.200012207031,3565500,275.881683349609,2020-02-13
302.209991455078,303.970001220703,297.309997558594,298.779998779297,2485600,272.759490966797,2020-02-14
299.670013427734,303.350006103516,299,302.140014648438,3241700,275.826904296875,2020-02-18
303.369995117188,306.709991455078,302.730010986328,305.309997558594,3021100,278.720764160156,2020-02-19
303.200012207031,304.160003662109,297.890014648438,302.130004882812,2885500,275.817687988281,2020-02-20
300.470001220703,302.510009765625,298.609985351562,301.429992675781,2987100,275.178741455078,2020-02-21
286.890014648438,288.989990234375,277.640014648438,277.790008544922,8790600,253.597473144531,2020-02-24
280.149993896484,281.980010986328,262.010009765625,263.390014648438,8171200,240.451553344727,2020-02-25
264.720001220703,269.829986572266,258.709991455078,263,6806600,240.095581054688,2020-02-26
258.420013427734,262.149993896484,252.070007324219,253.919998168945,7604300,231.806335449219,2020-02-27
246.199996948242,257.100006103516,245.300003051758,254.960006713867,9961000,232.755752563477,2020-02-28
257.339996337891,273.239990234375,250.320007324219,273.109985351562,8866300,249.325073242188,2020-03-02
275.350006103516,280.350006103516,259.230010986328,261.399993896484,9188100,238.634857177734,2020-03-03
290,295.839996337891,282.209991455078,289.420013427734,14533000,264.214599609375,2020-03-04
281.600006103516,289.420013427734,279.940002441406,282.959991455078,5908400,258.317260742188,2020-03-05
275.420013427734,284.970001220703,271.899993896484,283.869995117188,5361900,259.148010253906,2020-03-06
264.459991455078,281.440002441406,259.239990234375,273.440002441406,8070700,249.626373291016,2020-03-09
279.720001220703,283.899993896484,272.5,280,7366000,255.614974975586,2020-03-10
274.760009765625,285.239990234375,273.260009765625,277.779998779297,7744600,253.588363647461,2020-03-11
260,272.230010986328,250,250.410003662109,10496600,228.602035522461,2020-03-12
260.989990234375,273.220001220703,242.270004272461,272.040008544922,9308400,249.424011230469,2020-03-13
243.919998168945,245.679992675781,223.949996948242,225.039993286133,10303500,206.331344604492,2020-03-16
230.820007324219,248.759994506836,228.289993286133,244.220001220703,9642200,223.916793823242,2020-03-17
225.75,231.449996948242,200.190002441406,217.059997558594,12917500,199.014739990234,2020-03-18
216.979995727539,226.119995117188,208.940002441406,219.800003051758,8065200,201.526977539062,2020-03-19
223.179992675781,232.639999389648,203.460006713867,206.589996337891,9364100,189.415161132812,2020-03-20
202.039993286133,205.75,187.720001220703,194.860000610352,10654500,178.660339355469,2020-03-23
202.139999389648,220.270004272461,199,219.800003051758,8894400,201.526977539062,2020-03-24
219.089996337891,247.509994506836,216,234.490005493164,10014000,214.995712280273,2020-03-25
234.029998779297,257.959991455078,232.300003051758,255.389999389648,7517600,234.158157348633,2020-03-26
242.940002441406,251.600006103516,238.240005493164,242.449996948242,4879500,222.2939453125,2020-03-27
242.639999389648,254.089996337891,242.639999389648,251.279998779297,5329000,230.389846801758,2020-03-30
243.479995727539,254.529998779297,243,249.380004882812,5450000,228.647857666016,2020-03-31
238.690002441406,246.610000610352,235.440002441406,237.320007324219,4548800,217.590423583984,2020-04-01
235.300003051758,242,226.029998779297,240.440002441406,4636800,220.451080322266,2020-04-02
238.320007324219,239.339996337891,227.270004272461,229.490005493164,4650300,210.411422729492,2020-04-03
240,249.289993286133,235.119995117188,248.339996337891,6365900,227.694305419922,2020-04-06
259.809997558594,266.709991455078,246.539993286133,248.039993286133,4984100,227.419219970703,2020-04-07
247.690002441406,269.160003662109,246.259994506836,267.829986572266,6390200,245.563995361328,2020-04-08
265,270.399993896484,261.600006103516,264.130004882812,4923300,242.171585083008,2020-04-09
262.059997558594,264.959991455078,258.179992675781,263.510009765625,2964900,241.603134155273,2020-04-13
269,273.070007324219,267,270.5,4778900,248.012023925781,2020-04-14
276.329986572266,282.989990234375,270.679992675781,281.679992675781,7841800,258.262542724609,2020-04-15
283.440002441406,300,280.010009765625,298.429992675781,7738900,273.620086669922,2020-04-16
300.989990234375,304,287.100006103516,290.559997558594,5857500,266.404296875,2020-04-17
285.299987792969,289.010009765625,281.269989013672,282.140014648438,4072600,258.684326171875,2020-04-20
274.950012207031,280,273.25,274.190002441406,3977500,251.395278930664,2020-04-21
279.579986572266,283.820007324219,276.709991455078,277.019989013672,3663300,253.990005493164,2020-04-22
279.059997558594,288.459991455078,278.540008544922,285.329986572266,4420500,261.609069824219,2020-04-23
287.290008544922,291.899993896484,284,291.290008544922,3265000,267.073608398438,2020-04-24
293.209991455078,296.859985351562,290.630004882812,293.980010986328,3706200,269.540069580078,2020-04-27
298,298.25,285.619995117188,288.359985351562,3862900,264.38720703125,2020-04-28
292,292.75,286.100006103516,287.649993896484,4258400,263.736297607422,2020-04-29
286.649993896484,295,285.519989013672,292.470001220703,7631700,268.155456542969,2020-04-30
288.390014648438,289,279.600006103516,284.510009765625,3526100,260.857391357422,2020-05-01
284.489990234375,287.940002441406,282.109985351562,287.540008544922,2894200,263.635406494141,2020-05-04
289.959991455078,296,287.290008544922,293.040008544922,2501300,268.678100585938,2020-05-05
295.100006103516,297.679992675781,288.440002441406,288.769989013672,2579200,264.76318359375,2020-05-06
291.059997558594,292.290008544922,284.519989013672,285,3162300,261.306549072266,2020-05-07
289.489990234375,290,285.660003662109,287,3200000,263.140289306641,2020-05-08
285.559997558594,290.100006103516,285.260009765625,288.690002441406,3490700,264.689758300781,2020-05-11
291.769989013672,293.149993896484,287.700012207031,287.700012207031,4214300,263.782135009766,2020-05-12
284.489990234375,286.399993896484,275.559997558594,278,5474100,254.88850402832,2020-05-13
275.929992675781,292.450012207031,275.640014648438,290.609985351562,5704600,266.450225830078,2020-05-14
292.410003662109,300,290.720001220703,290.959991455078,12182800,266.771057128906,2020-05-15
298.480010986328,299.720001220703,292.019989013672,293.359985351562,4015100,268.971588134766,2020-05-18
290.739990234375,294.630004882812,288.880004882812,289.049987792969,3059400,265.019805908203,2020-05-19
292.899993896484,292.899993896484,286.700012207031,287.989990234375,3200600,264.048004150391,2020-05-20
286.040008544922,290.130004882812,284.929992675781,286.910003662109,3604900,263.057830810547,2020-05-21
287.299987792969,290.239990234375,284.790008544922,289.940002441406,2922800,265.835906982422,2020-05-22
296.5,297.029998779297,292.5,294.890014648438,4567800,270.374359130859,2020-05-26
297.420013427734,303.799987792969,290.799987792969,303.769989013672,5618900,278.516235351562,2020-05-27
305.950012207031,309.660003662109,303.290008544922,303.970001220703,4387700,278.699584960938,2020-05-28
304.720001220703,308.369995117188,300.850006103516,304.850006103516,6251500,279.50634765625,2020-05-29
304.019989013672,305.980010986328,300.559997558594,305.929992675781,2894000,280.496459960938,2020-06-01
305.579986572266,308.100006103516,301.730010986328,306.309997558594,2756800,280.844940185547,2020-06-02
307.850006103516,310.119995117188,302.739990234375,305.350006103516,4360000,279.964721679688,2020-06-03
303.179992675781,304.470001220703,294.290008544922,298.079986572266,4374300,273.299133300781,2020-06-04
304,314.279998779297,300.5,311.850006103516,5554300,285.924499511719,2020-06-05
308.640014648438,315.839996337891,307.929992675781,309.480010986328,4635500,283.751434326172,2020-06-08
309.899993896484,312.649993896484,307.329986572266,309.209991455078,3061500,283.503875732422,2020-06-09
308.940002441406,310.309997558594,302.859985351562,305.75,3296100,280.33154296875,2020-06-10
303.359985351562,303.359985351562,280.799987792969,283.730010986328,6638900,260.142181396484,2020-06-11
290.649993896484,294.100006103516,278.700012207031,285.149993896484,5416800,261.444030761719,2020-06-12
278.019989013672,287,273.709991455078,286.279998779297,4494600,262.480194091797,2020-06-15
295.440002441406,297.570007324219,287.440002441406,293,4245400,268.641479492188,2020-06-16
295.100006103516,295.100006103516,291.230010986328,292.600006103516,2538000,268.274749755859,2020-06-17
290.429992675781,291.779998779297,286.600006103516,291.480010986328,2926600,267.247894287109,2020-06-18
294.429992675781,296.519989013672,290.910003662109,291.239990234375,5172800,268.177886962891,2020-06-19
289.790008544922,293,286.260009765625,292.670013427734,2174100,269.494598388672,2020-06-22
294.010009765625,299.279998779297,291.070007324219,297.600006103516,4023400,274.034271240234,2020-06-23
293.989990234375,297.100006103516,285.570007324219,289.179992675781,3399900,266.280944824219,2020-06-24
288.279998779297,296.779998779297,286.059997558594,296.220001220703,3112500,272.763580322266,2020-06-25
295.140014648438,296.579986572266,285.820007324219,286.880004882812,5043200,264.163116455078,2020-06-26
288.450012207031,292.279998779297,286.619995117188,289.760009765625,2356700,266.815093994141,2020-06-29
288.570007324219,296.450012207031,287.660003662109,294.950012207031,2932900,271.594085693359,2020-06-30
295.829986572266,300.399993896484,295.239990234375,297.730010986328,2303800,274.154052734375,2020-07-01
300.5,303.079986572266,297.179992675781,298.260009765625,1971700,274.641967773438,2020-07-02
303,303.489990234375,299.329986572266,302.809997558594,2395000,278.831665039062,2020-07-06
300.660003662109,303.559997558594,295.950012207031,296.649993896484,2075700,273.159484863281,2020-07-07
297.350006103516,300.869995117188,295.679992675781,298.359985351562,1987400,274.734039306641,2020-07-08
295.100006103516,298.549987792969,287.5,291.160003662109,3061700,268.104187011719,2020-07-09
294.239990234375,294.239990234375,287.100006103516,291.230010986328,2391600,268.168701171875,2020-07-10
292.089996337891,304.519989013672,291.769989013672,299.709991455078,4263300,275.977203369141,2020-07-13
297.809997558594,309.739990234375,296.709991455078,308.519989013672,4234900,284.089508056641,2020-07-14
301.119995117188,310.690002441406,298.660003662109,304.070007324219,5116900,279.991912841797,2020-07-15
305.010009765625,310.850006103516,303.160003662109,307.149993896484,3844500,282.827972412109,2020-07-16
309.089996337891,310.970001220703,306.25,306.529998779297,3016500,282.257080078125,2020-07-17
306.790008544922,308.600006103516,302.380004882812,303.459991455078,2375500,279.430145263672,2020-07-20
305.029998779297,307,303.109985351562,305.109985351562,2340200,280.949554443359,2020-07-21
304.859985351562,306.910003662109,301.809997558594,306.709991455078,1935800,282.422882080078,2020-07-22
308.200012207031,308.5,301.269989013672,302.970001220703,2367700,278.97900390625,2020-07-23
303.329986572266,304.279998779297,299.230010986328,300.790008544922,2415700,276.971618652344,2020-07-24
298.429992675781,302.130004882812,297.369995117188,298.600006103516,2060500,274.955108642578,2020-07-27
297.890014648438,301.399993896484,297.209991455078,299.929992675781,2257400,276.179748535156,2020-07-28
301.459991455078,309.75,300,306.679992675781,2672700,282.395202636719,2020-07-29
301.679992675781,306.459991455078,298.890014648438,305.230010986328,2205300,281.059997558594,2020-07-30
303.440002441406,303.739990234375,298.049987792969,302.779998779297,3913500,278.804046630859,2020-07-31
303.589996337891,304.910003662109,299.200012207031,303.609985351562,2628500,279.568359375,2020-08-03
301.910003662109,308.859985351562,300.070007324219,304.5,3594900,280.387847900391,2020-08-04
306.829986572266,312.959991455078,305.019989013672,312.470001220703,2982200,287.726745605469,2020-08-05
312,316.239990234375,310.399993896484,314.059997558594,3305300,289.190856933594,2020-08-06
313.339996337891,319,313.339996337891,317.029998779297,2600800,291.925689697266,2020-08-07
317,320.470001220703,315.579986572266,319.100006103516,2563600,293.831787109375,2020-08-10
322.920013427734,324.570007324219,314.660003662109,315.549987792969,3018200,290.562866210938,2020-08-11
318,323.290008544922,317.640014648438,322.269989013672,2915800,296.750671386719,2020-08-12
320.679992675781,321.869995117188,317.839996337891,321.519989013672,2159500,296.060150146484,2020-08-13
320.540008544922,323.929992675781,318.730010986328,323.700012207031,1787200,298.067535400391,2020-08-14
321.450012207031,323.799987792969,319.350006103516,320.510009765625,2772500,295.130126953125,2020-08-17
321.980010986328,322.670013427734,315.709991455078,316.809997558594,2520000,291.723022460938,2020-08-18
316.769989013672,319.489990234375,315.179992675781,315.399993896484,2066700,290.424743652344,2020-08-19
314.829986572266,315.279998779297,312.010009765625,313.329986572266,2245600,288.518615722656,2020-08-20
311.279998779297,315.279998779297,310.089996337891,314.140014648438,2488500,289.264526367188,2020-08-21
316.809997558594,316.899993896484,306.489990234375,308.839996337891,2922200,284.384216308594,2020-08-24
312.200012207031,312.359985351562,307.799987792969,312.220001220703,1879300,287.496520996094,2020-08-25
310.980010986328,311.359985351562,303.609985351562,308.820007324219,3178900,284.365814208984,2020-08-26
310.410003662109,314.769989013672,305.489990234375,311.670013427734,2321000,286.990173339844,2020-08-27
312.339996337891,315.820007324219,308.970001220703,314.369995117188,2883500,289.476257324219,2020-08-28
314.890014648438,319.559997558594,312.540008544922,312.549987792969,4341600,287.800445556641,2020-08-31
310.160003662109,314.720001220703,310,312.829986572266,2487100,288.058319091797,2020-09-01
312.559997558594,321.279998779297,312.559997558594,320.239990234375,2846500,294.881408691406,2020-09-02
322,323.820007324219,313.730010986328,316.230010986328,3872500,291.189025878906,2020-09-03
316.480010986328,317.829986572266,306.630004882812,312,2901000,287.294006347656,2020-09-04
311.029998779297,311.459991455078,303.829986572266,307.25,2594500,282.920074462891,2020-09-08
309.679992675781,315.320007324219,308.420013427734,312.019989013672,2195600,287.312347412109,2020-09-09
312.730010986328,314.440002441406,303.720001220703,304.600006103516,2421200,280.479919433594,2020-09-10
305.070007324219,306.459991455078,297.290008544922,301.480010986328,3085900,278.750946044922,2020-09-11
303.010009765625,311.119995117188,303.010009765625,308.570007324219,1795500,285.306396484375,2020-09-14
310.049987792969,311.459991455078,306.049987792969,307.230010986328,1468300,284.0673828125,2020-09-15
309.070007324219,312.25,306.200012207031,306.519989013672,3438200,283.410919189453,2020-09-16
304.5,307.380004882812,302.109985351562,304.980010986328,2394100,281.987091064453,2020-09-17
305.010009765625,310.390014648438,303.769989013672,308.019989013672,3795400,284.7978515625,2020-09-18
300.470001220703,300.529998779297,291.660003662109,299.190002441406,4124700,276.633544921875,2020-09-21
298.440002441406,300.619995117188,292.920013427734,294.260009765625,3163600,272.0751953125,2020-09-22
295,296.100006103516,291.829986572266,292.140014648438,3709900,270.115112304688,2020-09-23
292.190002441406,294.929992675781,289.640014648438,292.660003662109,2869100,270.595825195312,2020-09-24
291.25,303.269989013672,291.220001220703,302.5,2455800,279.694000244141,2020-09-25
306.390014648438,310.010009765625,302.829986572266,303.230010986328,2575700,280.369079589844,2020-09-28
303.670013427734,305.5,300.679992675781,304.149993896484,1797800,281.219604492188,2020-09-29
304.019989013672,314.519989013672,303.989990234375,311.769989013672,3497300,288.265075683594,2020-09-30
312.910003662109,315.170013427734,309.149993896484,313.070007324219,2731200,289.467193603516,2020-10-01
312.100006103516,317.390014648438,308.359985351562,311.980010986328,2338000,288.459289550781,2020-10-02
315.070007324219,318.420013427734,313.119995117188,318.149993896484,1638600,294.164123535156,2020-10-05
318.950012207031,320.299987792969,313.489990234375,314.450012207031,2434400,290.743011474609,2020-10-06
315.820007324219,324.739990234375,315.820007324219,323.170013427734,2596600,298.805694580078,2020-10-07
323.429992675781,325.350006103516,320.989990234375,322.410003662109,2056700,298.102935791016,2020-10-08
324.660003662109,328.170013427734,323.920013427734,327.839996337891,2028900,303.123565673828,2020-10-09
329.119995117188,333.559997558594,329.010009765625,329.970001220703,2424200,305.092956542969,2020-10-12
328.5,333.700012207031,327.709991455078,331.420013427734,2713500,306.433715820312,2020-10-13
322.070007324219,330.570007324219,320.200012207031,321.850006103516,4455400,297.585174560547,2020-10-14
318.850006103516,326.970001220703,316.329986572266,324.570007324219,3172200,300.100128173828,2020-10-15
325.459991455078,332.350006103516,324.730010986328,329.899993896484,3293300,305.028259277344,2020-10-16
328.540008544922,330.779998779297,322.059997558594,324.220001220703,2482100,299.776519775391,2020-10-19
326.619995117188,328.619995117188,323.279998779297,323.410003662109,1988600,299.027648925781,2020-10-20
323.410003662109,326.489990234375,322.179992675781,322.790008544922,2139000,298.454315185547,2020-10-21
322.320007324219,328.059997558594,322.25,325.730010986328,2100600,301.172668457031,2020-10-22
329.160003662109,335.649993896484,328.130004882812,330.600006103516,2349500,305.675567626953,2020-10-23
326.320007324219,327.75,318.540008544922,323.059997558594,2408500,298.703979492188,2020-10-26
323.059997558594,323.5,319.429992675781,320.510009765625,2427700,296.346160888672,2020-10-27
313.329986572266,317.809997558594,307.440002441406,308,3301400,284.779357910156,2020-10-28
306.589996337891,309.480010986328,301.459991455078,303.679992675781,3279200,280.785034179688,2020-10-29
303.230010986328,307.170013427734,299.600006103516,305.140014648438,3556800,282.134979248047,2020-10-30
312.640014648438,312.640014648438,307.359985351562,312.100006103516,4519000,288.570281982422,2020-11-02
317.470001220703,326.440002441406,315.019989013672,321.350006103516,4043900,297.122955322266,2020-11-03
345.230010986328,360.440002441406,341.140014648438,354.559997558594,10344900,327.8291015625,2020-11-04
358.070007324219,360.980010986328,349.679992675781,354.399993896484,4786500,327.681182861328,2020-11-05
350.359985351562,352,344.570007324219,347.459991455078,2994900,321.264434814453,2020-11-06
366.309997558594,367.950012207031,348.980010986328,350,4635300,323.612884521484,2020-11-09
349.489990234375,355.899993896484,348.170013427734,353.690002441406,3733200,327.024658203125,2020-11-10
356.160003662109,356.809997558594,349.410003662109,351.700012207031,2048200,325.184753417969,2020-11-11
351.399993896484,360.519989013672,349.75,354.410003662109,2907300,327.6904296875,2020-11-12
356.859985351562,357.940002441406,352.790008544922,355.670013427734,2442100,328.855438232422,2020-11-13
358.950012207031,359.579986572266,351.010009765625,356.820007324219,2790100,329.918823242188,2020-11-16
352.390014648438,353.359985351562,347.5,352.100006103516,2557600,325.554595947266,2020-11-17
353.429992675781,354.049987792969,343.089996337891,344.510009765625,2722500,318.536834716797,2020-11-18
342.290008544922,343.070007324219,334.329986572266,337,3935600,311.592987060547,2020-11-19
335,337.660003662109,331.709991455078,334.700012207031,3702000,309.466491699219,2020-11-20
335.549987792969,336.260009765625,331.589996337891,335.059997558594,2535700,309.799285888672,2020-11-23
336.179992675781,340,334.429992675781,336.010009765625,3759700,310.677612304688,2020-11-24
338.820007324219,338.820007324219,329.140014648438,333.190002441406,3145100,308.070281982422,2020-11-25
333.529998779297,338.899993896484,331.839996337891,337.940002441406,1558600,312.462158203125,2020-11-27
335.109985351562,337.940002441406,330.290008544922,336.339996337891,5265700,310.982757568359,2020-11-30
344.769989013672,354.100006103516,339.929992675781,341.190002441406,3817700,315.467071533203,2020-12-01
341.769989013672,351.829986572266,341.5,347.559997558594,2864300,321.356842041016,2020-12-02
347.899993896484,352.769989013672,346.489990234375,348.679992675781,4169200,322.392456054688,2020-12-03
346,351.470001220703,345.75,349.890014648438,3255100,324.675201416016,2020-12-04
348.720001220703,349.890014648438,345.220001220703,347.859985351562,2999400,322.791381835938,2020-12-07
344.75,349.899993896484,344.079986572266,347.859985351562,2471200,322.791381835938,2020-12-08
348.890014648438,349.410003662109,341.609985351562,344.410003662109,2600400,319.590057373047,2020-12-09
345.160003662109,345.459991455078,339.260009765625,339.649993896484,2896900,315.173095703125,2020-12-10
