"ENEL.MI.Open","ENEL.MI.High","ENEL.MI.Low","ENEL.MI.Close","ENEL.MI.Volume","ENEL.MI.Adjusted","Date"
7.16699981689453,7.22200012207031,7.08400011062622,7.21199989318848,20131289,5.09588098526001,2020-01-02
7.19999980926514,7.23400020599365,7.11299991607666,7.21099996566772,23955338,5.09517383575439,2020-01-03
7.19999980926514,7.2480001449585,7.15299987792969,7.22599983215332,20570627,5.10577297210693,2020-01-06
7.23899984359741,7.24599981307983,7.20100021362305,7.23000001907349,20205010,5.10860013961792,2020-01-07
7.23099994659424,7.30800008773804,7.20900011062622,7.26999998092651,27509178,5.13686275482178,2020-01-08
7.30299997329712,7.32200002670288,7.28000020980835,7.30499982833862,24702588,5.16159296035767,2020-01-09
7.31799983978271,7.47300004959106,7.31099987030029,7.41699981689453,32141258,5.24073028564453,2020-01-10
7.44000005722046,7.45100021362305,7.375,7.40000009536743,23287151,5.22871828079224,2020-01-13
7.40100002288818,7.42000007629395,7.32000017166138,7.40000009536743,23995472,5.22871828079224,2020-01-14
7.41099977493286,7.43699979782104,7.35300016403198,7.4210000038147,20462594,5.2435564994812,2020-01-15
7.4539999961853,7.61100006103516,7.44299983978271,7.61100006103516,41807258,5.3778076171875,2020-01-16
7.63000011444092,7.72599983215332,7.61600017547607,7.72499990463257,38566698,5.45835828781128,2020-01-17
7.57999992370605,7.65100002288818,7.56599998474121,7.62900018692017,25110077,5.50453615188599,2020-01-20
7.62900018692017,7.62900018692017,7.5,7.6100001335144,27487082,5.4908275604248,2020-01-21
7.61499977111816,7.66200017929077,7.54500007629395,7.5460000038147,23085331,5.44464921951294,2020-01-22
7.53200006484985,7.64499998092651,7.51999998092651,7.61999988555908,26232339,5.49804210662842,2020-01-23
7.6399998664856,7.81899976730347,7.63000011444092,7.81899976730347,32777640,5.64162588119507,2020-01-24
7.73000001907349,7.86100006103516,7.66200017929077,7.67399978637695,39675720,5.53700399398804,2020-01-27
7.65999984741211,7.89900016784668,7.65000009536743,7.89900016784668,31445934,5.69934892654419,2020-01-28
7.90000009536743,8.00899982452393,7.86399984359741,8.00899982452393,36065958,5.77871608734131,2020-01-29
7.96400022506714,8.09899997711182,7.9229998588562,8.08800029754639,42296792,5.83571767807007,2020-01-30
8.10000038146973,8.10000038146973,7.85400009155273,7.85500001907349,53439843,5.66760110855103,2020-01-31
7.88100004196167,7.96600008010864,7.8600001335144,7.96600008010864,24166910,5.74769067764282,2020-02-03
7.96999979019165,8,7.90000009536743,8,24119479,5.77222299575806,2020-02-04
7.96700000762939,8.06999969482422,7.88299989700317,8.06999969482422,33696833,5.82272911071777,2020-02-05
8.04699993133545,8.13000011444092,7.94899988174438,8.13000011444092,29730095,5.86602163314819,2020-02-06
8.19999980926514,8.26700019836426,8.08100032806396,8.17700004577637,29540450,5.89993333816528,2020-02-07
8.19799995422363,8.21399974822998,8.08699989318848,8.19999980926514,18948570,5.91652870178223,2020-02-10
8.20300006866455,8.27400016784668,8.14599990844727,8.19299983978271,24769563,5.91147756576538,2020-02-11
8.19999980926514,8.2480001449585,8.09799957275391,8.13199996948242,26171039,5.86746501922607,2020-02-12
8.10099983215332,8.20699977874756,8.10000038146973,8.20699977874756,22612584,5.92157888412476,2020-02-13
8.21000003814697,8.27999973297119,8.19999980926514,8.27700042724609,24782072,5.97208690643311,2020-02-14
8.27999973297119,8.39599990844727,8.26599979400635,8.39400005340576,18537950,6.05650472640991,2020-02-17
8.38000011444092,8.54599952697754,8.36999988555908,8.46700000762939,29279527,6.10917520523071,2020-02-18
8.5290002822876,8.60900020599365,8.45600032806396,8.56599998474121,29512885,6.18060731887817,2020-02-19
8.57100009918213,8.57400035858154,8.43299961090088,8.43299961090088,25125350,6.08464479446411,2020-02-20
8.43900012969971,8.55399990081787,8.37399959564209,8.44400024414062,32896081,6.09258031845093,2020-02-21
8.17700004577637,8.2810001373291,7.98299980163574,8.02999973297119,59326276,5.79386901855469,2020-02-24
8.09000015258789,8.13899993896484,7.78999996185303,7.80499982833862,51023903,5.63152503967285,2020-02-25
7.75699996948242,8.05200004577637,7.64300012588501,7.95499992370605,48392485,5.73975372314453,2020-02-26
7.85900020599365,8.00599956512451,7.76000022888184,7.91599988937378,58616247,5.71161460876465,2020-02-27
7.66400003433228,7.75,7.49499988555908,7.57600021362305,76280302,5.46629524230957,2020-02-28
7.63000011444092,7.75400018692017,7.38500022888184,7.6399998664856,57127889,5.51247262954712,2020-03-02
7.77400016784668,7.92199993133545,7.70300006866455,7.79300022125244,45210475,5.62286710739136,2020-03-03
7.80100011825562,8.23999977111816,7.71199989318848,8.23999977111816,54535298,5.94538974761963,2020-03-04
8.23700046539307,8.27600002288818,8.04599952697754,8.14500045776367,48758784,5.87684488296509,2020-03-05
7.9689998626709,8.10099983215332,7.80499982833862,7.89099979400635,53033045,5.69357633590698,2020-03-06
7.25099992752075,7.43200016021729,7.07399988174438,7.10599994659424,91542945,5.12717628479004,2020-03-09
7.13500022888184,7.2649998664856,6.62599992752075,6.7039999961853,76313875,4.83712291717529,2020-03-10
