"CSMIB.MI.Open","CSMIB.MI.High","CSMIB.MI.Low","CSMIB.MI.Close","CSMIB.MI.Volume","CSMIB.MI.Adjusted","Date"
91.2799987792969,91.620002746582,91.2799987792969,91.5400009155273,3660,91.5400009155273,2020-01-02
91.2099990844727,91.2099990844727,90.4400024414062,91.1399993896484,8452,91.1399993896484,2020-01-03
90.6600036621094,90.6600036621094,89.4300003051758,90.5699996948242,553,90.5699996948242,2020-01-06
91.1100006103516,91.4199981689453,90.9000015258789,91.3000030517578,9135,91.3000030517578,2020-01-07
90.5899963378906,91.7200012207031,90.5400009155273,91.6600036621094,7990,91.6600036621094,2020-01-08
92.4300003051758,92.5199966430664,92.2799987792969,92.3899993896484,13518,92.3899993896484,2020-01-09
92.4599990844727,92.7399978637695,92.2399978637695,92.4100036621094,4039,92.4100036621094,2020-01-10
92.370002746582,92.3899993896484,91.6600036621094,91.8600006103516,3595,91.8600006103516,2020-01-13
91.379997253418,91.9899978637695,91.3600006103516,91.9300003051758,1070,91.9300003051758,2020-01-14
91.5899963378906,91.7699966430664,91.379997253418,91.379997253418,1080,91.379997253418,2020-01-15
91.6699981689453,92.1100006103516,91.379997253418,91.9199981689453,4715,91.9199981689453,2020-01-16
92.5,92.8099975585938,92.4800033569336,92.7799987792969,6025,92.7799987792969,2020-01-17
92.7399978637695,92.879997253418,92.5400009155273,92.5999984741211,3752,92.5999984741211,2020-01-20
91.5999984741211,92.0299987792969,91.1500015258789,92.0100021362305,9958,92.0100021362305,2020-01-21
92.1100006103516,92.1600036621094,91.4199981689453,91.3899993896484,4198,91.3899993896484,2020-01-22
91.5,92.1900024414062,91.3899993896484,91.4499969482422,10717,91.4499969482422,2020-01-23
92.3199996948242,92.8399963378906,92.25,92.2799987792969,14053,92.2799987792969,2020-01-24
91.6999969482422,92.3399963378906,90.5599975585938,90.379997253418,10213,90.379997253418,2020-01-27
90.7699966430664,92.5599975585938,90.3300018310547,92.5599975585938,952,92.5599975585938,2020-01-28
92.9100036621094,93.2699966430664,92.7399978637695,93.1999969482422,8700,93.1999969482422,2020-01-29
92.2799987792969,92.2799987792969,91.4499969482422,91.6399993896484,6812,91.6399993896484,2020-01-30
91.9000015258789,91.9400024414062,89.6800003051758,89.7200012207031,7116,89.7200012207031,2020-01-31
89.6900024414062,90.4599990844727,89.6900024414062,90.3899993896484,4508,90.3899993896484,2020-02-03
90.9000015258789,92.0699996948242,90.9000015258789,92,7786,92,2020-02-04
92.3300018310547,93.4899978637695,92.3300018310547,93.4800033569336,10757,93.4800033569336,2020-02-05
94.3399963378906,94.4499969482422,94.1100006103516,94.4000015258789,662,94.4000015258789,2020-02-06
94.120002746582,94.5500030517578,94.0999984741211,94.4100036621094,1368,94.4100036621094,2020-02-07
94.4499969482422,94.7099990844727,94.1500015258789,94.5100021362305,1669,94.5100021362305,2020-02-10
95.0500030517578,95.4400024414062,94.6800003051758,95.1999969482422,4840,95.1999969482422,2020-02-11
95.4800033569336,95.9899978637695,95.4800033569336,95.9100036621094,1907,95.9100036621094,2020-02-12
95.5899963378906,95.8399963378906,94.8199996948242,95.9599990844727,11298,95.9599990844727,2020-02-13
96.0999984741211,96.1999969482422,95.8499984741211,95.8899993896484,1409,95.8899993896484,2020-02-14
96.2900009155273,96.8000030517578,96.0100021362305,96.7799987792969,637,96.7799987792969,2020-02-17
97.2900009155273,97.9100036621094,96.9300003051758,97.1699981689453,3500,97.1699981689453,2020-02-18
97.7099990844727,98.2399978637695,97.7099990844727,98.2399978637695,949,98.2399978637695,2020-02-19
97.8899993896484,98,96.7699966430664,96.7699966430664,4229,96.7699966430664,2020-02-20
96.2900009155273,96.8000030517578,95.1800003051758,95.4100036621094,15060,95.4100036621094,2020-02-21
91.370002746582,91.7699966430664,89.75,90.3399963378906,18789,90.3399963378906,2020-02-24
90.9400024414062,91.0899963378906,88.9300003051758,89.1999969482422,20659,89.1999969482422,2020-02-25
88.7200012207031,91.0800018310547,87.4599990844727,90.2900009155273,36317,90.2900009155273,2020-02-26
88.6600036621094,88.870002746582,86.7300033569336,87.9899978637695,32560,87.9899978637695,2020-02-27
85.379997253418,86.0899963378906,83.9400024414062,85.0699996948242,31611,85.0699996948242,2020-02-28
85.870002746582,86.129997253418,81.5,83.5699996948242,28103,83.5699996948242,2020-03-02
85.0899963378906,86.0699996948242,83.5999984741211,83.5500030517578,24816,83.5500030517578,2020-03-03
83.4400024414062,85.120002746582,83.3399963378906,84.4100036621094,6636,84.4100036621094,2020-03-04
84.7600021362305,84.7600021362305,82.3899993896484,83.2699966430664,3646,83.2699966430664,2020-03-05
81.3000030517578,81.5400009155273,79.5999984741211,80.2200012207031,19094,80.2200012207031,2020-03-06
78.120002746582,78.120002746582,70.870002746582,71.3399963378906,13227,71.3399963378906,2020-03-09
72.0500030517578,73.879997253418,68.7799987792969,69.129997253418,61079,69.129997253418,2020-03-10
70.5800018310547,71.0599975585938,68.3000030517578,68.9300003051758,22177,68.9300003051758,2020-03-11
67.2399978637695,67.2399978637695,57.9300003051758,57.9300003051758,45824,57.9300003051758,2020-03-12
60.6199989318848,68.129997253418,59.0499992370605,61.0999984741211,47620,61.0999984741211,2020-03-13
58.4900016784668,59.6300010681152,54.5,57.8699989318848,39072,57.8699989318848,2020-03-16
61.310001373291,61.310001373291,56.4900016784668,59.2999992370605,20736,59.2999992370605,2020-03-17
59.1699981689453,59.7799987792969,57.1500015258789,58.2599983215332,14569,58.2599983215332,2020-03-18
61.1599998474121,61.3199996948242,57.7200012207031,59.4599990844727,39140,59.4599990844727,2020-03-19
61,62.2000007629395,60.2599983215332,60.4500007629395,12918,60.4500007629395,2020-03-20
57.8899993896484,61,57.7400016784668,60.3199996948242,36895,60.3199996948242,2020-03-23
63.6800003051758,65.5699996948242,62.7000007629395,65.5699996948242,9819,65.5699996948242,2020-03-24
67.0199966430664,68.7399978637695,64.3099975585938,66.620002746582,42690,66.620002746582,2020-03-25
