"XGSH.MI.Open","XGSH.MI.High","XGSH.MI.Low","XGSH.MI.Close","XGSH.MI.Volume","XGSH.MI.Adjusted","Date"
234.149993896484,235.169998168945,233.929992675781,234.830001831055,1532,234.830001831055,2020-01-02
235.550003051758,236.520004272461,235.550003051758,236,6072,236,2020-01-03
236.169998168945,236.169998168945,235.759994506836,235.699996948242,2006,235.699996948242,2020-01-06
235.550003051758,235.75,235.25,235.470001220703,933,235.470001220703,2020-01-07
235.509994506836,235.75,235.089996337891,235.259994506836,1334,235.259994506836,2020-01-08
234.899993896484,235.080001831055,234.720001220703,234.699996948242,3480,234.699996948242,2020-01-09
234.899993896484,235.25,234.869995117188,235.190002441406,3635,235.190002441406,2020-01-10
235.160003662109,235.289993286133,234.699996948242,234.869995117188,3223,234.869995117188,2020-01-13
234.830001831055,235.259994506836,234.759994506836,235.070007324219,1881,235.070007324219,2020-01-14
235.570007324219,235.75,235.350006103516,235.5,1179,235.5,2020-01-15
235.649993896484,235.75,235.25,235.259994506836,1606,235.259994506836,2020-01-16
235.509994506836,235.520004272461,234.929992675781,235.25,3646,235.25,2020-01-17
235.440002441406,235.470001220703,235.100006103516,235.289993286133,1924,235.289993286133,2020-01-20
235.690002441406,235.949996948242,235.130004882812,235.759994506836,1622,235.759994506836,2020-01-21
235.949996948242,236.190002441406,235.690002441406,235.960006713867,1323,235.960006713867,2020-01-22
236.25,237.110000610352,236.210006713867,237.110000610352,2963,237.110000610352,2020-01-23
236.399993896484,237.279998779297,236.220001220703,237.210006713867,7533,237.210006713867,2020-01-24
238,238.559997558594,237.610000610352,238.350006103516,2887,238.350006103516,2020-01-27
238.770004272461,239.029998779297,237.899993896484,238.080001831055,33379,238.080001831055,2020-01-28
238.100006103516,238.720001220703,238.100006103516,238.550003051758,7062,238.550003051758,2020-01-29
239.520004272461,239.520004272461,238.770004272461,239.100006103516,1416,239.100006103516,2020-01-30
238.520004272461,239.570007324219,238.520004272461,239.479995727539,1893,239.479995727539,2020-01-31
239.600006103516,239.600006103516,238.869995117188,239.25,2745,239.25,2020-02-03
239.029998779297,239.089996337891,238.419998168945,238.669998168945,1972,238.669998168945,2020-02-04
238.649993896484,238.649993896484,237.608993530273,237.889999389648,4084,237.889999389648,2020-02-05
237.660003662109,237.919998168945,237.25,237.770004272461,2038,237.770004272461,2020-02-06
238.479995727539,238.770004272461,238.070007324219,238.520004272461,2717,238.520004272461,2020-02-07
239.699996948242,239.699996948242,238.339996337891,238.899993896484,2323,238.899993896484,2020-02-10
238.820007324219,238.880004882812,238.320007324219,238.639999389648,2020,238.639999389648,2020-02-11
238.5,238.5,237.929992675781,238.089996337891,8677,238.089996337891,2020-02-12
239.660003662109,239.660003662109,238.119995117188,238.220001220703,1409,238.220001220703,2020-02-13
238.210006713867,238.740005493164,238.149993896484,238.520004272461,3321,238.520004272461,2020-02-14
238.5,238.800003051758,238.25,238.539993286133,1859,238.539993286133,2020-02-17
239.369995117188,239.369995117188,238.779998779297,239.130004882812,4551,239.130004882812,2020-02-18
