"TXN.Open","TXN.High","TXN.Low","TXN.Close","TXN.Volume","TXN.Adjusted","Date"
129.130004882812,129.610000610352,127.769996643066,129.570007324219,4614000,110.170669555664,2020-01-02
127.459999084473,129.25,127.230003356934,127.849998474121,4057200,108.708198547363,2020-01-03
127.059997558594,127.330001831055,125.900001525879,126.959999084473,4345400,107.951438903809,2020-01-06
129.149993896484,130.899993896484,128.419998168945,129.410003662109,7184100,110.034645080566,2020-01-07
129.339996337891,130.570007324219,129.059997558594,129.759994506836,3546900,110.332229614258,2020-01-08
130.699996948242,131.740005493164,130.240005493164,131.330001831055,3526600,111.667175292969,2020-01-09
131.809997558594,131.809997558594,129.820007324219,130,3234000,110.536293029785,2020-01-10
130.570007324219,130.740005493164,129.770004272461,129.949996948242,4313200,110.493789672852,2020-01-13
129.949996948242,131.860000610352,129.830001831055,130.669998168945,4626200,111.105987548828,2020-01-14
130.429992675781,130.429992675781,128.860000610352,129.169998168945,3392300,109.830581665039,2020-01-15
130,130.229995727539,129.350006103516,130.160003662109,5475900,110.672355651855,2020-01-16
130.759994506836,132.039993286133,130.440002441406,131.699996948242,5487100,111.981750488281,2020-01-17
131.089996337891,132.190002441406,130.580001831055,130.860000610352,8631500,111.267547607422,2020-01-21
132.020004272461,135.699996948242,131.820007324219,133.339996337891,8899700,113.376243591309,2020-01-22
131.419998168945,134.410003662109,129.649993896484,134.25,8598700,114.149978637695,2020-01-23
134.800003051758,135.440002441406,129.75,130.520004272461,5606800,110.978462219238,2020-01-24
128.649993896484,129.25,126.23999786377,126.309997558594,5890900,107.398765563965,2020-01-27
127.150001525879,128.309997558594,126.76000213623,128.039993286133,4397500,108.869750976562,2020-01-28
127.550003051758,128.509994506836,125.440002441406,125.48999786377,4535000,106.701530456543,2020-01-29
123.220001220703,124.669998168945,122.220001220703,124.419998168945,5521300,106.555938720703,2020-01-30
123.360000610352,123.639999389648,119.959999084473,120.650001525879,5782500,103.327239990234,2020-01-31
121.059997558594,123.680000305176,121.059997558594,123.400001525879,5396400,105.682395935059,2020-02-03
126,127.319999694824,125.360000610352,126.470001220703,4434700,108.31160736084,2020-02-04
128.660003662109,132.910003662109,128.660003662109,132.440002441406,7281800,113.424430847168,2020-02-05
133,133,131.479995727539,132.520004272461,3686600,113.492958068848,2020-02-06
131.25,131.25,128.509994506836,128.699996948242,4331700,110.221435546875,2020-02-07
